dataset,config,circuit_name,method,optimization_time,depth,total_gates,two_qubit_gates,depth_reduction_pct,gate_reduction_pct,two_qubit_reduction_pct,depth_reduction_abs,gate_reduction_abs,two_qubit_reduction_abs,depth_efficiency,num_qubits
IoT_Original_Distribution,6q_5k,ZZ_reps2_baseline,none (baseline),0.0,124,204,150,0.0,0.0,0.0,0,0,0,0.0,6
IoT_Original_Distribution,6q_5k,ZZ_reps2_baseline,qiskit_level3,0.021897077560424805,124,196,142,0.0,3.92,5.33,0,8,8,0.0,6
