comparison,dataset,quantum,q_acc,q_sd,classical,c_acc,c_sd,delta_pp,welch_t,p_welch,mwu_p,cohens_d,n,p_holm
vs_best_classical,IoT,QSVC/full,95.54444444444444,0.7349685704090659,RandomForest,98.21555555555555,0.28429294337014727,-2.671111111111113,-18.565486516416282,1.7085811255401195e-20,2.910031731343148e-11,-4.793588006154574,30,5.1257433766203585e-20
vs_best_classical,UNSW-2018,QWE/full,99.61777777777776,0.17589036408740408,GradientBoost,99.71777777777778,0.1258635560366356,-0.1000000000000223,-2.5324151653786977,0.014353890800561975,0.023235537548881028,-0.6538667840796532,30,0.014353890800561975
vs_best_classical,UNSW-NB15,QVE/full,88.76555555555557,0.6727016117811657,RandomForest,91.08888888888889,0.6342300568456106,-2.3233333333333217,-13.764048305537926,6.805392427632847e-20,5.142577234249822e-11,-3.5538619909161873,30,1.3610784855265695e-19
vs_classical_kernel,IoT,QSVC/full,95.54444444444444,0.7349685704090659,RBF-SVM,92.18222222222222,0.9497623551657074,3.362222222222222,15.334519811174399,1.9670547510182958e-21,2.98034208171797e-11,3.959355990051078,30,5.901164253054887e-21
vs_classical_kernel,UNSW-2018,QWE/full,99.61777777777776,0.17589036408740408,LinearSVM,98.56888888888889,0.3389111857497581,1.048888888888866,15.045755954735792,7.271651870867549e-19,2.81804606962147e-11,3.8847974829195198,30,1.4543303741735097e-18
vs_classical_kernel,UNSW-NB15,QVE/full,88.76555555555557,0.6727016117811657,RBF-SVM,86.02222222222225,1.457792729574758,2.7433333333333088,9.358884955263337,1.0336244858632829e-11,2.3458741360840994e-10,2.416453704720403,30,1.0336244858632829e-11
