status,dataset,model,device,entanglement,optimization_level,run_idx,seed,error,num_qubits,gpu_id,aggregate_depth,aggregate_two_qubit_gates,mean_readout_error,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,kernel_time,classifier_time,total_time
failed,IoT_Original_Distribution,QSVC,ideal,full,0,0,42,Already borrowed,,,,,,,,,,,,,,
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,0,0,42,,10.0,1.0,251.0,474.0,0.026325925925925926,0.9555555555555556,0.75,0.9486772486772487,0.6904666436885359,0.9862804878048781,0.7071067811865476,96.88523239595816,0.18944084306713194,97.07467323902529
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,0,42,,10.0,2.0,727.0,474.0,0.04147699311023622,0.08888888888888889,0.5,0.014512471655328797,0.0,0.5678353658536586,0.0,123.93145581008866,0.02239901397842914,123.9538548240671
success,IoT_Original_Distribution,QSVC,ideal,linear,0,0,42,,10.0,0.0,37.0,36.0,,0.9555555555555556,0.75,0.9486772486772487,0.6904666436885359,0.9878048780487805,0.7071067811865476,11.091361539904028,0.019753777072764933,11.111115316976793
success,IoT_Original_Distribution,QSVC,FakeCairoV2,linear,0,0,42,,10.0,1.0,41.0,36.0,0.026325925925925926,0.9555555555555556,0.75,0.9486772486772487,0.6904666436885359,1.0,0.7071067811865476,36.39783549099229,0.024328419007360935,36.422163909999654
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,linear,0,0,42,,10.0,2.0,117.0,36.0,0.04147699311023622,0.9555555555555556,0.8064024390243902,0.9526486899980875,0.6991314920711089,0.9893292682926829,0.7857340827407755,40.655241613974795,0.026695076026953757,40.68193669000175
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,ideal,full,0,0,42,,10.0,0.0,237.0,474.0,,0.9222222222222223,0.6111111111111112,0.8990855298547605,0.45226701686664544,0.9780521262002744,0.4714045207910317,128.06314012396615,0.020046352059580386,128.08318647602573
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,FakeCairoV2,full,0,0,42,,10.0,1.0,251.0,474.0,0.026325925925925926,0.9222222222222223,0.6111111111111112,0.8990855298547605,0.45226701686664544,0.9780521262002744,0.4714045207910317,102.84013545408379,0.7392147169448435,103.57935017102864
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,FakeSherbrooke,full,0,0,42,,10.0,2.0,727.0,474.0,0.04147699311023622,0.9,0.5,0.8526315789473683,0.0,0.4663923182441701,0.0,132.75052093004342,0.02056275389622897,132.77108368393965
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,ideal,linear,0,0,42,,10.0,0.0,37.0,36.0,,0.9333333333333333,0.6666666666666666,0.9178571428571429,0.5570860145311556,0.9684499314128943,0.5773502691896257,10.866859542904422,0.0199802010320127,10.886839743936434
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,FakeCairoV2,linear,0,0,42,,10.0,1.0,41.0,36.0,0.026325925925925926,0.9333333333333333,0.6666666666666666,0.9178571428571429,0.5570860145311556,0.9684499314128943,0.5773502691896257,39.05071747500915,0.02263972198124975,39.0733571969904
success,UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,FakeSherbrooke,linear,0,0,42,,10.0,2.0,117.0,36.0,0.04147699311023622,0.9444444444444444,0.7222222222222222,0.9345923537540303,0.6469966392206304,0.9382716049382717,0.6666666666666666,41.90185975492932,0.025707483990117908,41.92756723891944
success,UNSW_NB15,QSVC,ideal,full,0,0,42,,10.0,0.0,237.0,474.0,,0.8111111111111111,0.7623922413793103,0.8024565656565658,0.5759286078398008,0.8782327586206897,0.743506371282675,126.52603210799862,0.01808633201289922,126.54411844001152
success,UNSW_NB15,QSVC,FakeCairoV2,full,0,0,42,,10.0,1.0,251.0,474.0,0.026325925925925926,0.8222222222222222,0.7780172413793103,0.8152585765488992,0.6018844492775434,0.8696120689655172,0.7628214415734117,129.5798310149694,0.02174384007230401,129.6015748550417
success,UNSW_NB15,QSVC,FakeSherbrooke,full,0,0,42,,10.0,2.0,727.0,474.0,0.04147699311023622,0.6444444444444445,0.5,0.5051051051051051,0.0,0.5441810344827587,0.0,127.63099861796945,0.024359903996810317,127.65535852196626
success,UNSW_NB15,QSVC,ideal,linear,0,0,42,,10.0,0.0,37.0,36.0,,0.8111111111111111,0.7693965517241379,0.8048875576475063,0.5758167996310984,0.8787715517241379,0.7557252739290731,11.326534945052117,0.019705571001395583,11.346240516053513
success,UNSW_NB15,QSVC,FakeCairoV2,linear,0,0,42,,10.0,1.0,41.0,36.0,0.026325925925925926,0.8444444444444444,0.8092672413793103,0.8402236040449721,0.6532452209040279,0.8987068965517241,0.8000538774961045,36.549097314011306,0.02059090102557093,36.56968821503688
success,UNSW_NB15,QSVC,FakeSherbrooke,linear,0,0,42,,10.0,2.0,117.0,36.0,0.04147699311023622,0.8,0.7467672413793103,0.7894179894179894,0.5497189280631696,0.8642241379310345,0.7236759610155115,39.96287869999651,0.026519295992329717,39.98939799598884
