status,dataset,model,device,entanglement,optimization_level,num_qubits,run_idx,seed,gpu_id,aggregate_depth,aggregate_two_qubit_gates,mean_readout_error,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,kernel_time,classifier_time,total_time,zz_reps,layout
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6,0,42,0,135,150,0.0157999999999999,0.928,0.893523084871542,0.9339316586050866,0.6659399347670968,0.957180655362986,0.8925137056964685,250.63736668799535,0.0542712369933724,250.69163792498875,2,worst_healthy_path
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6,1,123,1,135,150,0.0157999999999999,0.936,0.9424326397695428,0.94221334356084,0.7258528043426289,0.9819694289188442,0.9423993436392982,244.09219249896705,3.2178585280198604,247.3100510269869,2,worst_healthy_path
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6,2,456,2,135,150,0.0157999999999999,0.938,0.9403582108246052,0.943745200760664,0.7292612197087034,0.9749763854315072,0.9403537261502052,244.11017352796625,3.174487291020341,247.2846608189866,2,worst_healthy_path
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6,3,789,0,135,150,0.0157999999999999,0.93,0.9168741095611604,0.9364865169878466,0.6903700535849413,0.9549000881958468,0.9167316014649328,374.3452158269938,0.8341577069368213,375.1793735339306,2,worst_healthy_path
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6,4,1024,1,135,150,0.0157999999999999,0.932,0.908443317207584,0.9377332614555256,0.6884062599167247,0.9589654470590075,0.9079799778989172,385.2342722150497,0.8217103640781716,386.0559825791279,2,worst_healthy_path
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6,0,42,2,381,150,0.0534261067708333,0.9333333333333332,0.8773973353373099,0.9374342777858916,0.6667990056014548,0.9518993419232956,0.8746889201470479,413.2638365199091,0.0562867340631783,413.3201232539722,2,worst_healthy_path
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6,1,123,0,381,150,0.0534261067708333,0.9386666666666666,0.9121224930721902,0.9432293675364882,0.7091047788812869,0.9726227566159932,0.911536513166472,719.1691210400313,0.8455653450218961,720.0146863850532,2,worst_healthy_path
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6,2,456,1,381,150,0.0534261067708333,0.9286666666666666,0.9161382743882392,0.935404135075928,0.6865475427128758,0.9749137611614714,0.916008341706214,732.5528621579288,0.0567172600422054,732.609579417971,2,worst_healthy_path
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6,3,789,2,381,150,0.0534261067708333,0.9406666666666668,0.9068698824229332,0.9446429061232212,0.710804776338291,0.9601553081896887,0.9059142461853144,728.3087520400295,0.8655608410481364,729.1743128810776,2,worst_healthy_path
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6,4,1024,0,381,150,0.0534261067708333,0.9346666666666666,0.8717768071015922,0.9382367113679904,0.6661467117116469,0.9562308539341088,0.8683295522044974,365.4522702000104,1.2032105119433254,366.6554807119537,2,worst_healthy_path
success,IoT_Original_Distribution,QVE,FakeKolkataV2,full,0,6,0,42,1,139,150,0.0157999999999999,0.9373333333333334,0.9240993847165468,0.9426169272237198,0.7147936052955975,0.9650400012524856,0.9239556532262464,435.3898099350045,2.543696956010536,437.933506891015,2,worst_healthy_path
success,IoT_Original_Distribution,QVE,FakeKolkataV2,full,0,6,1,123,2,139,150,0.0157999999999999,0.9446666666666668,0.9567501135064894,0.9496938988989466,0.7593090162896055,0.989416498363941,0.956634377800939,442.4620783319697,1.2972760129487142,443.7593543449184,2,worst_healthy_path
success,IoT_Original_Distribution,QVE,FakeKolkataV2,full,0,6,2,456,0,139,150,0.0157999999999999,0.9353333333333332,0.942064722183082,0.9416673754256454,0.7239120279025019,0.9733846852347628,0.9420282472107968,290.4873554420192,1.7783311159582809,292.26568655797746,2,worst_healthy_path
success,IoT_Original_Distribution,QVE,FakeKolkataV2,full,0,6,3,789,1,139,150,0.0157999999999999,0.9326666666666666,0.9278803250199614,0.9390263331090536,0.7059196517059027,0.9610477040377,0.927861601920179,280.1650196100818,1.7694301781011743,281.934449788183,2,worst_healthy_path
success,IoT_Original_Distribution,QVE,FakeKolkataV2,full,0,6,4,1024,2,139,150,0.0157999999999999,0.9446666666666668,0.9376810232805723,0.9490623434045689,0.745228427266977,0.9721687306582332,0.9376415571288382,305.1960484869778,2.341605864930898,307.5376543519087,2,worst_healthy_path
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6,0,42,0,385,150,0.0534261067708333,0.9326666666666666,0.924702143315642,0.9389060782454522,0.7033337756261954,0.969757696261853,0.924650121215844,767.4315576259978,2.1736218099249527,769.6051794359228,2,worst_healthy_path
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6,1,123,1,385,150,0.0534261067708333,0.9386666666666666,0.9534388552283436,0.9447269377746244,0.7411765342585144,0.9878874224372322,0.9532652773726764,781.3768208220135,0.8936904749134555,782.270511296927,2,worst_healthy_path
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6,2,456,2,385,150,0.0534261067708333,0.9333333333333332,0.9441391511280196,0.9401459253930736,0.7207386668051785,0.9688339882788242,0.9440453606409622,776.4675184990047,2.2547938741045077,778.7223123731092,2,worst_healthy_path
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6,3,789,0,385,150,0.0534261067708333,0.94,0.92239287335807,0.9447066755393668,0.7206889371092422,0.9656088383719778,0.9221379679812842,690.0001417900203,1.928391886060126,691.9285336760804,2,worst_healthy_path
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6,4,1024,1,385,150,0.0534261067708333,0.9453333333333334,0.9412271225713524,0.9497300791476274,0.7497209841861407,0.9716677364979464,0.9412135379004958,667.4334843059769,2.778860214049928,670.2123445200268,2,worst_healthy_path
success,IoT_Original_Distribution,QWE,FakeKolkataV2,full,0,6,0,42,2,199,225,0.0157999999999999,0.938,0.921289120598688,0.9430473988991854,0.7143791588140259,0.964413758552127,0.9210592333932784,756.605796648073,1.9966982709011063,758.6024949189741,2,worst_healthy_path
success,IoT_Original_Distribution,QWE,FakeKolkataV2,full,0,6,1,123,0,199,225,0.0157999999999999,0.9453333333333334,0.9475834859799916,0.9499424258760109,0.7543746233639068,0.9816302141228168,0.9475794340180942,677.4035769749898,3.106944553903304,680.5105215288932,2,worst_healthy_path
success,IoT_Original_Distribution,QWE,FakeKolkataV2,full,0,6,2,456,1,199,225,0.0157999999999999,0.944,0.9436694691027508,0.9487215094339624,0.7477777870191886,0.9823295184715504,0.9436693813092863,694.0217508949572,3.0682408701395616,697.0899917650968,2,worst_healthy_path
