dataset,model,composition,n_maps,noise_level,num_qubits,n_runs,accuracy_mean,accuracy_std,accuracy_ci95,f1_score_mean,f1_score_std,f1_score_ci95,mcc_mean,mcc_std,mcc_ci95,total_time_mean,total_time_std,total_time_ci95
IoT_Original_Distribution,QSVC_Z,1map_Z,1,0.0,6,10,0.9314666666666666,0.008054137806275,0.0049920063311134,0.9381419038235104,0.0065357422020576,0.0040508949854045,0.7043755307321943,0.0236960995552715,0.0146869946663251,106.41826733376364,21.37136079073226,13.246106652002489
IoT_Original_Distribution,QSVC_Z,1map_Z,1,0.002,6,10,0.9324,0.0080074039812237,0.0049630404062503,0.938937157434636,0.0065230168041903,0.0040430077020916,0.7078077869631694,0.0239884093267566,0.0148681701397275,46.71647216964048,10.779085929356343,6.68094667576202
IoT_Original_Distribution,QSVC_Z,1map_Z,1,0.01,6,10,0.9301333333333334,0.0095932074735006,0.005945931593831,0.9371045433683448,0.0074937284626,0.004644661021295,0.7016218622042854,0.0214053104514456,0.0132671488697167,41.09427579077892,2.7535636497400167,1.7066764318232142
IoT_Original_Distribution,QSVC_Z,1map_Z,1,0.05,6,10,0.9305333333333332,0.010831139378981,0.006713209738095,0.9374407244230673,0.0087032707777288,0.0053943431151583,0.7027858096905286,0.0299584214123463,0.0185684219661698,54.79657053308328,42.949457574524,26.6203496000363
IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,0.0,6,10,0.9543333333333331,0.004265856404545,0.0026440051922774,0.956858112659154,0.0035808141134953,0.0022194115813591,0.7705230518517077,0.0158400849844652,0.0098177863887824,266.5461701377062,32.89461940013262,20.388296333481023
IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,0.002,6,10,0.9528,0.0039727466631265,0.0024623338923734,0.9555619135225628,0.0035266037073681,0.0021858116235351,0.7650698932838979,0.0173558258697732,0.0107572523226642,233.5997972289333,16.385757005132902,10.155997411166744
IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,0.01,6,10,0.7804,0.0608241342613438,0.037699188990851,0.8231727541187492,0.0449712030915032,0.0278734404538825,0.4499443697444379,0.0569138852470074,0.0352755915425197,228.09171886941184,2.862066125329831,1.7739269629308183
IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,0.05,6,10,0.906,0.0,0.0,0.8613179433368311,0.0,0.0,0.0,0.0,0.0,212.0751730395132,32.064667345163066,19.87388672036258
UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,0.0,6,10,0.9892666666666664,0.001349897115421,0.0008366749003578,0.9894838884562608,0.0012985853630512,0.0008048715467461,0.9415365994472318,0.0069807005480431,0.0043266830254987,106.66873274820392,23.639340264897807,14.651814893677816
UNSW_2018_IoT_Botnet_Final_10_Best,QSVC_Z,1map_Z,1,0.002,6,10,0.9891333333333332,0.0016040073273438,0.0009941740414491,0.9893536083614174,0.0015480294264955,0.0009594785790472,0.9407895195159878,0.008414673609876,0.0052154687373274,41.94183745482005,1.558853951376772,0.9661876890771784
