dataset,model,entanglement,optimization_level,device,num_qubits,n_runs,mean_readout_error,aggregate_depth,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,f1_score_mean,f1_score_std,f1_score_ci95,mcc_mean,mcc_std,mcc_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95,g_mean_mean,g_mean_std,g_mean_ci95,total_time_mean,total_time_std,total_time_ci95,zz_reps,layout
IoT_Original_Distribution,QSVC,full,0,FakeKolkataV2,6,5,0.0157999999999999,135.0,0.9328,0.0041472882706655,0.0036352584502342,0.9203262724468868,0.0209851313397181,0.0183942786354094,0.9388219962739928,0.0040710682982009,0.0035684486986821,0.699966054464019,0.0269806385694782,0.0236495724317407,0.9655984009936384,0.0120961312365304,0.0106027265101791,0.9199956709699644,0.0213697473359028,0.0187314094203889,301.30434117680414,72.51812892538375,63.56494262427472,2,worst_healthy_path
IoT_Original_Distribution,QSVC,full,0,FakeSherbrooke,6,5,0.0534261067708333,381.0,0.9351999999999998,0.0046998817952038,0.0041196280306735,0.8968609584644529,0.0206927232466247,0.0181379716410649,0.9397894795779038,0.0039553093872107,0.0034669815394437,0.687880563049111,0.0217632499538398,0.0190763296727771,0.9631644043649116,0.0101432024728403,0.0088909089736154,0.8952955146819092,0.0221209378446818,0.0193898569327284,592.3548365300055,185.52737469917963,162.62191403366057,2,worst_healthy_path
IoT_Original_Distribution,QVE,full,0,FakeKolkataV2,6,5,0.0157999999999999,139.0,0.9389333333333332,0.005489383693397,0.0048116569564617,0.9376951137413304,0.0128778940231504,0.0112879718055786,0.9444133756123868,0.0047245316827198,0.0041412346097298,0.729832545692117,0.0220167223167689,0.0192985079948765,0.9722115239094246,0.0108794634068675,0.0095362701366991,0.9376242874574,0.0128736192003679,0.0112842247581999,352.6861303868005,81.01892148018689,71.01621583021898,2,worst_healthy_path
IoT_Original_Distribution,QVE,full,0,FakeSherbrooke,6,5,0.0534261067708333,385.0,0.938,0.0052068331172711,0.0045639904567044,0.9371800291202856,0.0132619321803237,0.0116245960923327,0.9436431392200288,0.0043019419370788,0.0037708183657736,0.7271317795970542,0.0184136797039431,0.0161403018972986,0.9727511363695668,0.008740681677273,0.0076615452928272,0.9370624530222524,0.0132790272235861,0.0116395805584275,738.5477762604132,53.22902923506949,46.65730127640809,2,worst_healthy_path
IoT_Original_Distribution,QWE,full,0,FakeKolkataV2,6,5,0.0157999999999999,199.0,0.9406666666666668,0.0059814528149754,0.005242974558609,0.9322953360574892,0.0124612007900947,0.0109227240827869,0.9456289558532952,0.0050537649533675,0.0044298202953901,0.730445579000877,0.0220581371266845,0.0193348096763331,0.9705989489560012,0.0111845180409049,0.0098036623129342,0.932159533499212,0.0126035962243169,0.0110475391840646,849.227514274884,321.7986371179764,282.06894204373225,2,worst_healthy_path
IoT_Original_Distribution,QWE,full,0,FakeSherbrooke,6,5,0.0534261067708333,563.0,0.9416,0.0033532736906558,0.0029392739844314,0.9340816933602618,0.0122519699518474,0.0107393251668813,0.9464340385499967,0.0028115839377768,0.0024644619812517,0.7341592786491755,0.0137962151256031,0.0120929157423993,0.9728273292314435,0.0076542991015323,0.0067092889795676,0.9339341857606528,0.0124005174796308,0.0108695328159265,1777.9427229247754,220.56279942320285,193.33181782462967,2,worst_healthy_path
UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,full,0,FakeKolkataV2,6,5,0.0157999999999999,135.0,0.9902666666666666,0.0010110500592068,0.0008862244511283,0.9695961370979796,0.0149255538071328,0.0130828247425152,0.9902412773511212,0.0010163249596767,0.0008908481052502,0.9438092380057485,0.0061276434745188,0.0053711163215555,0.990924035433984,0.0025953257409052,0.0022749033139243,0.9691165405604124,0.0153648110324181,0.0134678506765308,290.6824159082491,65.82901875078848,57.701679040997554,2,worst_healthy_path
UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,full,0,FakeSherbrooke,6,5,0.0534261067708333,381.0,0.9908,0.0015202339001321,0.0013325437662189,0.9598811652606788,0.0135787583738997,0.011902306495441,0.9906654083778712,0.0015815856027078,0.0013863209045967,0.9460493178873304,0.0090887312278948,0.0079666241750808,0.9936954718089572,0.0049525377354186,0.0043410907267113,0.9590079741149922,0.0142252941933145,0.0124690201279442,591.542202115152,179.5096257539321,157.3471245141249,2,worst_healthy_path
UNSW_2018_IoT_Botnet_Final_10_Best,QVE,full,0,FakeKolkataV2,6,5,0.0157999999999999,139.0,0.9926666666666666,0.0037416573867739,0.0032797073040135,0.989690854466094,0.0020679757111867,0.0018126606322845,0.9927682456367628,0.0036212584566102,0.003174172988646,0.9591555121176024,0.0196491787447736,0.0172232645551402,0.9992053635384512,0.0004416878865974,0.0003871565025939,0.9896823061709852,0.0020618269488143,0.0018072710044328,364.3672157780034,72.97001468285688,63.96103795481009,2,worst_healthy_path
UNSW_2018_IoT_Botnet_Final_10_Best,QVE,full,0,FakeSherbrooke,6,5,0.0534261067708333,385.0,0.9941333333333332,0.0026415483674878,0.0023154192324981,0.9905014661094248,0.0014599567248458,0.0012797084925376,0.9941886660248052,0.0025818011447596,0.0022630484827151,0.9668744416590462,0.0143239839503706,0.0125555255140847,0.9993156438255923,0.0005015975298191,0.0004396696202164,0.9904904472941672,0.0014537478777447,0.001274266198099,725.2146562592359,66.80270490881905,58.55515258873549,2,worst_healthy_path
