dataset,config,method,accuracy_mean,accuracy_std,accuracy_ci95,f1_mean,f1_std,circuit_depth,total_gates,two_qubit_gates,n_runs,nisq_feasibility_score,estimated_circuit_fidelity,expected_noisy_accuracy
IoT_Original_Distribution,6q_5k,none (baseline),0.9540888888888889,0.00711101532502539,0.0026552967609453754,0.9565616789760333,0.006165437808798171,124,204,150,30,41.739100158228446,0.2919775039557112,0.6325837403518
IoT_Original_Distribution,6q_5k,qiskit_level3,0.9532666666666666,0.0070929245409817624,0.002648541551164719,0.9558297086380698,0.006071810182642084,124,196,142,30,43.714204873877506,0.3113551218469376,0.6411268982291551
