dataset,model,entanglement,optimization_level,device,num_qubits,n_runs,mean_readout_error,aggregate_depth,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,f1_score_mean,f1_score_std,f1_score_ci95,mcc_mean,mcc_std,mcc_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95,g_mean_mean,g_mean_std,g_mean_ci95,total_time_mean,total_time_std,total_time_ci95
IoT_Original_Distribution,QSVC,full,0,FakeKolkataV2,6,10,0.012177777777777777,135.0,0.9538666666666668,0.005228601304836544,0.0032407206636415205,0.930045559156451,0.011813311418481172,0.007321966275089907,0.9564741488040734,0.0045296953565842095,0.0028075342689649584,0.768937166808242,0.020711503756574403,0.012837123025030104,0.9633225306467521,0.012314644297527173,0.007632695612778059,0.9294786314866854,0.012254051218981645,0.007595139633603571,267.9191100356984,6.460051924803777,4.003981665525605
IoT_Original_Distribution,QSVC,full,0,ideal,6,10,,124.0,0.9546666666666667,0.005613035973473394,0.0034789957398687313,0.9260376058741567,0.015686031598301255,0.009722303110800658,0.9570038762842298,0.005115126931190307,0.003170388518192034,0.7688650848097027,0.02667302345463502,0.016532111215148946,0.9629405225995333,0.014596222186935766,0.009046832239541799,0.9252380724338772,0.016294060616760288,0.010099163400834851,279.75974682701053,12.82445247549168,7.9486779951591275
IoT_Original_Distribution,QSVC,full,3,FakeKolkataV2,6,10,0.012177777777777777,134.0,0.9514666666666667,0.0037423172328926104,0.002319512251836532,0.9290388740156248,0.01351108446618503,0.008374256912124725,0.954400203716159,0.003241491047274615,0.0020090969659887345,0.7601077933844704,0.016140536751250604,0.010004008323154873,0.9598416649705926,0.014342096073720126,0.0088893232427271,0.9284884459353695,0.014004660381888011,0.008680178434122365,256.26487586961593,24.95100305473908,15.464791913523698
IoT_Original_Distribution,QSVC,full,3,ideal,6,10,,124.0,0.9537333333333334,0.005399588461684441,0.0033466996014315797,0.9267937939348394,0.013861980368791941,0.008591744445800983,0.9562452584462349,0.004823288420054742,0.002989505134980438,0.7662781709736279,0.024058599795622568,0.01491167464305124,0.959880283270448,0.012317571234905246,0.007634509747360004,0.9260854795853277,0.014361572472028239,0.008901394839464076,276.64603556918445,13.390847703674712,8.299733394633327
IoT_Original_Distribution,QSVC,linear,0,FakeKolkataV2,6,10,0.012177777777777777,29.0,0.9537333333333333,0.006950974707385731,0.004308258758578021,0.9372817935590939,0.014558445675200397,0.009023418114990389,0.9566105337259826,0.006172230926170242,0.003825588362360794,0.7732012942094234,0.029761133608202203,0.018446141718298815,0.9628168396662128,0.011855603248751088,0.0073481790230636645,0.9369664839041478,0.014862242578396873,0.009211713386390874,122.17020592448534,6.424499575229191,3.9819460909636684
IoT_Original_Distribution,QSVC,linear,0,ideal,6,10,,25.0,0.9535333333333332,0.00661498485949577,0.004100010093332965,0.9371714182831556,0.013842310831310534,0.008579553140164177,0.95643603756291,0.0058746209667155215,0.003641127798420247,0.772434761352183,0.028321567435728685,0.017553889360579587,0.9630608133848939,0.013468766406996067,0.008348027907298518,0.9368662897397216,0.014117080985961023,0.008749857446423698,146.8214695009752,16.175044023749624,10.025396152234523
IoT_Original_Distribution,QSVC,linear,3,FakeKolkataV2,6,10,0.012177777777777777,29.0,0.9541999999999998,0.007153001614620643,0.004433476332976388,0.9365858813583205,0.014182625064564709,0.008790482087226551,0.9569872471371121,0.006314806051848732,0.003913957340787236,0.7743970478571772,0.02989529417538892,0.01852929529933887,0.9610064763932595,0.013885146866821291,0.008606103190040763,0.9362371755473646,0.014482647769371401,0.008976438086229435,139.9083726404584,36.88060903366301,22.858838303949106
IoT_Original_Distribution,QSVC,linear,3,ideal,6,10,,25.0,0.9508000000000001,0.009003702941938203,0.005580552899728365,0.9353451380082352,0.013456153576903688,0.008340210394215323,0.9541239649193358,0.007710003382001377,0.004778709605126218,0.7631750003428501,0.033174066505997975,0.020561499444136065,0.963544585870921,0.01376729451643989,0.008533057546498113,0.9350482692830777,0.013724229282021954,0.00850636543766708,151.96662712572143,20.79129628067631,12.886578943847622
IoT_Original_Distribution,QVE,full,0,FakeKolkataV2,6,10,0.012177777777777777,139.0,0.9530666666666667,0.005079126978546386,0.0031480755163734876,0.9404098758473847,0.010979513810469263,0.006805173163502,0.9561387416895961,0.004408234291218732,0.0027322519207022,0.7729295799090096,0.020135909930838736,0.012480366275724974,0.9671833168944624,0.012498920970522963,0.007746911478013789,0.9402052573803502,0.011139736510877638,0.006904480222068039,332.7618596666842,14.48140358344882,8.975666931805213
IoT_Original_Distribution,QVE,full,0,ideal,6,10,,126.0,0.9496,0.008074957478006,0.005004910497343562,0.9384967043977893,0.009473194376242526,0.005871546705499194,0.9532282414080736,0.006784675541394378,0.00420518546762428,0.7616653468465999,0.026810098731333443,0.016617071351860854,0.9671201707555097,0.012754726443754968,0.007905461352950461,0.9383024329917606,0.009643274579802826,0.005976963507817698,377.0227812364581,57.87234068844561,35.86964837974211
IoT_Original_Distribution,QVE,full,3,FakeKolkataV2,6,10,0.012177777777777777,138.0,0.9529333333333334,0.004768207469179162,0.0029553656079313205,0.9409719286709566,0.01198910794797164,0.007430926092926703,0.9560379414966992,0.004218070637407171,0.002614387266954239,0.7727481425719066,0.020542045876006474,0.012732091942498455,0.9665716865237789,0.012885735169442851,0.007986661402390327,0.9407780878567562,0.012144218607436063,0.007527064675689256,331.58607854640576,10.33082738537716,6.403113151759444
IoT_Original_Distribution,QVE,full,3,ideal,6,10,,126.0,0.9517333333333333,0.005623583497915251,0.003485533163247594,0.9387205861631676,0.01341413715802429,0.008314168347989932,0.9549647915261499,0.004930556194237414,0.0030559903902273927,0.7675702519014785,0.023401180483145868,0.014504201931630408,0.966587864460205,0.012706391877313657,0.00787550327829489,0.9384794060463779,0.013705181048983649,0.008494559220513748,349.51338829259623,52.38540487708522,32.46881033008972
IoT_Original_Distribution,QVE,linear,0,FakeKolkataV2,6,10,0.012177777777777777,33.0,0.9484666666666666,0.00481817546534108,0.002986336092816618,0.9391425171825342,0.012451162999816107,0.00771731078109698,0.9522509098361681,0.004230520139247555,0.002622103548138053,0.757625479909469,0.020531789790874853,0.012725735155075522,0.9670403248112139,0.01298904909088398,0.008050696034318829,0.9389889653502822,0.012644864094829074,0.007837367963616873,191.97486558301608,9.183035219723687,5.691704197062841
IoT_Original_Distribution,QVE,linear,0,ideal,6,10,,27.0,0.9489333333333333,0.004799176884157534,0.0029745606502017004,0.9394000594930565,0.014339355489576535,0.008887624611076535,0.9526408711444354,0.004276433886496386,0.002650561183513094,0.7591478506998237,0.021912126337394238,0.013581276610291676,0.9679415924308131,0.013009134805499659,0.008063145289215895,0.9392198437597186,0.01452442392942811,0.009002331218493725,253.0189037668286,47.403544491714015,29.381021272753227
IoT_Original_Distribution,QVE,linear,3,FakeKolkataV2,6,10,0.012177777777777777,33.0,0.9485333333333333,0.004573676695889032,0.002834794185487552,0.9385436726003163,0.011576215901647265,0.007175012951272758,0.9522860382025857,0.0040022895314485935,0.0024806447518658284,0.7574009184954063,0.0191910237411995,0.011894719747901008,0.9673790177383246,0.013014691368538844,0.008066589282668455,0.9383875867390203,0.011775955519912245,0.0072988128492799806,206.7917617878411,74.61067901695259,46.24417795919935
IoT_Original_Distribution,QVE,linear,3,ideal,6,10,,27.0,0.9488666666666667,0.0039258560441020095,0.002433270785598955,0.9396810859048423,0.01245879124913508,0.007722038819008867,0.9525921154772558,0.003550310514036631,0.0022005052545389947,0.759060710560381,0.018815462872918805,0.011661944710116702,0.9670220593991201,0.014377248362852833,0.008911110857258216,0.9395333340404312,0.01265603426110009,0.007844291304399677,250.51875680381198,51.94156418876059,32.193715021390624
IoT_Original_Distribution,QWE,full,0,FakeKolkataV2,6,10,0.012177777777777777,199.0,0.9528666666666668,0.00459790612569903,0.0028498117416704796,0.9352144098445354,0.00952689428571529,0.0059048302542186355,0.9558040651299307,0.0037892382629486493,0.0023485942075636384,0.7690357289699253,0.014526922971975501,0.009003880141111933,0.9662810055370292,0.009623458669198334,0.005964681479179283,0.9348630994512375,0.009908444947893233,0.006141317804723278,746.7130139245885,20.139981768762294,12.482890027016866
