status,dataset,model,device,entanglement,optimization_level,num_qubits,run_idx,seed,gpu_id,aggregate_depth,aggregate_two_qubit_gates,mean_readout_error,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,kernel_time,classifier_time,total_time
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,10,9,6144,2,727,474,0.04147699311023622,0.9066666666666666,0.5,0.8622843822843823,0.0,0.6818487394957983,0.0,2546.4055961619597,0.04453525203280151,2546.4501314139925
success,IoT_Original_Distribution,QSVC,ideal,full,3,10,0,42,0,195,372,,0.968,0.8670168067226891,0.9666399416909621,0.7993783471062635,0.964873949579832,0.858080719401388,329.60563467408065,0.35129581403452903,329.9569304881152
success,IoT_Original_Distribution,QSVC,ideal,full,3,10,1,123,1,195,372,,0.9573333333333334,0.8226890756302521,0.9548287071767942,0.7263003196247418,0.9813025210084034,0.8058608842138216,328.0454719789559,1.4091392239788547,329.45461120293476
success,IoT_Original_Distribution,QSVC,ideal,full,3,10,2,456,2,195,372,,0.9546666666666667,0.8340336134453781,0.9530885270447316,0.7163470439122962,0.9698949579831934,0.820739572201896,328.8095263269497,0.8725558010628447,329.68208212801255
success,IoT_Original_Distribution,QSVC,ideal,full,3,10,3,789,0,195,372,,0.96,0.8305672268907562,0.9576519129782446,0.7440322610218303,0.9823949579831932,0.8151790028715712,327.96040207496844,0.6585629340261221,328.61896500899456
success,IoT_Original_Distribution,QSVC,ideal,full,3,10,4,1024,1,195,372,,0.9586666666666667,0.8170168067226891,0.9557062350048046,0.7326424578694603,0.9764915966386556,0.7982386071530115,329.09769444400445,0.4123498109402135,329.51004425494466
success,IoT_Original_Distribution,QSVC,ideal,full,3,10,5,2048,2,195,372,,0.9626666666666667,0.8320378151260504,0.9601563999460689,0.7604867230869579,0.9745378151260505,0.8163893658289869,328.3177686909912,0.93801834306214,329.25578703405336
success,IoT_Original_Distribution,QSVC,ideal,full,3,10,6,3072,0,195,372,,0.9586666666666667,0.810609243697479,0.9553338728684811,0.7312919607677735,0.9745798319327732,0.7899047916248721,326.8195771269966,1.0401946620550007,327.8597717890516
success,IoT_Original_Distribution,QSVC,ideal,full,3,10,7,4096,1,195,372,,0.964,0.8327731092436974,0.9614215595203135,0.7690560989166502,0.9667436974789917,0.8169938748831833,333.33202658896334,0.07625919999554753,333.4082857889589
success,IoT_Original_Distribution,QSVC,ideal,full,3,10,8,5120,2,195,372,,0.9586666666666667,0.810609243697479,0.9553338728684811,0.7312919607677735,0.972752100840336,0.7899047916248721,333.189054754097,0.34571490495000035,333.534769659047
success,IoT_Original_Distribution,QSVC,ideal,full,3,10,9,6144,0,195,372,,0.9546666666666667,0.7955882352941177,0.9508015076814901,0.7026376900502387,0.9703991596638656,0.7711717593071865,552.3227360569872,0.07806633808650076,552.4008023950737
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,3,10,0,42,1,245,372,0.012177777777777777,0.9706666666666667,0.8748949579831933,0.9694199465500486,0.8165372984608628,0.9840966386554622,0.8669346170571924,1356.6416039320175,0.051639063050970435,1356.6932429950684
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,3,10,1,123,2,245,372,0.012177777777777777,0.9613333333333334,0.8441176470588235,0.9595373848480157,0.7555033103169059,0.9848109243697479,0.8317239361004064,1356.991141893086,0.04058893700130284,1357.0317308300873
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,3,10,2,456,0,245,372,0.012177777777777777,0.9573333333333334,0.8483193277310924,0.9561651603756867,0.7359036917986739,0.9707563025210084,0.8376638181686658,1739.48633285705,0.06840319000184536,1739.5547360470518
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,3,10,3,789,1,245,372,0.012177777777777777,0.9613333333333334,0.8377100840336135,0.9592242424242425,0.7537090914028731,0.983172268907563,0.8238054759376596,1765.6924036790151,0.05362307303585112,1765.746026752051
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,3,10,4,1024,2,245,372,0.012177777777777777,0.96,0.8177521008403361,0.9569565217391305,0.7411188857944132,0.9796428571428571,0.7988305528088171,1736.115735593019,0.06948742701206356,1736.1852230200311
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,3,10,5,2048,0,245,372,0.012177777777777777,0.964,0.8263655462184873,0.961097244111258,0.7683882726092229,0.973781512605042,0.8088533225987216,1696.7742318209494,0.06850932002998888,1696.8427411409793
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,3,10,6,3072,1,245,372,0.012177777777777777,0.9626666666666667,0.8320378151260504,0.9601563999460689,0.7604867230869579,0.9756722689075631,0.8163893658289869,1661.5790003769798,0.42732364998664707,1662.0063240269665
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,3,10,7,4096,2,245,372,0.012177777777777777,0.9666666666666667,0.8470588235294118,0.9645689049483086,0.7879202068207745,0.9784453781512605,0.8341956322956723,1709.1133610559627,0.04247136309277266,1709.1558324190555
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,3,10,8,5120,0,245,372,0.012177777777777777,0.96,0.8241596638655462,0.9573104285136455,0.7424429064999531,0.9724159663865547,0.8070591910232644,1880.9801680910168,0.04598659207113087,1881.026154683088
