dataset,config,feature_map,reps,entanglement,optimization,optimization_level,optimization_name,optimization_description,run,seed,gpu_id,accuracy,f1_score,mcc,training_time,circuit_depth,total_gates,two_qubit_gates
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,18,14336,2,0.8593333333333333,0.8608051970986358,0.7055121481016762,657.6152769862674,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,19,15360,0,0.8773333333333333,0.8787369528619529,0.7449224447500988,603.9340162770823,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,19,15360,1,0.8773333333333333,0.8787369528619529,0.7449224447500988,617.2581996764056,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,20,16384,2,0.872,0.8734227994227994,0.7333838164063535,659.9970121299848,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,20,16384,0,0.872,0.8734227994227994,0.7333838164063535,649.3119243266992,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,21,17408,1,0.8786666666666667,0.8803123254401942,0.7516037324608088,603.0133407879621,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,21,17408,2,0.8786666666666667,0.8803123254401942,0.7516037324608088,668.3615858051926,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,22,18432,0,0.8673333333333333,0.868868139155985,0.7239395228207399,669.4573409999721,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,22,18432,1,0.8673333333333333,0.868868139155985,0.7239395228207399,605.6677056951448,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,23,19456,2,0.866,0.8678759753941774,0.7262131121289369,662.9569040979259,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,23,19456,0,0.866,0.8678759753941774,0.7262131121289369,663.8818757631816,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,24,20480,1,0.878,0.8795302862329685,0.7482129862761758,586.5540961963125,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,24,20480,2,0.878,0.8795302862329685,0.7482129862761758,663.6929742642678,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,25,21504,0,0.886,0.887230705314928,0.7623139615989155,660.6988290366717,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,25,21504,1,0.886,0.887230705314928,0.7623139615989155,612.2889843517914,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,26,22528,2,0.8866666666666667,0.8873704236391723,0.7584620516026426,659.0814476460218,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,26,22528,0,0.8826666666666667,0.882984685845141,0.7471541626913628,661.5347011890262,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,27,23552,1,0.884,0.885431916379961,0.7608386200014524,605.8690906832926,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,27,23552,2,0.872,0.8735186916676512,0.7346229362222083,667.7925503589213,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,28,24576,0,0.8653333333333333,0.8671302516400471,0.723006647661149,662.8633465259336,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,28,24576,1,0.87,0.8716908467916408,0.7321815356644557,609.9366467790678,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,29,25600,2,0.8726666666666667,0.8741074689600612,0.7348278608970134,658.9989858330227,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,29,25600,0,0.8726666666666667,0.8741074689600612,0.7348278608970134,658.3311743368395,195,592,372
