dataset,config,model,entanglement,optimization_level,optimization_name,optimization_description,noise_level,num_qubits,run_idx,seed,gpu_id,accuracy,f1_score,mcc,kernel_time,classifier_time,total_time
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.01,10,8,5120,2,0.6386666666666667,0.49783780851640896,0.0,1834.5947228680016,0.0337572360294871,1834.628480104031
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.01,10,9,6144,0,0.6386666666666667,0.49783780851640896,0.0,775.4297027700231,0.03198746597627178,775.4616902359994
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.05,10,0,42,0,0.6386666666666667,0.49783780851640896,0.0,1740.8425635669846,0.036233227991033345,1740.8787967949756
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.05,10,1,123,1,0.6386666666666667,0.49783780851640896,0.0,1801.281291804975,0.04439690802246332,1801.3256887129974
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.05,10,2,456,2,0.6386666666666667,0.49783780851640896,0.0,1705.6465844299528,0.16480574698653072,1705.8113901769393
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.05,10,3,789,0,0.6386666666666667,0.49783780851640896,0.0,1807.6852492289618,0.04493311402620748,1807.730182342988
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.05,10,4,1024,1,0.6386666666666667,0.49783780851640896,0.0,1801.4090608180268,0.14978183002676815,1801.5588426480535
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.05,10,5,2048,2,0.6386666666666667,0.49783780851640896,0.0,1842.4057832160033,0.05637576396111399,1842.4621589799644
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.05,10,6,3072,0,0.6386666666666667,0.49783780851640896,0.0,1798.060141665046,0.1279880979564041,1798.1881297630025
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.05,10,7,4096,1,0.6386666666666667,0.49783780851640896,0.0,1829.4884986960096,0.0511375879868865,1829.5396362839965
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.05,10,8,5120,2,0.6386666666666667,0.49783780851640896,0.0,1830.011040412006,0.03320063097635284,1830.0442410429823
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.05,10,9,6144,0,0.6386666666666667,0.49783780851640896,0.0,774.9592271189904,0.03207999101141468,774.9913071100018
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.0,10,0,42,0,0.84,0.8415212224108659,0.6630210343931566,320.32411842799047,1.0107290809974074,321.3348475089879
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.0,10,1,123,1,0.8893333333333333,0.8901571484266642,0.7655557854715834,327.71633578505134,0.06913220399292186,327.78546798904426
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.0,10,2,456,2,0.8653333333333333,0.8666511631121978,0.7172584653970288,328.0814606559579,0.06461410102201626,328.14607475697994
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.0,10,3,789,0,0.8346666666666667,0.8365876898673212,0.6551794834124297,316.3580088579911,0.9563090020092204,317.3143178600003
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.0,10,4,1024,1,0.8506666666666667,0.8513368493091439,0.6799296829066596,325.98569038300775,0.05764140700921416,326.04333179001696
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.0,10,5,2048,2,0.8906666666666667,0.891305648775959,0.766910716706196,325.80508921894943,0.3593104430474341,326.16439966199687
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.0,10,6,3072,0,0.8773333333333333,0.8785673579294268,0.743129073238057,322.66727255802834,0.3557033420074731,323.0229759000358
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.0,10,7,4096,1,0.884,0.8855375648031386,0.7625574108708372,321.6754392120056,0.7137885720003396,322.3892277840059
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.0,10,8,5120,2,0.9,0.9004833404833404,0.7861120616985272,322.27341293997597,0.3632684670155868,322.63668140699156
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.0,10,9,6144,0,0.868,0.8687275378818888,0.7180576304803931,99.70204628194915,0.03148234897525981,99.73352863092441
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.002,10,0,42,0,0.8093333333333333,0.812824268721936,0.623469799451002,1887.3338364029769,0.059599987987894565,1887.3934363909648
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.002,10,1,123,1,0.8506666666666667,0.8529715903466571,0.697709375489242,1893.1457705069915,0.03339288604911417,1893.1791633930407
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.002,10,2,456,2,0.8186666666666667,0.8219306426668431,0.6410605200659331,1675.7044828429935,0.7702555709984154,1676.4747384139919
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.002,10,3,789,0,0.816,0.8194501095005458,0.6406425258345038,1767.1064655660302,0.09483185596764088,1767.2012974219979
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.002,10,4,1024,1,0.7866666666666666,0.7906988720431967,0.6113013717605332,1804.9937301309546,0.03333096095593646,1805.0270610919106
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.002,10,5,2048,2,0.876,0.8771439369198794,0.7391821480970237,1800.5802239999757,0.04063234099885449,1800.6208563409746
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.002,10,6,3072,0,0.8293333333333334,0.8318415684406874,0.6507746284221119,1794.2235416240292,0.2523613930097781,1794.475903017039
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.002,10,7,4096,1,0.8413333333333334,0.844206256028662,0.6890345576424188,1841.9761388109764,0.05231475498294458,1842.0284535659594
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.002,10,8,5120,2,0.876,0.8760493946898976,0.731554162694432,1810.518440350017,0.056470173003617674,1810.5749105230207
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.002,10,9,6144,0,0.848,0.8493587015656169,0.679231206801826,763.4480349289952,0.0319140559877269,763.4799489849829
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.01,10,0,42,0,0.6386666666666667,0.49783780851640896,0.0,1913.9010800140095,0.03210462996503338,1913.9331846439745
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.01,10,1,123,1,0.6386666666666667,0.49783780851640896,0.0,1355.2326653909986,0.09404164797160774,1355.3267070389702
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.01,10,2,456,2,0.6386666666666667,0.49783780851640896,0.0,1914.660307817976,0.03377851302502677,1914.694086331001
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.01,10,3,789,0,0.6386666666666667,0.49783780851640896,0.0,1758.2748969550012,0.12054131296463311,1758.3954382679658
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.01,10,4,1024,1,0.6386666666666667,0.49783780851640896,0.0,1853.2293210650096,0.05168991500977427,1853.2810109800193
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.01,10,5,2048,2,0.6386666666666667,0.49783780851640896,0.0,1781.2076995639945,0.06436687696259469,1781.2720664409571
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.01,10,6,3072,0,0.6386666666666667,0.49783780851640896,0.0,1718.47201644897,0.07360363099724054,1718.5456200799672
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.01,10,7,4096,1,0.6386666666666667,0.49783780851640896,0.0,1859.1938077709638,0.053432695975061506,1859.2472404669388
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.01,10,8,5120,2,0.6386666666666667,0.49783780851640896,0.0,1785.3242139200447,0.055157819006126374,1785.3793717390508
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.01,10,9,6144,0,0.6386666666666667,0.49783780851640896,0.0,761.6037159739644,0.031557284004520625,761.635273257969
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.05,10,0,42,0,0.6386666666666667,0.49783780851640896,0.0,1645.2920809399802,10.938193386013154,1656.2302743259934
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.05,10,1,123,1,0.6386666666666667,0.49783780851640896,0.0,1643.1280731179868,0.6947513199993409,1643.8228244379861
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.05,10,2,456,2,0.6386666666666667,0.49783780851640896,0.0,1876.6364325030008,0.049529976036865264,1876.6859624790377
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.05,10,3,789,0,0.6386666666666667,0.49783780851640896,0.0,1819.4431953899912,0.032244638015981764,1819.4754400280071
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.05,10,4,1024,1,0.6386666666666667,0.49783780851640896,0.0,1795.0733944990207,0.2293516950448975,1795.3027461940655
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.05,10,5,2048,2,0.6386666666666667,0.49783780851640896,0.0,1813.509792094992,0.09683068498270586,1813.6066227799747
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.05,10,6,3072,0,0.6386666666666667,0.49783780851640896,0.0,1691.9993059249828,0.041603234014473855,1692.0409091589972
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.05,10,7,4096,1,0.6386666666666667,0.49783780851640896,0.0,1878.036890635034,0.04964128602296114,1878.086531921057
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.05,10,8,5120,2,0.6386666666666667,0.49783780851640896,0.0,1627.6113909519627,0.08394086098996922,1627.6953318129526
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.05,10,9,6144,0,0.6386666666666667,0.49783780851640896,0.0,807.6283614590066,0.0314150249469094,807.6597764839535
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.0,10,0,42,0,0.8626666666666667,0.8612335570443435,0.6984635343926131,384.99350170698017,1.9058925839490257,386.8993942909292
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.0,10,1,123,1,0.8946666666666667,0.8951025292904913,0.7741579675171772,385.12781501497375,1.8900506219943054,387.01786563696805
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.0,10,2,456,2,0.8906666666666667,0.8903004164049595,0.7617915012516845,373.5517664109939,2.925252907036338,376.4770193180302
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.0,10,3,789,0,0.884,0.8832432879394506,0.7463302544387336,384.18087115796516,1.8564702560543083,386.03734141401947
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.0,10,4,1024,1,0.8666666666666667,0.8652071914801038,0.707219671118812,383.4440876489389,2.1683807100052945,385.61246835894417
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.0,10,5,2048,2,0.896,0.8941836950557097,0.7724185623977375,372.14417002897244,2.92755888303509,375.07172891200753
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.0,10,6,3072,0,0.8813333333333333,0.8807777525124433,0.7409863552203803,380.19237498100847,2.7041386910132132,382.8965136720217
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.0,10,7,4096,1,0.9133333333333333,0.912848588914695,0.8108318922626498,381.2102231940371,2.8990438189939596,384.10926701303106
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.0,10,8,5120,2,0.8786666666666667,0.8767536459438152,0.7334996807683007,384.1784710349748,1.8294520630151965,386.00792309799
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.0,10,9,6144,0,0.8773333333333333,0.8753304969943273,0.7305158967248677,119.11746909702197,0.06169154500821605,119.17916064203018
