dataset,config,model,entanglement,optimization_level,optimization_name,optimization_description,noise_level,two_qubit_error,circuit_depth,total_gates,two_qubit_gates,component_count,aggregate_circuit_depth,aggregate_total_gates,aggregate_two_qubit_gates,accuracy_mean,accuracy_std,accuracy_ci95,accuracy_median,accuracy_min,accuracy_max,f1_mean,f1_std,mcc_mean,mcc_std,avg_kernel_time,kernel_time_std,avg_classifier_time,classifier_time_std,avg_time,time_std,kernel_fraction_of_total,classifier_fraction_of_total,n_runs,num_qubits
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,0.0,237,604,474,1,237,604,474,0.9598666666666666,0.003635218674965084,0.0026004787839140554,0.96,0.952,0.9653333333333334,0.957076216340943,0.003813350915968371,0.7415003193903472,0.02403467575658275,293.7630304185674,69.092254434109,0.413078713323921,0.45505275188031347,294.1761091318913,69.20807403754624,0.9985958114867217,0.0014041885132783532,10,10
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,0.006,237,604,474,1,237,604,474,0.9004000000000001,0.09283049733017648,0.0664069373514739,0.9366666666666666,0.6546666666666666,0.9613333333333334,0.912315408886282,0.07022012886180119,0.6250987683941305,0.11908740954274978,1628.7116317729233,318.3446994586889,2.1728031231323257,4.3930020211433005,1630.8844348960556,318.0370356324497,0.998667714844387,0.001332285155613009,10,10
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.01,0.03,237,604,474,1,237,604,474,0.9066666666666666,0.0,0.0,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.8622843822843823,0.0,0.0,0.0,1659.4329697966343,327.2503108559997,0.06512518727686256,0.03217765466041429,1659.4980949839112,327.25912804516327,0.9999607560939818,3.924390601815903e-05,10,10
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.05,0.15000000000000002,237,604,474,1,237,604,474,0.9066666666666666,0.0,0.0,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.8622843822843823,0.0,0.0,0.0,1622.0352013337658,311.95073696766923,0.05759315458126366,0.0190529821836475,1622.0927944883472,311.95852651653416,0.999964494537688,3.5505462311994385e-05,10,10
IoT_Original_Distribution,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.0,0.0,195,592,372,1,195,592,372,0.9597333333333333,0.004567193805747625,0.0032671736299287324,0.9593333333333334,0.952,0.9653333333333334,0.9568673912665322,0.0052125706518327385,0.7405662925037889,0.03173822746537479,299.994391232077,70.75162524762156,0.4177903756033629,0.40350358871537395,300.4121816076804,70.8694625812686,0.9986092761839166,0.0013907238160833675,10,10
IoT_Original_Distribution,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.002,0.006,195,592,372,1,195,592,372,0.9628,0.006665185020539548,0.004767986134133002,0.9646666666666667,0.952,0.972,0.9613053098522597,0.007780621318181726,0.7684695169210644,0.04829443834895149,1714.349923485727,333.10688511855625,0.06456987138371914,0.032081003219549785,1714.4144933571108,333.11626741060786,0.9999623370709744,3.7662929025571004e-05,10,10
IoT_Original_Distribution,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.01,0.03,195,592,372,1,195,592,372,0.9066666666666666,0.0,0.0,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.8622843822843823,0.0,0.0,0.0,1710.7057080620666,333.12955904091217,0.056073441286571324,0.01948056212717573,1710.7617815033532,333.1366451097631,0.9999672231155191,3.277688448083993e-05,10,10
IoT_Original_Distribution,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.05,0.15000000000000002,195,592,372,1,195,592,372,0.9066666666666666,0.0,0.0,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.8622843822843823,0.0,0.0,0.0,1740.2577736778185,341.91596897625436,0.05975428088568151,0.01912908284337348,1740.3175279587042,341.9244595265486,0.9999656647250138,3.43352749861515e-05,10,10
IoT_Original_Distribution,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.0,0.0,237,604,474,2,239,624,474,0.9757333333333336,0.004435546648844321,0.0031729989270842234,0.9753333333333334,0.9693333333333334,0.9826666666666667,0.9756443534353272,0.004473806281574753,0.8561062295224404,0.026776633453075755,350.6785163387423,81.80464158494874,1.9977789948228746,0.9286501719918532,352.67629533356524,82.4668868231024,0.9943353748997126,0.005664625100287368,10,10
IoT_Original_Distribution,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.002,0.006,237,604,474,2,239,624,474,0.954,0.013067724824879268,0.009348087199032656,0.9593333333333334,0.9306666666666666,0.9733333333333334,0.9567355100619427,0.011089833615987076,0.770460664456482,0.045926576220122285,2326.428267723066,424.44249050289494,0.09936427469365298,0.03407077123463539,2326.5276319977593,424.45520968874683,0.9999572907395008,4.270926049923171e-05,10,10
IoT_Original_Distribution,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.01,0.03,237,604,474,2,239,624,474,0.9753333333333334,0.006036923425424923,0.0043185548633005045,0.976,0.9653333333333334,0.9853333333333333,0.9746241229763128,0.006239381948046835,0.8483118667191466,0.037877690243065316,2318.6339780693174,428.23164779328937,0.11745452110189944,0.05486002307624564,2318.7514325904194,428.2453894176753,0.9999493457903891,5.065420961085242e-05,10,10
IoT_Original_Distribution,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.05,0.15000000000000002,237,604,474,2,239,624,474,0.9725333333333334,0.005266244708835071,0.003767244521089723,0.9726666666666667,0.964,0.98,0.9707615224582572,0.006143981182355937,0.8271628954768889,0.0356593042709656,2305.5653806183955,426.34053809039716,1.1572232485283167,3.262572379668283,2306.7226038669237,426.3722779217296,0.9994983257862959,0.0005016742137040583,10,10
IoT_Original_Distribution,10q_2p5k,QVE,full,3,L3,qiskit_heavy,0.0,0.0,195,592,372,2,197,612,372,0.9746666666666666,0.005586580039989551,0.003996398612463142,0.9753333333333334,0.9653333333333334,0.9813333333333333,0.9746316260469428,0.005527489277560191,0.8505456329217095,0.03214198489532453,355.4244235282764,82.81242754218806,2.0456209584139287,0.8458199103543886,357.4700444866903,83.49939122688225,0.9942775038357373,0.005722496164262774,10,10
IoT_Original_Distribution,10q_2p5k,QVE,full,3,L3,qiskit_heavy,0.002,0.006,195,592,372,2,197,612,372,0.9596,0.00940816561540632,0.006730196245662951,0.9593333333333334,0.944,0.9746666666666667,0.961394896507187,0.008289020360837628,0.788273918163801,0.03879860410895974,2409.729815723747,441.88093798421295,0.12028728954028338,0.047530081065083406,2409.8501030132875,441.8989475294678,0.999950085157002,4.9914842997859334e-05,10,10
IoT_Original_Distribution,10q_2p5k,QVE,full,3,L3,qiskit_heavy,0.01,0.03,195,592,372,2,197,612,372,0.9704,0.007297555822852915,0.005220356954713256,0.9733333333333334,0.96,0.9786666666666667,0.9703913859645699,0.007178104530304529,0.8255689368608582,0.04175170223259486,2401.119753972511,441.02751400121934,0.22334080848377197,0.33510388551244474,2401.3430947809948,441.0923548339231,0.9999069933784267,9.30066215732246e-05,10,10
