backend,num_qubits,processor,sx_error_median,two_qubit_gate,two_qubit_error_median,two_qubit_error_max,readout_error_median,readout_error_mean,t1_median_us,t2_median_us
FakeKolkataV2,27,"{'family': 'Falcon', 'revision': 5.11}",0.00019798931961037083,cx,0.007542471410836901,0.06279644084072558,0.009600000000000053,0.012177777777777777,111.48198580190842,82.6760048552031
FakeCairoV2,27,"{'family': 'Falcon', 'revision': '5.11'}",0.00026734887416663084,cx,0.007751541548267293,0.031315304945814915,0.013900000000000023,0.026325925925925926,96.95052344739105,81.4307356942292
FakeSherbrooke,127,"{'family': 'Eagle', 'revision': 3}",0.0002362269001245515,ecr,0.00778809624800933,1.0,0.019775390625,0.04147699311023622,278.41972084544125,170.0127424244177
FakeFez,156,"{'family': 'Heron', 'revision': '2'}",0.00022868757107977525,cz,0.0039033828523107883,1.0,0.007568359375,0.01324149889823718,144.85526609546147,87.95068681159162
