dataset,config,method,accuracy_mean,accuracy_std,accuracy_ci95,f1_mean,f1_std,circuit_depth,total_gates,two_qubit_gates,n_runs,nisq_feasibility_score,estimated_circuit_fidelity,expected_noisy_accuracy
UNSW_NB15,10q_5k,none (baseline),0.8767111111111111,0.00910884935949077,0.0034013002496389414,0.8781189421744482,0.008673151022837484,237,604,474,30,16.62583910776173,0.021145977694043274,0.5079659247526538
UNSW_NB15,10q_5k,qiskit_level3,0.8746222222222222,0.009346351074956873,0.0034899848476845604,0.8760392314566835,0.008951825439545355,195,592,372,30,20.167968253779822,0.046699206344495564,0.517494560456789
