status,dataset,model,device,entanglement,optimization_level,num_qubits,run_idx,seed,gpu_id,aggregate_depth,aggregate_two_qubit_gates,mean_readout_error,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,kernel_time,classifier_time,total_time,zz_reps,layout
success,UNSW_NB15,QSVC,ideal,full,0,10,0,42,0,237,474,,0.84,0.8378848924188615,0.8415212224108659,0.6630210343931566,0.9222203391136208,0.8378501823543653,318.0559661369771,1.1418208820396103,319.1977870190167,2,best_healthy_path
success,UNSW_NB15,QSVC,ideal,full,0,10,1,123,1,237,474,,0.876,0.8804897965472347,0.877471232553037,0.7430857274532514,0.9550570453512468,0.8803409524670838,318.6970099119935,0.5135629470460117,319.2105728590396,2,best_healthy_path
success,UNSW_NB15,QSVC,ideal,full,0,10,2,456,2,237,474,,0.8853333333333333,0.8910013943563235,0.8867215392303849,0.7632418393942285,0.950754570176182,0.8907669641071626,318.9872469039983,0.2152237260015681,319.2024706299999,2,best_healthy_path
success,UNSW_NB15,QSVC,ideal,full,0,10,3,789,0,237,474,,0.8346666666666667,0.8353118813025291,0.8365876898673212,0.6551794834124297,0.9208336864161962,0.8353086414408792,324.6890281229862,0.0671063089976087,324.7561344319838,2,best_healthy_path
success,UNSW_NB15,QSVC,ideal,full,0,10,4,1024,1,237,474,,0.8506666666666667,0.8430309146515265,0.8513368493091439,0.6799296829066596,0.9214422728778436,0.8425811950210761,324.30006464000326,0.0655074339592829,324.36557207396254,2,best_healthy_path
success,UNSW_NB15,QSVC,ideal,full,0,10,5,2048,2,237,474,,0.8866666666666667,0.8832322874376969,0.8872913204036419,0.7580580820743626,0.9607115069063008,0.8831454696395155,317.59332982701017,1.1181163679575548,318.7114461949677,2,best_healthy_path
success,UNSW_NB15,QSVC,ideal,full,0,10,6,3072,0,237,474,,0.86,0.8599519293731559,0.8613700210572353,0.7059273679973916,0.938162993320956,0.859951911904831,316.1875946450164,1.1660138849983923,317.35360853001475,2,best_healthy_path
success,UNSW_NB15,QSVC,ideal,full,0,10,7,4096,1,237,474,,0.884,0.8915599072483418,0.8855375648031386,0.7625574108708372,0.961720681924982,0.8911430860502217,324.2526406319812,0.0650198179646395,324.31766044994583,2,best_healthy_path
success,UNSW_NB15,QSVC,ideal,full,0,10,8,5120,2,237,474,,0.9,0.8984777634832716,0.900617278083111,0.7871713106156527,0.9506621266630204,0.8984609975840239,323.9260290050297,0.5141490870155394,324.44017809204524,2,best_healthy_path
success,UNSW_NB15,QSVC,ideal,full,0,10,9,6144,0,237,474,,0.8533333333333334,0.8507268371222334,0.8545585056610245,0.6898182662966531,0.9427119845311188,0.850674920888913,595.079847696994,0.0370982390013523,595.1169459359953,2,best_healthy_path
