dataset,acc_C1,acc_bestC,best_C,delta_bestC_minus_C1
IoT,0.962708102108768,0.9697003329633741,50.0,0.006992230854606096
UNSW-2018,0.9922222222222221,0.9923333333333332,0.5,0.00011111111111106187
UNSW-NB15,0.8593333333333334,0.8808888888888889,100.0,0.02155555555555555
