dataset,model,entanglement,optimization_level,device,num_qubits,n_runs,mean_readout_error,aggregate_depth,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,f1_score_mean,f1_score_std,f1_score_ci95,mcc_mean,mcc_std,mcc_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95,g_mean_mean,g_mean_std,g_mean_ci95,total_time_mean,total_time_std,total_time_ci95,zz_reps,layout
UNSW_NB15,QSVC,full,0,FakeKolkataV2,10.0,4,0.0125799999999999,251.0,0.7616666666666667,0.0156394562754781,0.0153266671499685,0.7837698079486013,0.0092782036778776,0.0090926396043201,0.7661207687679816,0.0154963029855859,0.0151863769258742,0.5462371000458448,0.0174619049298562,0.017112666831259,0.8821268170928056,0.0085754871615343,0.0084039774183036,0.7791569659257637,0.011478916745498,0.0112493384105881,2051.209465001215,484.42769601250126,474.7391420922512,2,worst_healthy_path
UNSW_NB15,QSVC,full,0,FakeSherbrooke,10.0,5,0.0449462890625,727.0,0.6639999999999999,0.0566470554299946,0.0496533333333333,0.5382600590097759,0.0855520927690122,0.0749897156591607,0.5463934037251387,0.1085736115746826,0.0951689666091101,0.0956805341568476,0.2139481784982018,0.1875338469474214,0.8452025668482154,0.0392580772416239,0.0344112219162578,0.1275360189938178,0.285179208049881,0.2499705972278829,2853.2415040981955,379.4399192674936,332.5937535207859,2,worst_healthy_path
UNSW_NB15,QVE,full,0,FakeKolkataV2,10.0,5,0.0125799999999999,255.0,0.8328,0.0210523157871052,0.0184531684000336,0.8131801338890217,0.0234797575187488,0.0205809148915966,0.8316519769590321,0.0211736990453378,0.0185595655169951,0.6350635681879979,0.0462677420033138,0.0405554639836541,0.914205486522506,0.01835679243703,0.0160904380093168,0.8096198454184123,0.0250259415551651,0.0219362049551681,3124.5758429185958,113.62723304379284,99.5986611350034,2,worst_healthy_path
UNSW_NB15,QVE,full,0,FakeSherbrooke,10.0,5,0.0449462890625,731.0,0.8770666666666667,0.0151847877093418,0.0133100532764607,0.8308507114298701,0.0213485818948012,0.0187128570932787,0.8699416542763231,0.0174300387245261,0.0152781025638896,0.7426964256492885,0.0308983123875035,0.0270835649402848,0.9140621990771056,0.0259217010690704,0.0227213727876852,0.813588999476716,0.0265333305139251,0.0232574896338535,3539.2307344798232,541.4818962813549,474.6298088388752,2,worst_healthy_path
