dataset,model,entanglement,optimization_level,device,num_qubits,n_runs,mean_readout_error,aggregate_depth,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,f1_score_mean,f1_score_std,f1_score_ci95,mcc_mean,mcc_std,mcc_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95,g_mean_mean,g_mean_std,g_mean_ci95,total_time_mean,total_time_std,total_time_ci95,zz_reps,layout
IoT_Original_Distribution,QSVC,full,0,FakeCairoV2,6.0,10,0.05445,135.0,0.944,0.0088051612249595,0.0054574954686305,0.9246003788768338,0.0161856569810831,0.0100319741313398,0.9481074942353565,0.0072708937910507,0.0045065466609597,0.7350871110408055,0.0289196386984488,0.0179245777696641,0.9662061173474448,0.010324666990236,0.0063992948992926,0.9240611384833636,0.0166564565667585,0.0103237787377305,369.9067492239119,5.249970022843116,3.25396513227893,2,best_healthy_path
IoT_Original_Distribution,QSVC,full,0,FakeKolkataV2,6.0,10,0.00655,135.0,0.9537333333333332,0.0054087263738937,0.003352363338097,0.9293363392982952,0.012236696076498,0.007584382804848,0.9563399148868404,0.0046427672541598,0.0028776169571614,0.768114410206324,0.0207383694724881,0.0128537745682687,0.9634728288948382,0.0123709855817396,0.0076676163025224,0.9287312151697767,0.0126799231613983,0.0078590977982045,347.85695234349697,36.97753272060811,22.91891222750276,2,best_healthy_path
IoT_Original_Distribution,QSVC,full,0,FakeSherbrooke,6.0,10,0.0309244791666666,381.0,0.951,0.0040642980351493,0.0025190780206405,0.9278278771938064,0.0137570160324832,0.0085266868761396,0.953968909256638,0.0035491266807217,0.0021997715070485,0.7578106103574282,0.017698030472666,0.0109693529329674,0.9626334027418992,0.0129329243647916,0.0080159095686878,0.9272472896596832,0.0143012878087037,0.008864030018024,892.4967744478083,171.91546876754194,106.55431147891062,2,best_healthy_path
IoT_Original_Distribution,QSVC,full,0,ideal,6.0,8,,124.0,0.9518333333333332,0.0042575796090013,0.0029503521447071,0.9221697743960672,0.0120232104054133,0.0083316597371144,0.9544762767101111,0.0036798784952038,0.0025500256971431,0.7568606635837282,0.0174324436993479,0.0120800671694123,0.9552477833617752,0.0109977726133796,0.007621067601011,0.9213353313511656,0.0126078622289066,0.0087368027807591,300.35984189588635,86.66571654870032,60.05627755061764,2,best_healthy_path
IoT_Original_Distribution,QVE,full,0,FakeCairoV2,6.0,10,0.05445,139.0,0.9429333333333332,0.0057709361202237,0.0035768632647635,0.935135346703615,0.0114617906398999,0.0071040914392722,0.9475792788541928,0.0047736756763915,0.002958754837875,0.7390119090801737,0.0192209112006318,0.0119132441871762,0.9664573972309636,0.0129047726840175,0.007998460976171,0.9349817364619284,0.0115795276208812,0.0071770655761198,470.7097253433837,82.06031466055742,50.86150996814381,2,best_healthy_path
IoT_Original_Distribution,QVE,full,0,FakeKolkataV2,6.0,10,0.00655,139.0,0.951,0.0057025010757139,0.003534446784728,0.9408584221815164,0.0114217927299976,0.0070793004778724,0.9544297340211204,0.0049056898586107,0.0030405780757294,0.7668430592771955,0.0217220618744442,0.0134634734356766,0.9667251159853668,0.0123270540529892,0.0076403872589013,0.9406883795165616,0.0115676061462867,0.0071696765696136,409.6559585116164,55.78112218837813,34.573497724864446,2,best_healthy_path
IoT_Original_Distribution,QVE,full,0,FakeSherbrooke,6.0,10,0.0309244791666666,385.0,0.9514,0.0059913517920663,0.0037134783135471,0.9388544455403692,0.0142192672220472,0.0088131931317279,0.9546922948066808,0.0053002276495267,0.0032851151320214,0.766627316047166,0.0256519960409262,0.0158992718677139,0.96835491261305,0.0127373987686222,0.0078947215486354,0.9386195123287818,0.0144477854062395,0.0089548301696953,918.4977745492944,150.02540939230835,92.98671211346677,2,best_healthy_path
IoT_Original_Distribution,QVE,full,0,ideal,6.0,10,,126.0,0.9538,0.005164455918901,0.0032009629415359,0.9398611306811956,0.010637194907865,0.0065930017095037,0.956741476628187,0.0044349827659054,0.0027488307970754,0.7750300331937444,0.0194785765235998,0.0120729468089221,0.9661870691319754,0.0139969502216656,0.0086753996273065,0.9396201194691072,0.0108423662874585,0.0067201682480617,496.44342373110703,74.17842110909832,45.976261732213366,2,best_healthy_path
IoT_Original_Distribution,QWE,full,0,FakeCairoV2,6.0,10,0.05445,199.0,0.9511333333333332,0.0054528280124476,0.0033796978168666,0.9333043696084417,0.0165333844362674,0.0102474978409577,0.9542708575838708,0.0049032781914368,0.0030390833089288,0.7619070943213925,0.0253914612363031,0.0157377907228122,0.9654319248091264,0.0116601678824014,0.0072270469280328,0.932891401428926,0.0169070659382789,0.0104791080354601,1118.591674109519,193.9228804024372,120.1946465284578,2,best_healthy_path
IoT_Original_Distribution,QWE,full,0,FakeKolkataV2,6.0,10,0.00655,199.0,0.9551333333333332,0.0073100640925396,0.0045308246653504,0.9351940569567736,0.0122112782713218,0.0075686286859821,0.9577489536230585,0.0063600625791147,0.0039420076269966,0.7770358693046704,0.0285111585841811,0.0176713991718297,0.9633929829505424,0.0097271028453933,0.0060289208051249,0.9347597010209028,0.0125527662421519,0.007780285123131,1011.4021905005852,36.74474223021633,22.77462718671871,2,best_healthy_path
