dataset,config,method,accuracy_mean,accuracy_std,accuracy_ci95,f1_mean,f1_std,circuit_depth,total_gates,two_qubit_gates,n_runs,nisq_feasibility_score,estimated_circuit_fidelity,expected_noisy_accuracy
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,none (baseline),0.9955111111111112,0.0016510378329783707,0.0006165076588539184,0.9954661294470643,0.0016572850544270272,124,204,150,30,41.739100158228446,0.2919775039557112,0.6446780974045434
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,qiskit_level3,0.9955111111111112,0.0016510378329783707,0.0006165076588539184,0.9954661294470643,0.0016572850544270272,124,196,142,30,43.714204873877506,0.3113551218469376,0.6542799223765114
