dataset,model,feature_regime,num_qubits,n_runs,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,f1_score_mean,f1_score_std,f1_score_ci95,mcc_mean,mcc_std,mcc_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95,g_mean_mean,g_mean_std,g_mean_ci95,training_time_mean,training_time_std,training_time_ci95
IoT_Original_Distribution,GradientBoost,full_features,6,30,0.9905555555555556,0.0027070694074036394,0.0009687123463891822,0.9612050475161649,0.012678134640177164,0.004536812215281614,0.9904371487313398,0.002772923908972941,0.000992278077124056,0.9436671176281151,0.016400218890446874,0.005868742958422465,0.9941605477536152,0.0036149415333592842,0.00129359021429702,0.9604379182143938,0.01317357815618791,0.004714104400544936,0.5604415171352836,0.05655966931631544,0.020239617729991458
IoT_Original_Distribution,GradientBoost,quantum_features,6,30,0.9811777777777778,0.003110645832750349,0.0011131303154577816,0.9286973108094709,0.016220933999824428,0.0058045866842641415,0.9808440634210925,0.0032538650579314768,0.0011643806569871904,0.8866778978240902,0.01953624346364251,0.006990954939513909,0.9793673035207018,0.0074559668068048535,0.0026680834559565637,0.9262744089418118,0.017425223164358374,0.006235536027164679,0.5278321096984049,0.3128404354275407,0.1119485120771562
IoT_Original_Distribution,LinearSVM,full_features,6,30,0.9527999999999999,0.005442559686277905,0.0019475949710185303,0.9395211330817925,0.01173757573082037,0.004200237532154395,0.9558939541421779,0.004637083195817034,0.0016593589106863947,0.771729615606419,0.020065589698897133,0.007180379057049779,0.9768892089684912,0.0069815230324512595,0.002498305931735412,0.9392617341829779,0.011969087470040276,0.004283082944061085,0.5116087089758367,0.04562573358153688,0.016326959077081434
IoT_Original_Distribution,LinearSVM,quantum_features,6,30,0.8939111111111109,0.018166309884366034,0.006500730504060277,0.8881645348321408,0.016013785774958572,0.005730459644000103,0.9078114501234235,0.013849814682826308,0.004956092533779481,0.5952268042725258,0.039047247907543506,0.013972878211805878,0.9408872989282552,0.012327989308952453,0.004411514317687912,0.8879193079857728,0.016038323566658578,0.005739240379990068,0.3662828256570113,0.027984597632521497,0.01001415965221129
IoT_Original_Distribution,MLP,full_features,6,30,0.9781555555555557,0.004280163041021517,0.0015316366736133644,0.910079115327812,0.01767309639748389,0.006324236324471939,0.9775398686407968,0.004465420143889953,0.0015979300764770413,0.8670571164786574,0.026873671019801895,0.009616619669405328,0.9802242992605117,0.00856477327040462,0.003064864753143697,0.9059931754484681,0.019733247220245973,0.007061451828431826,0.3232458740278768,0.08897970050485401,0.031840976896020744
IoT_Original_Distribution,MLP,quantum_features,6,30,0.960911111111111,0.007138441254955248,0.0025544583964994573,0.8411303158872554,0.04461835115164366,0.015966471904235335,0.9587000379581407,0.008669121160976715,0.0031022051662267167,0.7538284489334983,0.052113381706484906,0.018648534142898982,0.9582686650767058,0.016748891924729902,0.005993514001321915,0.8261238812431959,0.05552319937325643,0.019868721724238307,0.4096383596343609,0.10569494825401403,0.03782245148373564
IoT_Original_Distribution,RBF-SVM,full_features,6,30,0.9572222222222222,0.004515052163692958,0.0016156906666665318,0.9409022591705413,0.011064212450187804,0.003959277576798278,0.9596698993035421,0.00392075234934738,0.0014030232093642375,0.7871150570120977,0.017958884257047232,0.006426504196603327,0.9701782356307743,0.011246137690234229,0.004024378687863551,0.9405862553269774,0.011356878431656324,0.004064006753243214,0.511039431222404,0.027884216916680075,0.009978238874373447
IoT_Original_Distribution,RBF-SVM,quantum_features,6,30,0.9218222222222222,0.009497623551657073,0.0033986809391308086,0.9205183202083301,0.013575360408867893,0.00485788033317034,0.930267842693224,0.007571520146462095,0.0027094336874971107,0.6757725671707615,0.026777797542878113,0.009582311786299959,0.9650833163725936,0.0082147878267133,0.002939624070569013,0.9203725047588924,0.013610716704433309,0.004870532421049258,0.48560758363067485,0.045355752949902,0.016230347748817965
IoT_Original_Distribution,RandomForest,full_features,6,30,0.9867777777777778,0.002930005078040567,0.0010484888515670354,0.9383560607246673,0.015069690927931532,0.0053926196418279185,0.986438514575481,0.003078275514235576,0.0011015467457435916,0.9202498179633788,0.01814738508305871,0.006493958350886358,0.9900730964396361,0.00547827455017167,0.0019603753709258537,0.9363224800349309,0.016063578696221263,0.005748277812037477,0.6003604672305907,0.035573946988677135,0.012729973440458408
IoT_Original_Distribution,RandomForest,quantum_features,6,30,0.9821555555555556,0.002842929433701499,0.0010173292324193498,0.9221389841299662,0.014276188405516218,0.005108668410931362,0.981654302451398,0.0030102778235051564,0.0010772140846170017,0.8916311417295203,0.01789972549659704,0.006405334506055886,0.9786467765026782,0.006288130640447805,0.002250178650924278,0.9190378304354093,0.015559069353551974,0.005567741462368789,0.5985715937955925,0.04018669086581927,0.014380622637814736
UNSW_2018_IoT_Botnet_Final_10_Best,GradientBoost,full_features,6,30,0.9985333333333333,0.0008995528902176024,0.0003219008676322174,0.9973125621614936,0.0032572537809501018,0.0011655932959456364,0.9985357988108716,0.0008981731642092902,0.00032140713902103704,0.9915477455675724,0.005185780025618744,0.0018557075495501882,0.999888860832118,0.00017127201546038702,6.128890360685799e-05,0.997306075965094,0.0032726329315785263,0.0011710966543190821,0.27389610001506903,0.062196816436518886,0.022256844919962458
