dataset,config,method,accuracy_mean,accuracy_std,accuracy_ci95,f1_mean,f1_std,circuit_depth,total_gates,two_qubit_gates,n_runs,nisq_feasibility_score,estimated_circuit_fidelity,expected_noisy_accuracy
UNSW_NB15,10q_2p5k,none (baseline),0.8673333333333334,0.021629883306477922,0.01547308639901089,0.8685403280722861,0.020343598115546698,237,604,474,10,16.62583910776173,0.021145977694043274,0.5077676224729453
UNSW_NB15,10q_2p5k,qiskit_level3,0.8742666666666666,0.017453147156860055,0.012485229349890601,0.8754184076255147,0.016338783933155843,195,592,372,10,20.167968253779822,0.046699206344495564,0.5174779562945332
