dataset,config,model,entanglement,optimization_level,optimization_name,optimization_description,noise_level,num_qubits,run_idx,seed,gpu_id,accuracy,f1_score,mcc,kernel_time,classifier_time,total_time
IoT_Original_Distribution,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,0,42,0,0.9546666666666667,0.9575561457269323,0.7795008184186926,276.9810689960141,0.3466389380628243,277.3277079340769
IoT_Original_Distribution,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,1,123,1,0.96,0.9621857416538717,0.7993956907456233,276.356027834001,0.36357765702996403,276.71960549103096
IoT_Original_Distribution,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,2,456,2,0.9613333333333334,0.9632625047486387,0.8027363297881122,274.9008617120562,1.3969655720284209,276.29782728408463
IoT_Original_Distribution,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,3,789,0,0.956,0.9580884000830047,0.7724579348032709,279.5895001629833,0.06890781898982823,279.65840798197314
IoT_Original_Distribution,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,4,1024,1,0.952,0.954844349817144,0.7615061436964442,270.7314926889958,1.048076968989335,271.7795696579851
IoT_Original_Distribution,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,5,2048,2,0.9573333333333334,0.9588164839803776,0.7701949411529486,279.2049929910572,0.32972183905076236,279.534714830108
IoT_Original_Distribution,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,6,3072,0,0.9613333333333334,0.9626774386072172,0.7920982952477333,271.9462858630577,1.0223239349434152,272.9686097980011
IoT_Original_Distribution,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,7,4096,1,0.9533333333333334,0.956307797071842,0.7726168364131227,280.88325886405073,0.3353516759816557,281.2186105400324
IoT_Original_Distribution,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,8,5120,2,0.944,0.9473184081200012,0.7198216544876251,280.98568339296617,0.08205759804695845,281.0677409910131
IoT_Original_Distribution,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,9,6144,0,0.9666666666666667,0.9676468711186604,0.8182144150258319,275.08012430998497,1.2238496899371967,276.30397399992216
