dataset,config,method,model,run,seed,gpu_id,circuit_depth,total_gates,two_qubit_gates,accuracy,f1_score,precision,recall,mcc,training_time
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,none (baseline),QSVC_Precomputed_GPU,28,24576,0,124,204,150,0.9946666666666667,0.9946327660618205,0.9946400534238298,0.9946666666666667,0.9688072542805272,269.2944210820133
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,none (baseline),QSVC_Precomputed_GPU,29,25600,1,124,204,150,0.9953333333333333,0.9952807936150397,0.9953572825024438,0.9953333333333333,0.9727117770954385,219.1018892750144
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,none (baseline),QSVC_Precomputed_GPU,30,26624,2,124,204,150,0.9966666666666667,0.9966400755284308,0.9966789035731768,0.9966666666666667,0.9805571131969575,217.75756230100524
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,qiskit_level3,QSVC_Precomputed_GPU,1,42,0,124,196,142,0.9966666666666667,0.9966400755284308,0.9966789035731768,0.9966666666666667,0.9805571131969575,269.0058225550456
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,qiskit_level3,QSVC_Precomputed_GPU,2,123,1,124,196,142,0.996,0.996,0.996,0.996,0.976810219993713,275.3066754160682
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,qiskit_level3,QSVC_Precomputed_GPU,3,456,2,124,196,142,0.996,0.9959615546218488,0.996017608217168,0.996,0.9766394448969591,275.3171471229289
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,qiskit_level3,QSVC_Precomputed_GPU,4,789,0,124,196,142,0.9973333333333333,0.9973163830309103,0.9973411707078129,0.9973333333333333,0.9844649139608554,264.02521819004323
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,qiskit_level3,QSVC_Precomputed_GPU,5,1024,1,124,196,142,0.9953333333333333,0.995340603358116,0.9953503769255982,0.9953333333333333,0.9730368435381365,284.7856341559673
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,qiskit_level3,QSVC_Precomputed_GPU,6,2048,2,124,196,142,0.9926666666666667,0.9926081661625477,0.9926137819489667,0.9926666666666667,0.9569943361344565,283.1060139769688
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,qiskit_level3,QSVC_Precomputed_GPU,7,3072,0,124,196,142,0.996,0.9959615546218488,0.996017608217168,0.996,0.9766394448969591,258.797867649002
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,qiskit_level3,QSVC_Precomputed_GPU,8,4096,1,124,196,142,0.9906666666666667,0.9904504197573457,0.9907619742280573,0.9906666666666667,0.9449265089561836,280.29386307799723
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,qiskit_level3,QSVC_Precomputed_GPU,9,5120,2,124,196,142,0.9953333333333333,0.9952807936150397,0.9953572825024438,0.9953333333333333,0.9727117770954385,278.91956682899036
