dataset,config,optimization_level,optimization_name,optimization_description,run,seed,gpu_id,circuit_depth,total_gates,two_qubit_gates,accuracy,f1_score,mcc,training_time
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,5,1024,1,127,198,144,0.9546666666666667,0.9569284538432317,0.7673304473147916,265.7920758719556
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,6,2048,2,127,198,144,0.9533333333333334,0.9554332680423616,0.7562137208034863,267.06650862202514
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,7,3072,0,127,198,144,0.9613333333333334,0.9626774386072172,0.7920982952477333,210.44894543394912
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,8,4096,1,127,198,144,0.9493333333333334,0.9514864926739928,0.732649756693293,266.79110432602465
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,9,5120,2,127,198,144,0.944,0.9473184081200012,0.7198216544876251,264.83606333006173
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,10,6144,0,127,198,144,0.9513333333333334,0.9548020828342234,0.7698244711461116,195.21641101501882
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,11,7168,1,127,198,144,0.956,0.957644661430694,0.7647778196568501,268.0010549291037
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,12,8192,2,127,198,144,0.9593333333333334,0.9614111283512563,0.7930530351829883,268.2089481819421
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,13,9216,0,127,198,144,0.9626666666666667,0.9638652194283929,0.7977266593203619,201.68151995097287
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,14,10240,1,127,198,144,0.96,0.9615982731742415,0.7883518137678861,275.19806828990113
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,15,11264,2,127,198,144,0.96,0.9616998626373626,0.7901542016194781,275.22061051800847
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,16,12288,0,127,198,144,0.9446666666666667,0.9486105873320623,0.7359341918993468,231.2757174540311
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,17,13312,1,127,198,144,0.95,0.9527904833167758,0.7478659806542033,273.72197381802835
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,18,14336,2,127,198,144,0.9686666666666667,0.9697970150625762,0.8330112268534177,277.00748600205407
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,19,15360,0,127,198,144,0.9446666666666667,0.948725949722807,0.7382501928382417,264.9757738399785
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,20,16384,1,127,198,144,0.9586666666666667,0.9604231913919414,0.782966146003705,261.88446356204804
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,21,17408,2,127,198,144,0.9433333333333334,0.9472524432247766,0.7268157963603983,275.9480365490308
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,22,18432,0,127,198,144,0.9686666666666667,0.9694588081461221,0.8271205771613618,274.1224477320211
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,23,19456,1,127,198,144,0.9573333333333334,0.9591465201465201,0.7757780903879318,224.54124943399802
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,24,20480,2,127,198,144,0.9526666666666667,0.9555251186688496,0.7660250597507845,268.5118011169834
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,25,21504,0,127,198,144,0.956,0.9587066233386886,0.7843612123097239,268.36767387005966
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,26,22528,1,127,198,144,0.9493333333333334,0.9524500511172777,0.7497840926896447,196.00193468097132
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,27,23552,2,127,198,144,0.9653333333333334,0.9661613420831697,0.8077555487096469,270.2277894159779
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,28,24576,0,127,198,144,0.9553333333333334,0.956462556293408,0.7527044313772395,268.5335206890013
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,29,25600,1,127,198,144,0.9393333333333334,0.9436573909303333,0.708821968501935,187.65093065507244
IoT_Original_Distribution,6q_5k,1,L1,qiskit_light,30,26624,2,127,198,144,0.9686666666666667,0.9693709720213604,0.8257094905011013,108.68063591991086
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,1,42,0,124,196,142,0.9486666666666667,0.9519950511580313,0.7496239879314855,269.2830545390025
IoT_Original_Distribution,6q_5k,2,L2,qiskit_medium,2,123,1,124,196,142,0.96,0.9621857416538717,0.7993956907456233,277.63252742995974
