dataset,config,model,entanglement,noise_level,num_qubits,paired_runs,accuracy_mean_l0,accuracy_mean_l3,accuracy_delta_l3_minus_l0,accuracy_t_stat,accuracy_p_value,accuracy_cohens_d_paired,f1_score_mean_l0,f1_score_mean_l3,f1_score_delta_l3_minus_l0,f1_score_t_stat,f1_score_p_value,f1_score_cohens_d_paired,mcc_mean_l0,mcc_mean_l3,mcc_delta_l3_minus_l0,mcc_t_stat,mcc_p_value,mcc_cohens_d_paired,kernel_time_mean_l0,kernel_time_mean_l3,kernel_time_delta_l3_minus_l0,kernel_time_t_stat,kernel_time_p_value,kernel_time_cohens_d_paired,classifier_time_mean_l0,classifier_time_mean_l3,classifier_time_delta_l3_minus_l0,classifier_time_t_stat,classifier_time_p_value,classifier_time_cohens_d_paired,total_time_mean_l0,total_time_mean_l3,total_time_delta_l3_minus_l0,total_time_t_stat,total_time_p_value,total_time_cohens_d_paired,accuracy_p_value_holm,accuracy_significant_holm,f1_score_p_value_holm,f1_score_significant_holm,mcc_p_value_holm,mcc_significant_holm,kernel_time_p_value_holm,kernel_time_significant_holm,classifier_time_p_value_holm,classifier_time_significant_holm,total_time_p_value_holm,total_time_significant_holm
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0.0,6,30,0.9955111111111112,0.9955111111111112,0.0,0.0,1.0,0.0,0.9954661294470643,0.9954661294470643,0.0,0.0,1.0,0.0,0.9737679007331258,0.9737679007331258,0.0,0.0,1.0,0.0,277.82177790419274,273.2286427855414,-4.593135118651359,-7.739937696101444,1.5538227218155257e-08,-1.4131128232797754,0.4346424379075567,0.45950318850421656,0.02486075059665988,0.2980464290119204,0.7677927020033979,0.054415584117896994,278.25642034210034,273.6881459740456,-4.568274368054699,-7.955053102627548,8.978785283628378e-09,-1.452387343486856,1.0,False,1.0,False,1.0,False,9.322936330893154e-07,True,1.0,False,5.387271170177027e-07,True
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0.0003,6,30,0.9956666666666667,0.9956444444444446,-2.2222222222219774e-05,-1.0,0.32558198801619365,-0.18257418583505536,0.995624933068672,0.9956016923356401,-2.3240733031870685e-05,-1.0,0.32558198801619365,-0.18257418583505536,0.9746841932606124,0.9745508075944168,-0.00013338566619546983,-0.9999999999999998,0.32558198801619376,-0.18257418583505533,223.27888991577007,219.16848619147203,-4.1104037242980365,-2.173785163679041,0.03802751879215557,-0.39687705643902355,0.5608817107509821,0.5478226067265496,-0.0130591040244326,-0.10514573526976562,0.9169840685598356,-0.019196897010905725,223.83977162652107,219.71630879819858,-4.123462828322469,-2.265329270048231,0.0311376219774957,-0.41359064712737603,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0.0005,6,30,0.9956666666666667,0.9956666666666667,0.0,0.0,1.0,0.0,0.995624933068672,0.9956244599417403,-4.731269316623118e-07,-0.01429792623309829,0.9886902077000366,-0.0026104322411376,0.9746841932606124,0.9746820676503504,-2.1256102618716353e-06,-0.01116757955736399,0.9911662195539768,-0.0020389117454339386,220.06922595833893,221.509027597735,1.4398016393960764,0.6211172291892658,0.5393743071450683,0.1133999724273557,0.6087628288233342,0.48160769540894155,-0.12715513341439266,-0.8347027839194333,0.41070882246466134,-0.1523951811883447,220.67798878716226,221.99063529314395,1.3126465059816836,0.5936274513165397,0.5573636071635708,0.10838104861345624,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0.001,6,30,0.995688888888889,0.9957333333333335,4.444444444443585e-05,0.9999999999998707,0.32558198801625515,0.1825741858350318,0.9956474037493845,0.9956930118642885,4.56081149039093e-05,1.0076023015703173,0.32197919379907636,0.18396216985472863,0.9748141286887734,0.9750769733979427,0.0002628447091694334,1.0058764579207413,0.32279467397695305,0.18364707535552866,222.91519251293892,220.0312444748939,-2.8839480380450064,-2.0911994574043535,0.04538167698759837,-0.3817990383543094,0.6561493161328448,0.6314790140255354,-0.024670302107309302,-0.18154907169123374,0.8571996207120358,-0.033146173953137105,223.57134182907174,220.66272348891943,-2.908618340152316,-2.2577385174161804,0.031662868551671344,-0.41220477164570407,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0.002,6,30,0.9958444444444444,0.9958888888888888,4.4444444444450654e-05,0.8118441408860809,0.4234950884932944,0.1482217830472362,0.9958066516879185,0.9958510453331708,4.439364525236078e-05,0.8014074722208036,0.42941364687184946,0.14631631676284296,0.975736247783998,0.9759898150528702,0.0002535672688718571,0.7953755349196033,0.4328572696082794,0.14521504072106822,222.45285296436631,220.98268985310182,-1.470163111264507,-0.9626283380091595,0.3436926974069775,-0.17575108507377477,0.670256609042796,0.6409695511645016,-0.02928705787829434,-0.18532152990460385,0.8542669262957683,-0.033834927440039915,223.12310957340912,221.6236594042663,-1.4994501691428013,-1.0541267836071726,0.3005286778356447,-0.1924563392840051,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0.005,6,30,0.9937333333333334,0.9944222222222222,0.0006888888888888796,4.269302720135209,0.0001917170429704498,0.779464468212073,0.9936530693699803,0.9943608363466736,0.0007077669766932581,4.27787772569031,0.0001872552177190712,0.7810300428698266,0.963310411635576,0.9674015785974214,0.0040911669618453345,4.281139248415726,0.0001855852152608798,0.781625512726002,222.56696593849145,220.17568962100583,-2.391276317485608,-1.2565460790442686,0.21894581692297233,-0.2294128773457385,0.5365910428420951,0.595791296067182,0.05920025322508688,0.37221140988070345,0.7124416952441188,0.06795619511748752,223.10355698133353,220.771480917073,-2.332076064260521,-1.2737719449201972,0.21285891205198593,-0.23255787578334,0.01073615440634519,True,0.010486292192267987,True,0.01039277205460927,True,1.0,False,1.0,False,1.0,False
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0.008,6,30,0.9845333333333333,0.9853555555555554,0.0008222222222222242,3.7648195808376492,0.0007546415409821611,0.6873588697873083,0.9840723219285206,0.9849209167872085,0.0008485948586878862,3.7632229964067268,0.0007578771185741308,0.6870673746847157,0.9076017228320148,0.9126363344125427,0.005034611580527829,3.7794929564824793,0.0007255296595272503,0.690037849399115,223.70782286213944,222.42746902477617,-1.2803538373632668,-1.2114626453577328,0.2354976815045091,-0.22118180614577054,0.6094508741904671,0.5652470874794138,-0.0442037867110533,-0.37513958098373856,0.710286424081688,-0.06849080357260989,224.3172737363299,222.99271611225558,-1.32455762407432,-1.3338182336958275,0.19264493799693386,-0.24352077806896738,0.04150528475401886,True,0.041683241521577194,True,0.03990413127399877,True,1.0,False,1.0,False,1.0,False
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0.01,6,30,0.9753111111111111,0.9758000000000001,0.0004888888888888906,0.5026390144349838,0.6190139706690818,0.09176890882940181,0.9752937955651644,0.9756546553143142,0.00036085974914998873,0.40225134368972315,0.6904486691937451,0.07344071157520825,0.8610707059606816,0.8621465428913312,0.0010758369306495912,0.21780147238527986,0.8291090818630457,0.03976492649441877,224.1556836210036,219.73616605365726,-4.419517567346338,-3.2545994242200935,0.00288526941931255,-0.5942058400962236,0.5612197815634621,0.7232191516901366,0.16199937012667456,1.2889753709044995,0.20759423231396,0.23533362890432755,224.71690340256706,220.4593852053474,-4.257518197219664,-3.3031522950870893,0.002546110787201676,-0.6030703409647199,1.0,False,1.0,False,1.0,False,0.13560766270768987,False,1.0,False,0.1171210962112771,False
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0.02,6,30,0.09533333333333337,0.09533333333333337,0.0,0.0,1.0,0.0,0.016594846824913766,0.016594846824913766,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,225.4442957145317,220.3371195117555,-5.107176202776221,-4.480685309056177,0.00010710040411384097,-0.8180574722840251,0.6699193028616719,0.7139169521358174,0.04399764927414556,0.3295457759170704,0.7441117024229504,0.06016655173344073,226.11421501739338,221.0510364638913,-5.063178553502075,-4.6795603043747604,6.176348331566396e-05,-0.8543669126372657,1.0,False,1.0,False,1.0,False,0.005676321418033571,True,1.0,False,0.003335228099045854,True
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0.05,6,30,0.09533333333333337,0.09533333333333337,0.0,0.0,1.0,0.0,0.016594846824913766,0.016594846824913766,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,222.93091873440426,221.55007777155066,-1.3808409628535931,-1.2815157444307834,0.21016482323233773,-0.2339716936742552,0.6552029678093579,0.6856618408036108,0.030458872994252793,0.17408708488597302,0.8630066153996101,0.0317838077874547,223.5861217022136,222.23573961235428,-1.3503820898593404,-1.3859155053740466,0.17633850078874563,-0.25303239502984587,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
