status,dataset,model,device,entanglement,optimization_level,num_qubits,run_idx,seed,gpu_id,aggregate_depth,aggregate_two_qubit_gates,mean_readout_error,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,kernel_time,classifier_time,total_time,zz_reps,layout
success,IoT_Original_Distribution,QSVC,ideal,full,0,10,0,42,0,237,474,,0.968,0.860609243697479,0.9663852498786996,0.7981721649273954,0.9737394957983194,0.8504200642707612,443.85709026199766,1.152745703002438,445.0098359650001,2,best_healthy_path
success,IoT_Original_Distribution,QSVC,ideal,full,0,10,1,123,1,237,474,,0.9573333333333334,0.8226890756302521,0.9548287071767942,0.7263003196247418,0.9813235294117648,0.8058608842138216,444.4287553000031,0.5437950540799648,444.9725503540831,2,best_healthy_path
success,IoT_Original_Distribution,QSVC,ideal,full,0,10,2,456,2,237,474,,0.956,0.8411764705882352,0.9546331807359246,0.726169519537928,0.970609243697479,0.8292448726543501,444.760432963958,0.2338965849485248,444.9943295489065,2,best_healthy_path
success,IoT_Original_Distribution,QSVC,ideal,full,0,10,3,789,0,237,474,,0.9666666666666668,0.8726890756302521,0.9656311975272156,0.7932418273770223,0.9797794117647058,0.8650059503365553,582.483517804998,0.9923685250105336,583.4758863300085,2,best_healthy_path
success,IoT_Original_Distribution,QSVC,ideal,full,0,10,4,1024,1,237,474,,0.96,0.8177521008403361,0.9569565217391304,0.7411188857944132,0.9807773109243696,0.7988305528088171,583.2136974490713,0.2120580020127818,583.4257554510841,2,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,10,0,42,2,251,474,0.00766,0.9666666666666668,0.8919117647058823,0.9663383869487836,0.7994181780266665,0.9852310924369748,0.8871633578599895,1118.7635188261047,0.054932669037953,1118.8184514951429,2,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,10,1,123,0,251,474,0.00766,0.9626666666666668,0.8576680672268908,0.9613670222721316,0.7670319762645813,0.977752100840336,0.847896557033092,2131.693542340072,0.0791399270528927,2131.7726822671248,2,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,10,2,456,1,251,474,0.00766,0.9626666666666668,0.8576680672268908,0.9613670222721316,0.7670319762645813,0.9804201680672268,0.847896557033092,2157.661857135943,0.0386611230205744,2157.700518258964,2,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,10,3,789,2,251,474,0.00766,0.9706666666666668,0.8941176470588236,0.9700743719178632,0.8207432288962923,0.9780462184873948,0.8891502883619381,2150.9403847709764,0.0871438999893143,2151.0275286709657,2,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,10,4,1024,0,251,474,0.00766,0.9666666666666668,0.8534663865546219,0.9648484848484848,0.7888743678291347,0.9867857142857144,0.8420413371357597,2789.38583403104,0.0600615489529445,2789.445895579993,2,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,10,0,42,1,727,474,0.022216796875,0.9666666666666668,0.866281512605042,0.9653792003799636,0.7915592740010371,0.9851470588235294,0.8574439247167208,2800.5696998889325,0.0405418240698054,2800.6102417130023,2,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,10,1,123,2,727,474,0.022216796875,0.96,0.8433823529411765,0.9582999271137026,0.7479014930424658,0.9805882352941176,0.8311048634905508,2782.746222660062,0.1327452230034396,2782.8789678830653,2,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,10,2,456,0,727,474,0.022216796875,0.9626666666666668,0.876890756302521,0.9621723880167904,0.7740142197729354,0.9697689075630254,0.87052577563816,3130.52410450601,0.1221516219666227,3130.646256127977,2,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,10,3,789,1,727,474,0.022216796875,0.964,0.8776260504201681,0.9633992673992674,0.7808964604022992,0.9827731092436977,0.8711771231109853,3165.928320714971,0.0867000540019944,3166.015020768973,2,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,10,4,1024,2,727,474,0.022216796875,0.9613333333333334,0.8377100840336135,0.9592242424242424,0.7537090914028731,0.9874159663865544,0.8238054759376596,3172.1610437199706,0.0406182070728391,3172.2016619270435,2,best_healthy_path
success,IoT_Original_Distribution,QVE,ideal,full,0,10,0,42,0,239,474,,0.9786666666666668,0.9433823529411764,0.9788011920319166,0.8756504609878387,0.967563025210084,0.9423843352338354,512.9457860519178,2.7687466139905155,515.7145326659083,2,best_healthy_path
success,IoT_Original_Distribution,QVE,ideal,full,0,10,1,123,1,239,474,,0.9653333333333334,0.8847689075630252,0.9648743603013052,0.790193446774878,0.9774579831932771,0.8792065750895361,522.1004546879558,1.7568678479874509,523.8573225359432,2,best_healthy_path
