model_name,n_runs,k_folds,num_gpus_used,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci_low,balanced_accuracy_ci_high,balanced_accuracy_min,balanced_accuracy_max,f1_score_mean,f1_score_std,f1_score_ci_low,f1_score_ci_high,f1_score_min,f1_score_max,f1_macro_mean,f1_macro_std,f1_macro_ci_low,f1_macro_ci_high,f1_macro_min,f1_macro_max,precision_mean,precision_std,precision_ci_low,precision_ci_high,precision_min,precision_max,recall_mean,recall_std,recall_ci_low,recall_ci_high,recall_min,recall_max,mcc_mean,mcc_std,mcc_ci_low,mcc_ci_high,mcc_min,mcc_max,cohen_kappa_mean,cohen_kappa_std,cohen_kappa_ci_low,cohen_kappa_ci_high,cohen_kappa_min,cohen_kappa_max,training_time_mean,training_time_std,training_time_ci_low,training_time_ci_high,training_time_min,training_time_max,specificity_mean,specificity_std,specificity_ci_low,specificity_ci_high,specificity_min,specificity_max,sensitivity_mean,sensitivity_std,sensitivity_ci_low,sensitivity_ci_high,sensitivity_min,sensitivity_max,g_mean_mean,g_mean_std,g_mean_ci_low,g_mean_ci_high,g_mean_min,g_mean_max,roc_auc_mean,roc_auc_std,roc_auc_ci_low,roc_auc_ci_high,roc_auc_min,roc_auc_max,dataset
QSVC_ZZ_CV,10,5,3,0.8669999999999999,0.02016035713969375,0.861212320788627,0.8727876792113728,0.826,0.912,0.8683412519291793,0.020419259153633174,0.8624792465640843,0.8742032572942744,0.8130208333333333,0.9147543254992293,0.8683488865778931,0.019800016065417005,0.8626646548664898,0.8740331182892964,0.826309275140444,0.9124821587562496,0.85908977056208,0.020926294200903393,0.8530822044719348,0.8650973366522252,0.8118764352530586,0.9058283679200054,0.8734031808953783,0.018577171353603643,0.8680700061056484,0.8787363556851081,0.8266804571546778,0.914405291442745,0.8669999999999999,0.02016035713969375,0.861212320788627,0.8727876792113728,0.826,0.912,0.7221713375982383,0.04083947149644938,0.7104470532244226,0.7338956219720539,0.6238200148594982,0.8124813778984846,0.7188356813095402,0.04156879643628914,0.7069020207444499,0.7307693418746306,0.6237675142708874,0.8117373222201304,203.488455491066,40.350983953426564,191.9044071844081,215.0725037977239,150.3127830028534,243.4606146812439,0.8731682013505219,0.03139821528824986,0.8641543333600477,0.8821820693409961,0.7666666666666667,0.9392265193370166,0.8635143025078369,0.026080876770629015,0.8560269476334261,0.8710016573822477,0.8025078369905956,0.9184952978056427,0.8680853644423308,0.02054002587156982,0.8621886891049735,0.873982039779688,0.8116983224490899,0.914426917663908,0.9458653146083862,0.012856807722555742,0.9421743542615605,0.9495562749552119,0.90875,0.9734494882142053,UNSW_NB15
QSVC_Pauli_CV,10,5,3,0.8664799999999998,0.020343293735282906,0.8606398029525612,0.8723201970474385,0.826,0.912,0.8675240540045145,0.019783278494579358,0.8618446273513805,0.8732034806576485,0.8206151821126102,0.9147543254992293,0.8678155057367063,0.019885132569002057,0.8621068385941779,0.8735241728792347,0.8273668354117792,0.9124821587562496,0.858501343755606,0.02087693405453105,0.8525079480837252,0.8644947394274869,0.8147919496234104,0.9058283679200054,0.8728266410845866,0.018259596805648814,0.8675846362873586,0.8780686458818147,0.8302534908700322,0.914405291442745,0.8664799999999998,0.020343293735282906,0.8606398029525612,0.8723201970474385,0.826,0.912,0.7209610239527244,0.040403559487771516,0.7093618821472238,0.732560165758225,0.6312245491710092,0.8124813778984846,0.7176662667750437,0.041410378504631744,0.705778085174607,0.7295544483754804,0.6299384081396535,0.8117373222201304,202.968815073967,41.729579280860925,190.98899661987565,214.94863352805834,144.02349758148193,243.06046223640442,0.8712836095764273,0.0297078670581501,0.8627550104352865,0.879812208717568,0.8011049723756906,0.9392265193370166,0.8637644984326017,0.028206325829064245,0.8556669650159608,0.8718620318492426,0.8025078369905956,0.9184952978056427,0.8672562157022631,0.0198541045919294,0.8615564561389323,0.8729559752655939,0.8203832207144012,0.914426917663908,0.9458401757561806,0.012313221443158755,0.9423052693416862,0.949375082170675,0.90875,0.9734494882142053,UNSW_NB15
QSVC_ZZFull_CV,10,5,3,0.8680799999999997,0.01934925321556366,0.8625251742687225,0.8736348257312769,0.828,0.912,0.8690177103839885,0.018453608881343245,0.8637200081777576,0.8743154125902193,0.824572645871941,0.9107189248168482,0.8693819450168355,0.018883796286705102,0.8639607436738704,0.8748031463598006,0.829576910016978,0.9124821587562496,0.8601483081632102,0.01976458343973894,0.854474248527114,0.8658223677993064,0.8174872665534805,0.9058283679200054,0.8742116110631276,0.01707217469581437,0.8693104939898915,0.8791127281363638,0.8333405899931552,0.9137269015062945,0.8680799999999997,0.01934925321556366,0.8625251742687225,0.8736348257312769,0.828,0.912,0.7240961471240145,0.03798814242785492,0.7131904285057922,0.7350018657422368,0.6373335112575702,0.8124813778984846,0.7209293411524739,0.03916282195928011,0.7096863929774067,0.7321722893275411,0.6354758311998779,0.8117373222201304,203.1120686531067,39.293505991826436,191.83160342151186,214.39253388470152,149.26501035690308,241.55234050750732,0.8723953345610805,0.0273427019643169,0.8645457321634097,0.8802449369587514,0.8055555555555556,0.9277777777777778,0.8656400862068965,0.027593947984145342,0.8577183555549578,0.8735618168588352,0.8025078369905956,0.9153605015673981,0.8687708888861145,0.018548906799025298,0.8634458283462375,0.8740959494259916,0.8244791342687361,0.9107070965929852,0.9455930345017617,0.0128577157763182,0.9419018134688852,0.9492842555346381,0.90875,0.9731896984707044,UNSW_NB15
