dataset,model,composition,n_maps,noise_level,num_qubits,n_runs,accuracy_mean,accuracy_std,accuracy_ci95,f1_score_mean,f1_score_std,f1_score_ci95,mcc_mean,mcc_std,mcc_ci95,total_time_mean,total_time_std,total_time_ci95
IoT_Original_Distribution,QVE,2map,2,0.0,6,10,0.9516666666666665,0.006232134961057857,0.0038627172678514883,0.9549370182273105,0.0052760162745730055,0.003270108766354334,0.767876306034177,0.02178670796758629,0.013503541499324069,367.2449136146994,74.9353319660894,46.44539994179851
IoT_Original_Distribution,QVE,2map,2,0.002,6,10,0.9501999999999999,0.0051260650805346475,0.0031771680533938117,0.9537590040270464,0.004454778204701468,0.0027611001371555606,0.7643206170838185,0.020718909713066825,0.012841713284420665,270.0147125910993,16.79254970443868,10.408130138372258
IoT_Original_Distribution,QVE,2map,2,0.01,6,10,0.9163333333333334,0.010101949451271748,0.006261253138485746,0.9261870705955889,0.007794139993311862,0.004830858017090704,0.6681097211339966,0.021394454227397504,0.013260420112339638,245.6169449581992,35.59908033898815,22.06453858979023
IoT_Original_Distribution,QVE,2map,2,0.05,6,10,0.968,0.007048334012068299,0.004368602680802635,0.9674287729467614,0.007004458530486316,0.004341408375576412,0.8071718521979147,0.04170688654384204,0.025850196096182696,274.31170822469994,62.402995582888785,38.677777376433625
IoT_Original_Distribution,QVE,3map,3,0.0,6,10,0.9524666666666665,0.004766653716636127,0.002954402582127892,0.9554501755229727,0.003931894175558389,0.0024370132582488342,0.7674280258135452,0.015386985491836125,0.009536952413720995,546.0573043143002,45.569928140527225,28.24453408391645
IoT_Original_Distribution,QVE,3map,3,0.002,6,10,0.9537999999999999,0.0029987651779678705,0.0018586539135542154,0.9566386472271088,0.002861148453326958,0.0017733581839307054,0.7730895354016734,0.017404141882914264,0.010787198897865159,389.05740197159923,62.42065434543617,38.68872239085435
IoT_Original_Distribution,QVE,3map,3,0.01,6,10,0.9330666666666667,0.006593674484676678,0.004086801786177801,0.9395328015745947,0.005330541738186091,0.0033039039988311553,0.7109920162170429,0.019535623852072352,0.012108305109432744,391.3427951073005,6.339311889479859,3.929146216312623
IoT_Original_Distribution,QVE,3map,3,0.05,6,10,0.906,0.0,0.0,0.8613179433368311,0.0,0.0,0.0,0.0,0.0,410.8931276977011,53.82914088161188,33.36364717649162
IoT_Original_Distribution,QVE,4map,4,0.0,6,10,0.9484666666666668,0.006532350644161086,0.004048792876041756,0.9523339679400618,0.005496176309703821,0.003406565369862523,0.759299258923668,0.022280506581664597,0.013809601051204767,713.7018503463984,93.96060199612593,58.237384475151
IoT_Original_Distribution,QVE,4map,4,0.002,6,10,0.9498,0.004787328954492113,0.0029672172273148595,0.9533864859309835,0.004117820278813945,0.0025522514509512067,0.7622906374842648,0.01874842546545742,0.011620394494498597,475.864866784701,33.47351071287383,20.747096886406652
