dataset,map,map_type,entanglement,noise_level,num_qubits,n_runs,offdiag_var_mean,offdiag_var_ci95,offdiag_mean_mean,offdiag_mean_ci95,kta_mean,kta_ci95
IoT,Pauli-full,Pauli,full,0.0,6,5,0.024653237134278576,0.0012535453796664819,0.0570168499199273,0.0014055895543765137,0.2827313768851242,0.005684877936855429
IoT,Pauli-full,Pauli,full,0.002,6,5,0.02227846691293821,0.002441767785003452,0.13280651591575943,0.004234169655057311,0.4822726903512268,0.004905691896150923
IoT,Pauli-full,Pauli,full,0.005,6,5,0.01646979000373245,0.0017297143562621986,0.2774366471810508,0.0058870101715387466,0.6245136525093605,0.004159675457574942
IoT,Pauli-full,Pauli,full,0.01,6,5,0.0051161299761669585,0.00040415716227076604,0.6389908409811634,0.009273988220737321,0.6635890605832854,0.003414736527237466
IoT,Pauli-full,Pauli,full,0.02,6,5,0.0002367425871514786,3.3267240284619986e-05,0.9435524905680364,0.0010639681281594524,0.6637897711940055,0.0006562146285510733
IoT,Pauli-full,Pauli,full,0.05,6,5,2.785439472440517e-08,3.81013646536329e-09,0.9995944355306117,7.96902505321599e-06,0.6630554256906416,6.533727360891255e-06
IoT,Z-linear,Z,linear,0.0,6,5,0.06795065818061938,0.008021352994154563,0.1420240388115211,0.035437798592393356,0.41679518980607505,0.04066086815537265
IoT,Z-linear,Z,linear,0.002,6,5,0.0701419691477128,0.008306813773854251,0.15889973198810503,0.03680818562753129,0.4367491696383145,0.041395248400943066
IoT,Z-linear,Z,linear,0.005,6,5,0.06662767881648678,0.00827685834216981,0.14108743022000142,0.03770070068645487,0.41641535266729884,0.04222402614082662
IoT,Z-linear,Z,linear,0.01,6,5,0.06466901465744782,0.0030551735673092144,0.13491927253090016,0.010502011038625293,0.41650860212023194,0.01205285539399279
IoT,Z-linear,Z,linear,0.02,6,5,0.06044528903196685,0.0027682965554693515,0.1260788576917885,0.007564204148813662,0.4077101517058742,0.010247689003732715
IoT,Z-linear,Z,linear,0.05,6,5,0.06845978474538356,0.0093316482188017,0.18451205810483257,0.0534039933487785,0.4792633142782773,0.048955219153884885
IoT,ZZ-full,ZZ,full,0.0,6,5,0.01902356589482638,0.0033184004007269603,0.04459005583832404,0.004120032872187427,0.2612758173461024,0.005094000220486346
IoT,ZZ-full,ZZ,full,0.002,6,5,0.00849635558434197,0.0007348155351580865,0.430649017197244,0.004631229533485636,0.65850683423418,0.001990390067468313
IoT,ZZ-full,ZZ,full,0.005,6,5,0.001511497329047549,0.00026772746209604664,0.8673313921911496,0.0050435830439223145,0.6637177903488897,0.0016676416558593693
IoT,ZZ-full,ZZ,full,0.01,6,5,5.535560869399462e-05,1.5065711217763032e-05,0.9883217054031723,0.0012275532806828619,0.6633945996539684,0.00040716891137758176
IoT,ZZ-full,ZZ,full,0.02,6,5,4.626747287898403e-08,1.816306498584976e-08,0.9996899551483077,5.6390981541860865e-05,0.663060380409269,1.0311582969415893e-05
IoT,ZZ-full,ZZ,full,0.05,6,5,6.0412064776000525e-15,9.287269735095323e-16,0.999999940334118,8.31610034250055e-09,0.6630612266738405,4.0642184776900896e-09
IoT,ZZ-linear,ZZ,linear,0.0,6,5,0.03254686694130012,0.0006521551232649397,0.06396776118545071,0.0020294635520264107,0.2870583074709173,0.00942707122360403
IoT,ZZ-linear,ZZ,linear,0.002,6,5,0.030357881873379844,0.003778395936745182,0.0762630992165824,0.010650558194683121,0.32697973803218117,0.027384180617761437
IoT,ZZ-linear,ZZ,linear,0.005,6,5,0.03154404968661266,0.0037537439524304877,0.09357164787434033,0.013386005634756889,0.3740461932244744,0.035694268082511575
IoT,ZZ-linear,ZZ,linear,0.01,6,5,0.03014754601315623,0.002580118478954265,0.1296946142796109,0.01147793874871995,0.44619439440549585,0.01598358071276273
IoT,ZZ-linear,ZZ,linear,0.02,6,5,0.023769511672668213,0.0017147070924599754,0.255673966690693,0.0030523588343518903,0.5997244099987036,0.0033578637490539096
IoT,ZZ-linear,ZZ,linear,0.05,6,5,0.005893824549013897,0.0006989144014090339,0.7882108972858116,0.005262100817256448,0.6642685727835972,0.003760692286892816
UNSW-2018,Pauli-full,Pauli,full,0.0,6,5,0.00711865755625402,0.003256224512339147,0.040885341403586066,0.010985534844951886,0.3181717013269717,0.039416221998218835
UNSW-2018,Pauli-full,Pauli,full,0.002,6,5,0.006176123450379559,0.002704023522560962,0.11678058247110194,0.00972572072176116,0.5536373261337488,0.007062806920006558
UNSW-2018,Pauli-full,Pauli,full,0.005,6,5,0.004636828588322409,0.001862749800519219,0.26583667213304885,0.008894979005595735,0.6358049152821008,0.005447846924194787
UNSW-2018,Pauli-full,Pauli,full,0.01,6,5,0.001970855195104319,0.0004118006589170795,0.6430018887227605,0.007044204148788835,0.6446459330555957,0.003114747861217608
UNSW-2018,Pauli-full,Pauli,full,0.02,6,5,0.00013192207060744914,1.1471343357648257e-05,0.9482272971585495,0.0018949336305521477,0.640848177142296,0.0006479785393616651
UNSW-2018,Pauli-full,Pauli,full,0.05,6,5,1.9148531515704645e-08,2.540350123922858e-09,0.9996421597217726,2.6061393672166338e-05,0.6400062024976625,1.2133034166204998e-05
UNSW-2018,Z-linear,Z,linear,0.0,6,5,0.054141109057345836,0.01601590524928898,0.15168011897209738,0.031980465056549175,0.4800499022339368,0.02693792829388385
UNSW-2018,Z-linear,Z,linear,0.002,6,5,0.05415332262454699,0.015951371843724468,0.15342858681703025,0.03201349062143674,0.4829847167761897,0.02653773570117702
UNSW-2018,Z-linear,Z,linear,0.005,6,5,0.05416503832224946,0.015878282228982573,0.15538880724640147,0.03205039083818137,0.4862265691472044,0.026098814969119127
UNSW-2018,Z-linear,Z,linear,0.01,6,5,0.05418014510193077,0.01575223919342245,0.15872334109167058,0.03211274635876241,0.4916262354959785,0.02537508675210095
UNSW-2018,Z-linear,Z,linear,0.02,6,5,0.054192274548299266,0.01548422682573624,0.1656507070611041,0.03223995652312988,0.502396448909139,0.023959015930307255
UNSW-2018,Z-linear,Z,linear,0.05,6,5,0.05405044037154305,0.014552343656455023,0.18859645287575044,0.032625850873565176,0.5341348915467674,0.019999927500886795
UNSW-2018,ZZ-full,ZZ,full,0.0,6,5,0.0038456067537257907,0.001492469417735571,0.025423640435955623,0.004033307841411204,0.2560373523374502,0.014346861804130456
UNSW-2018,ZZ-full,ZZ,full,0.002,6,5,0.0017947886993648471,0.0004897826487016499,0.428710541541989,0.004488117291296617,0.6437862522962952,0.0018202970857468018
UNSW-2018,ZZ-full,ZZ,full,0.005,6,5,0.000629598368581767,7.657487670191853e-05,0.8780000285518916,0.00385571098754229,0.6422259181178958,0.0008226382990836136
UNSW-2018,ZZ-full,ZZ,full,0.01,6,5,2.2580054993347235e-05,2.162578049854917e-06,0.9917599770946657,0.0005750022146235748,0.6403562981948506,9.04234777684963e-05
UNSW-2018,ZZ-full,ZZ,full,0.02,6,5,2.806569663978173e-08,1.412330353603515e-09,0.9997633333529432,1.5825153408567552e-05,0.6400128409350947,3.252792808173872e-06
UNSW-2018,ZZ-full,ZZ,full,0.05,6,5,4.80770053891508e-15,3.887964102970541e-16,0.9999999523341676,5.4243955590515875e-09,0.6400000027011787,1.3099962238472908e-09
UNSW-2018,ZZ-linear,ZZ,linear,0.0,6,5,0.010407666407637746,0.003953219102891087,0.04061187027668835,0.01372952392289022,0.2862192563088026,0.02739386227987061
UNSW-2018,ZZ-linear,ZZ,linear,0.002,6,5,0.010701920589962298,0.0038895843287069256,0.054751528060564804,0.015838065817961704,0.3465966917487867,0.022210828020302324
UNSW-2018,ZZ-linear,ZZ,linear,0.005,6,5,0.010885907688294493,0.0037857340062771344,0.06989731113234651,0.01764441839988348,0.40174351838339295,0.01643974739756961
UNSW-2018,ZZ-linear,ZZ,linear,0.01,6,5,0.011196935819779662,0.0035130261000057015,0.10788155516069109,0.021395881860604506,0.5003806392044395,0.006191482856540415
UNSW-2018,ZZ-linear,ZZ,linear,0.02,6,5,0.011402066716523543,0.0024873980789366494,0.24819882861196194,0.030531823534315224,0.6256091418170403,0.006439372638341537
UNSW-2018,ZZ-linear,ZZ,linear,0.05,6,5,0.003937155478183684,0.0004874262755903377,0.7959914673305476,0.023702342790469046,0.6515558200741723,0.00414185216696003
UNSW-NB15,Pauli-full,Pauli,full,0.0,6,5,0.08068204706960813,0.004709764816755787,0.17315347521508664,0.016849523504841795,0.30204067214196895,0.022911884505272935
UNSW-NB15,Pauli-full,Pauli,full,0.002,6,5,0.07316667948005384,0.002515409255508747,0.2510698077587256,0.019050889366730012,0.2695820675948909,0.005883683849674493
UNSW-NB15,Pauli-full,Pauli,full,0.005,6,5,0.04884925766201964,0.0024429754539728584,0.3620091811652813,0.015558687021654288,0.21531959019505278,0.004131266602277342
UNSW-NB15,Pauli-full,Pauli,full,0.01,6,5,0.012283910970501539,0.0008959492411924968,0.6943366057837683,0.008877933109525114,0.1209685109232197,0.005745119429354084
UNSW-NB15,Pauli-full,Pauli,full,0.02,6,5,0.00037660575368809123,3.783150608534063e-05,0.9544657061889585,0.0027284812004863463,0.0814835357512151,0.0012451595452521072
UNSW-NB15,Pauli-full,Pauli,full,0.05,6,5,3.028545992861876e-08,1.3799497334616625e-08,0.9996779098882229,8.063443550190926e-05,0.076314414695983,1.3812075181204745e-05
UNSW-NB15,Z-linear,Z,linear,0.0,6,5,0.105059801189572,0.010693119178026471,0.5244470603733777,0.07584990056397775,0.19642655997454236,0.03167777266883973
