dataset,config,model,entanglement,optimization_level,optimization_name,optimization_description,noise_level,num_qubits,run_idx,seed,gpu_id,accuracy,f1_score,mcc,kernel_time,classifier_time,total_time
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,0,42,0,0.84,0.8422234156820623,0.6711940496068474,279.28767086425796,0.06691242381930351,279.35458328807727
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,1,123,1,0.866,0.8669346881284481,0.7152366980897982,278.71414703922346,0.3261514729820192,279.0402985122055
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,2,456,2,0.87,0.8706987871894653,0.7219850140760168,266.022048226092,1.201346934773028,267.22339516086504
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,3,789,0,0.842,0.8437057143838474,0.6689472224372437,278.6090695359744,1.2064855638891459,279.81555509986356
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,4,1024,1,0.882,0.8779883524351422,0.7439252184215775,284.7764954790473,0.09389371564611793,284.8703891946934
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,5,2048,2,0.838,0.8408098481706526,0.677378793342906,284.796747662127,0.09518023999407887,284.8919279021211
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,6,3072,0,0.852,0.8540706098359677,0.6962968318254461,270.9885415593162,1.233775727916509,272.2223172872327
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,7,4096,1,0.8506666666666667,0.8522984424660661,0.6875497649158131,281.1462813480757,0.353870561812073,281.5001519098878
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,8,5120,2,0.8446666666666667,0.8466870118074479,0.6786644351442488,281.3300257087685,0.08901449292898178,281.4190402016975
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,9,6144,0,0.8913333333333333,0.8869336170810926,0.7685826740333161,267.0087267672643,1.2161636729724705,268.2248904402368
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,10,7168,1,0.8713333333333333,0.8725385519851513,0.7294417212110382,279.48851764621213,0.09234073013067245,279.5808583763428
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,11,8192,2,0.8626666666666667,0.8634740622419885,0.706735634561237,279.23631676798686,0.3454992757178843,279.58181604370475
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,12,9216,0,0.854,0.850231060401642,0.6778379791922532,276.59790112497285,1.0307589108124375,277.6286600357853
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,13,10240,1,0.8633333333333333,0.8645351852070563,0.7116771416608624,282.90580662805587,0.33496659621596336,283.24077322427183
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,14,11264,2,0.85,0.8516480836613493,0.6865539831553475,282.7652971469797,0.09079863876104355,282.85609578574076
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,15,12288,0,0.8786666666666667,0.879214378962658,0.7398586855893711,272.9514571521431,1.2573752012103796,274.2088323533535
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,16,13312,1,0.838,0.840129408967039,0.6652674375602456,284.0809112121351,0.3476852378807962,284.4285964500159
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,6,17,14336,2,0.8686666666666667,0.8691869259820836,0.7181460662023482,284.1562387277372,0.0878413231112063,284.2440800508484
