dataset,config,model,entanglement,optimization_level,optimization_name,optimization_description,noise_level,num_qubits,run_idx,seed,gpu_id,accuracy,f1_score,mcc,kernel_time,classifier_time,total_time
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,0,42,0,0.964,0.9617344173441734,0.770034608905654,316.5364013039507,0.06586997397243977,316.60227127792314
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,1,123,1,0.9573333333333334,0.9548287071767942,0.7263003196247418,311.956097983988,1.0209281970746815,312.9770261810627
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,2,456,2,0.952,0.9491822955738933,0.6908364368305651,315.90216342685744,0.07175185694359243,315.97391528380103
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,3,789,0,0.96,0.9579815623483746,0.7458596868881692,312.5296950088814,0.9770499551668763,313.50674496404827
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,4,1024,1,0.96,0.9569565217391305,0.7411188857944132,319.5935637890361,0.3483181919436902,319.9418819809798
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,5,2048,2,0.9653333333333334,0.9630023713784928,0.7785305396739626,319.88931968295947,0.06478913314640522,319.9541088161059
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,6,3072,0,0.96,0.9569565217391305,0.7411188857944132,317.1092468239367,0.05286749103106558,317.16211431496777
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,7,4096,1,0.9613333333333334,0.9582155584898695,0.7498401166884983,317.46365582896397,0.34885671082884073,317.8125125397928
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,8,5120,2,0.96,0.9569565217391305,0.7411188857944132,309.2899398270529,1.1455831800121814,310.43552300706506
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,9,6144,0,0.9586666666666667,0.9549476858804409,0.7302448279086421,97.36022051004693,0.0347724431194365,97.39499295316637
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,10,0,42,0,0.9613333333333334,0.9621539436173582,0.782431677931394,1808.6536097240169,0.03140114014968276,1808.6850108641665
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,10,1,123,1,0.9053333333333333,0.9161279209446749,0.6069154425674823,1809.1105926439632,0.034465965116396546,1809.1450586090796
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,10,2,456,2,0.9546666666666667,0.9530885270447316,0.7163470439122962,1799.2657009391114,0.08905492885969579,1799.354755867971
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,10,3,789,0,0.94,0.9409237816516097,0.6569672562035515,1785.5166708452161,0.03976300312206149,1785.5564338483382
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,10,4,1024,1,0.8413333333333334,0.8691492428547123,0.5192785698197862,1820.9516066249926,0.08772147702984512,1821.0393281020224
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,10,5,2048,2,0.928,0.9316184044218906,0.6236333635220987,1656.5574336668942,10.839267950039357,1667.3967016169336
IoT_Original_Distribution,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,10,6,3072,0,0.9333333333333333,0.936683707798047,0.6521184440727428,1504.7535245029721,10.161321979947388,1514.9148464829195
