dataset,config,feature_map,reps,entanglement,optimization,optimization_level,optimization_name,optimization_description,run,seed,gpu_id,accuracy,f1_score,mcc,training_time,circuit_depth,total_gates,two_qubit_gates
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,15,11264,2,0.96,0.9616998626373626,0.7901542016194781,269.0401488440111,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,16,12288,0,0.9566666666666667,0.9588807105382239,0.7789251797801489,265.1030787869822,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,16,12288,1,0.9446666666666667,0.9486105873320623,0.7359341918993468,243.66584379493725,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,17,13312,2,0.96,0.9618985455300044,0.7938063807213714,249.8659735060064,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,17,13312,0,0.95,0.9527904833167758,0.7478659806542033,269.5066865789704,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,18,14336,1,0.9546666666666667,0.9573529970495248,0.7754009734327173,262.4106583070243,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,18,14336,2,0.9686666666666667,0.9697970150625762,0.8330112268534177,202.19915045402013,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,19,15360,0,0.9446666666666667,0.948725949722807,0.7382501928382417,265.92857931298204,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,19,15360,1,0.9446666666666667,0.948725949722807,0.7382501928382417,261.6391479319427,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,20,16384,2,0.9553333333333334,0.9570607093764544,0.7621035520981367,195.9356853730278,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,20,16384,0,0.9553333333333334,0.9568268864624838,0.758297281411662,267.5126936939778,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,21,17408,1,0.9433333333333334,0.9472524432247766,0.7268157963603983,269.4512758740457,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,21,17408,2,0.9433333333333334,0.9472524432247766,0.7268157963603983,204.4953358649509,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,22,18432,0,0.9686666666666667,0.9694588081461221,0.8271205771613618,275.9569912070874,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,22,18432,1,0.9686666666666667,0.9694588081461221,0.8271205771613618,272.7259161610855,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,23,19456,2,0.9573333333333334,0.9591465201465201,0.7757780903879318,244.41927497601137,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,23,19456,0,0.9573333333333334,0.9591465201465201,0.7757780903879318,263.9339478740003,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,24,20480,1,0.966,0.96748757655782,0.8233256435319687,275.03604937694035,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,24,20480,2,0.966,0.96748757655782,0.8233256435319687,263.3209799299948,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,25,21504,0,0.946,0.9498488864324945,0.7427122477486998,246.81550520600285,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,25,21504,1,0.946,0.9498488864324945,0.7427122477486998,274.9277441010345,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,26,22528,2,0.9493333333333334,0.9524500511172777,0.7497840926896447,275.6351162160281,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,26,22528,0,0.9446666666666667,0.9484935622077233,0.7336234824377313,194.14194695302285,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,27,23552,1,0.9653333333333334,0.9661613420831697,0.8077555487096469,271.83855805604253,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,27,23552,2,0.9653333333333334,0.9661613420831697,0.8077555487096469,274.4905598380137,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,28,24576,0,0.9553333333333334,0.956462556293408,0.7527044313772395,201.07236276590265,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,28,24576,1,0.9553333333333334,0.956462556293408,0.7527044313772395,266.57752777903806,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,29,25600,2,0.9393333333333334,0.9436573909303333,0.708821968501935,267.2255478450097,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,29,25600,0,0.954,0.9568809969513825,0.7750222281710959,202.00682520109694,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,30,26624,1,0.956,0.9581952640243129,0.7744116238094557,184.19375022593886,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,30,26624,2,0.956,0.9581952640243129,0.7744116238094557,183.9484070430044,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,1,42,0,0.9566666666666667,0.9590850855412059,0.7828482983512342,372.1869742310373,179,306,225
IoT_Original_Distribution,6q_5k,ZZ,3,full,L3,3,L3,qiskit_heavy,1,42,1,0.9566666666666667,0.9590850855412059,0.7828482983512342,379.0060038350057,181,323,200
IoT_Original_Distribution,6q_5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,2,123,2,0.9626666666666667,0.9640621369714981,0.8010913663918052,378.98932473303284,179,306,225
IoT_Original_Distribution,6q_5k,ZZ,3,full,L3,3,L3,qiskit_heavy,2,123,0,0.9566666666666667,0.9582299144482439,0.7674748353565056,370.3711670070188,181,323,200
IoT_Original_Distribution,6q_5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,3,456,1,0.9466666666666667,0.9506342326404246,0.7495119119875201,373.3055253790226,179,306,225
IoT_Original_Distribution,6q_5k,ZZ,3,full,L3,3,L3,qiskit_heavy,3,456,2,0.9613333333333334,0.9633550373134327,0.8045652417560019,372.7322347109439,181,323,200
IoT_Original_Distribution,6q_5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,4,789,0,0.958,0.9601459194447399,0.7859891074815686,342.6959827870596,179,306,225
IoT_Original_Distribution,6q_5k,ZZ,3,full,L3,3,L3,qiskit_heavy,4,789,1,0.956,0.9583005597014926,0.776377905173032,377.7188179680379,181,323,200
IoT_Original_Distribution,6q_5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,5,1024,2,0.9626666666666667,0.9637644956528996,0.7960737835871808,375.51806724397466,179,306,225
IoT_Original_Distribution,6q_5k,ZZ,3,full,L3,3,L3,qiskit_heavy,5,1024,0,0.9626666666666667,0.9637644956528996,0.7960737835871808,308.20127291197423,181,323,200
IoT_Original_Distribution,6q_5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,6,2048,1,0.9566666666666667,0.9581156361203199,0.7656178838349288,367.40066849195864,179,306,225
