status,dataset,model,device,entanglement,optimization_level,num_qubits,run_idx,seed,gpu_id,aggregate_depth,aggregate_two_qubit_gates,mean_readout_error,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,kernel_time,classifier_time,total_time
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,0,42,0,124,150,,0.9486666666666667,0.9271758019820582,0.9519950511580313,0.7496239879314855,0.9559647007864565,0.9267979757270467,279.2614884210052,0.7369589630980045,279.9984473841032
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,1,123,1,124,150,,0.96,0.946143127769167,0.9621857416538717,0.7993956907456233,0.9829818546177571,0.9459892177626344,275.9761584850494,3.856426347978413,279.8325848330278
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,2,456,2,124,150,,0.9613333333333334,0.9437007812377687,0.9632625047486387,0.8027363297881122,0.9698307579102281,0.9434509127539433,279.83796850801446,0.3561490459833294,280.1941175539978
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,3,789,0,124,150,,0.9546666666666667,0.9368434236688429,0.9573529970495248,0.7754009734327173,0.9691732030748516,0.9365862514791115,279.24249341199175,1.2954395900014788,280.5379330019932
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,4,1024,1,124,150,,0.952,0.9290153899143613,0.954844349817144,0.7615061436964442,0.9675762841889374,0.9285840594337607,287.81774352805223,0.30534906301181763,288.12309259106405
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,5,2048,2,124,150,,0.9573333333333334,0.9128896403801293,0.9588164839803776,0.7701949411529486,0.9542999389413367,0.9112473468984996,287.42642601998523,0.155547164962627,287.58197318494786
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,6,3072,0,124,150,,0.9533333333333334,0.907503953157046,0.9551979853699486,0.7522266687925445,0.9316403905666973,0.9057471708317207,288.27561486698687,0.1014130850089714,288.37702795199584
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,7,4096,1,124,150,,0.954,0.9110500524478262,0.9558966469324232,0.756821928708788,0.9601918390138765,0.9095132875785343,278.3453251780011,1.315086100017652,279.6604112780187
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,8,5120,2,124,150,,0.944,0.9055312886509166,0.9473184081200012,0.7198216544876251,0.9582191745077472,0.9042911585540306,288.1075017140247,0.10228178196121007,288.2097834959859
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,9,6144,0,124,150,,0.9613333333333334,0.9405225995334492,0.9631685940123375,0.8009225293607383,0.9795270823874459,0.94017334331949,242.72368910291698,2.358407892053947,245.08209699497093
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6,0,42,1,135,150,0.012177777777777777,0.9486666666666667,0.9271758019820582,0.9519950511580313,0.7496239879314855,0.9562778221366357,0.9267979757270467,267.73452225793153,0.9096929769730195,268.64421523490455
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6,1,123,2,135,150,0.012177777777777777,0.9593333333333334,0.9457752101827064,0.9616029264309779,0.7968412254300464,0.9834045684404992,0.9456278083061731,274.2518354339991,0.05373932595830411,274.3055747599574
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6,2,456,0,135,150,0.012177777777777777,0.9466666666666667,0.9419629577442739,0.9508503782572149,0.7540795177866658,0.9732229058705033,0.9419451458911802,268.7441334769828,0.053117619012482464,268.7972510959953
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6,3,789,1,135,150,0.012177777777777777,0.9533333333333334,0.9361075884959216,0.9562039944501242,0.7705303644616922,0.9684164931452517,0.9358671832337763,264.9388042780338,1.1844066940248013,266.1232109720586
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6,4,1024,2,135,150,0.012177777777777777,0.954,0.9269409609694237,0.9564595660955929,0.7668208015558766,0.9459917857832469,0.9263417620761073,264.7930946209235,1.1843649540096521,265.97745957493316
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6,5,2048,0,135,150,0.012177777777777777,0.9573333333333334,0.9128896403801293,0.9588164839803776,0.7701949411529486,0.9530526722297893,0.9112473468984996,250.54110299400054,1.5303799309767783,252.07148292497732
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6,6,3072,1,135,150,0.012177777777777777,0.958,0.9227921030795485,0.9597317211122125,0.7784412944117622,0.9519463101258225,0.9217728684929747,266.6063787670573,1.5922264779219404,268.19860524497926
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6,7,4096,2,135,150,0.012177777777777777,0.9533333333333334,0.9297512250872826,0.9559918064551846,0.7663867213399324,0.9614860739279506,0.929297531732208,268.2673192980001,0.21533346304204315,268.4826527610421
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6,8,5120,0,135,150,0.012177777777777777,0.9466666666666667,0.9133593224053982,0.9498270553523821,0.7337164842238981,0.9605571472557524,0.9124377797549434,276.1703581660986,0.054215036099776626,276.22457320219837
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6,9,6144,1,135,150,0.012177777777777777,0.9613333333333334,0.9437007812377687,0.9632625047486387,0.8027363297881122,0.9788695275520695,0.9434509127539433,269.5680496629793,0.7980249229585752,270.3660745859379
