dataset,map,map_type,entanglement,noise_level,num_qubits,n_runs,offdiag_var_mean,offdiag_var_ci95,offdiag_mean_mean,offdiag_mean_ci95,kta_mean,kta_ci95
UNSW-NB15,Pauli-full,Pauli,full,0.0,6,1,0.04721110813777424,0.0,0.09918699739106342,0.0,0.23778884398099692,0.0
UNSW-NB15,Pauli-full,Pauli,full,0.002,6,1,0.04575695992153908,0.0,0.1764917179266113,0.0,0.22902148623377927,0.0
UNSW-NB15,Pauli-full,Pauli,full,0.005,6,1,0.033062653193641586,0.0,0.3132808391493835,0.0,0.18318693629879704,0.0
UNSW-NB15,Pauli-full,Pauli,full,0.01,6,1,0.00972134300638121,0.0,0.659148437971851,0.0,0.10541672646619735,0.0
UNSW-NB15,Pauli-full,Pauli,full,0.02,6,1,0.00035335193723612244,0.0,0.9551258271073436,0.0,0.07484213774786051,0.0
UNSW-NB15,Pauli-full,Pauli,full,0.05,6,1,2.9046012515519384e-08,0.0,0.999669765097064,0.0,0.07177539306156466,0.0
UNSW-NB15,Z-linear,Z,linear,0.0,6,1,0.11024925075494103,0.0,0.412063881381085,0.0,0.18686938749233922,0.0
UNSW-NB15,Z-linear,Z,linear,0.002,6,1,0.1201736075056759,0.0,0.30641529113743254,0.0,0.24254191613953519,0.0
UNSW-NB15,Z-linear,Z,linear,0.005,6,1,0.11887696651999191,0.0,0.3875911095664814,0.0,0.16481697740569526,0.0
UNSW-NB15,Z-linear,Z,linear,0.01,6,1,0.118856939125519,0.0,0.31227017856007055,0.0,0.24071885176764213,0.0
UNSW-NB15,Z-linear,Z,linear,0.02,6,1,0.11428872831006623,0.0,0.29941510224866724,0.0,0.2803375130207021,0.0
UNSW-NB15,Z-linear,Z,linear,0.05,6,1,0.11513994190911922,0.0,0.3759009268513477,0.0,0.16559809104280526,0.0
UNSW-NB15,ZZ-full,ZZ,full,0.0,6,1,0.05056715918320634,0.0,0.09802823467521618,0.0,0.2368989362633805,0.0
UNSW-NB15,ZZ-full,ZZ,full,0.002,6,1,0.013382493795857915,0.0,0.4566532026214029,0.0,0.12618935164584513,0.0
UNSW-NB15,ZZ-full,ZZ,full,0.005,6,1,0.0015443868236527836,0.0,0.8831155787160958,0.0,0.08037249224279569,0.0
UNSW-NB15,ZZ-full,ZZ,full,0.01,6,1,2.767560627789991e-05,0.0,0.9902019903945953,0.0,0.07236842863017616,0.0
UNSW-NB15,ZZ-full,ZZ,full,0.02,6,1,3.480407664973228e-08,0.0,0.9997262917698734,0.0,0.0717642757228639,0.0
UNSW-NB15,ZZ-full,ZZ,full,0.05,6,1,5.7114734992507445e-15,0.0,0.9999999510582196,0.0,0.07174744762400279,0.0
UNSW-NB15,ZZ-linear,ZZ,linear,0.0,6,1,0.06696800294633365,0.0,0.12831834780777512,0.0,0.25881702102387727,0.0
UNSW-NB15,ZZ-linear,ZZ,linear,0.002,6,1,0.028458641713877568,0.0,0.0777955960992781,0.0,0.18680272221582656,0.0
UNSW-NB15,ZZ-linear,ZZ,linear,0.005,6,1,0.059142458033051494,0.0,0.16551770098281765,0.0,0.22733305500727588,0.0
UNSW-NB15,ZZ-linear,ZZ,linear,0.01,6,1,0.06569919208485235,0.0,0.22354287475568063,0.0,0.22856221853652123,0.0
UNSW-NB15,ZZ-linear,ZZ,linear,0.02,6,1,0.039459919961962714,0.0,0.28595415939801067,0.0,0.19365173738718894,0.0
UNSW-NB15,ZZ-linear,ZZ,linear,0.05,6,1,0.005520866239841924,0.0,0.8177140969950873,0.0,0.09623147222475195,0.0
