status,dataset,model,composition,n_maps,entanglement,optimization_level,noise_level,num_qubits,run_idx,seed,gpu_id,accuracy,f1_score,mcc,kernel_time,classifier_time,total_time
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.0,6,0,42,0,0.942,0.9469454753124061,0.7390818032083202,391.6577803809996,0.7132195930007583,392.37099997400037
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.0,6,1,123,1,0.962,0.9642948135792173,0.8145445086835679,378.81051957900036,6.597111348999533,385.4076309279999
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.0,6,2,456,2,0.944,0.9488280005492996,0.7501378391680188,391.70402051699875,0.5363066230002005,392.24032713999895
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.0,6,3,789,0,0.9486666666666667,0.9522169191565624,0.7540465406697309,394.9051911630013,1.792368999998871,396.69756016300016
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.0,6,4,1024,1,0.956,0.9587066233386886,0.7843612123097239,374.8252154990005,5.16824069500035,379.9934561940008
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.0,6,5,2048,2,0.9533333333333334,0.9559918064551846,0.7663867213399324,394.092395493999,1.796840246001011,395.88923574
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.0,6,6,3072,0,0.9546666666666667,0.9569284538432317,0.7673304473147916,394.21330971299903,1.9401954149980156,396.15350512799705
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.0,6,7,4096,1,0.9573333333333334,0.9596647910974632,0.7853694824262574,378.4811384179993,5.436813469999834,383.91795188799915
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.0,6,8,5120,2,0.9513333333333334,0.9543813446007381,0.7612229576744949,393.51485334899917,1.6416665209981147,395.1565198699973
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.0,6,9,6144,0,0.9473333333333334,0.9514119543403146,0.7562815475469323,152.02010807899933,2.6018410430006043,154.62194912199993
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.002,6,0,42,1,0.9426666666666667,0.9476096196099973,0.7435672503835469,298.970984743999,1.6899569480010541,300.66094169200005
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.002,6,1,123,2,0.9613333333333334,0.963882661079099,0.8158311339584228,300.6520793669988,1.048044551997009,301.7001239189958
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.002,6,2,456,0,0.9446666666666667,0.9494892523579529,0.7545982153870833,253.53789200999927,2.4008485559988912,255.93874056599816
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.002,6,3,789,1,0.9473333333333334,0.9511969882903826,0.75174802062261,258.2750318170001,2.8777812990010716,261.1528131160012
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.002,6,4,1024,2,0.9526666666666667,0.9559402761054018,0.7744695989017304,264.9518671400001,1.2421989549984573,266.19406609499856
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.002,6,5,2048,0,0.948,0.9514284062787883,0.7473003866877523,254.33924355199997,3.2609789650014136,257.6002225170014
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.002,6,6,3072,1,0.9513333333333334,0.9540494037616619,0.7548624441936095,264.58066834000056,1.3715111740002612,265.9521795140008
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.002,6,7,4096,2,0.952,0.9552684099168505,0.7699949480535957,261.52925285499987,2.2978882150000572,263.8271410699999
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.002,6,8,5120,0,0.9506666666666667,0.9540258657478741,0.7631722598254365,260.1338991930006,1.0535275989986985,261.1874267919993
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.002,6,9,6144,1,0.9513333333333334,0.9546991571224553,0.7676619128243972,265.66970063999906,0.2637699899987638,265.9334706299978
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.01,6,0,42,2,0.9126666666666666,0.9231407748369773,0.6557113487408333,264.8289525179989,0.4830607959993358,265.31201331399825
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.01,6,1,123,0,0.912,0.9232193321027018,0.6685263994210042,198.0880182109995,2.719009661999735,200.80702787299924
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.01,6,2,456,1,0.9046666666666666,0.9174904896180466,0.6517880897931883,261.872667059999,1.9034428390004905,263.7761098989995
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.01,6,3,789,2,0.9,0.9133898248091731,0.6295886024906995,259.16556970199963,2.637391935000778,261.8029616370004
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.01,6,4,1024,0,0.924,0.9322594893029675,0.6872105867517825,159.0329699089998,1.9866050649980025,161.0195749739978
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.01,6,5,2048,1,0.92,0.9285670731707317,0.6656251891125299,262.53227614799835,2.3428575210000417,264.8751336689984
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.01,6,6,3072,2,0.926,0.9333750272945254,0.6817502938330257,257.4522174649992,2.362210203998984,259.8144276689982
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.01,6,7,4096,0,0.9266666666666666,0.9342819266460451,0.6916712177375652,264.38499965900155,2.5827138459990238,266.9677135050006
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.01,6,8,5120,1,0.9286666666666666,0.9358964812909247,0.6971796942159468,249.76108380699952,2.842366745999243,252.60345055299877
success,IoT_Original_Distribution,QVE,2map,2,full,0,0.01,6,9,6144,2,0.9086666666666666,0.9202502868837968,0.6520457892433908,257.42755439900066,1.7634820900002524,259.1910364890009
