dataset,config,method,model,run,seed,gpu_id,circuit_depth,total_gates,two_qubit_gates,accuracy,f1_score,precision,recall,mcc,training_time
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,1,42,0,124,204,150,0.9486666666666667,0.9519950511580313,0.9591491361992768,0.9486666666666667,0.7496239879314855,274.1861567820306
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,2,123,1,124,204,150,0.96,0.9621857416538717,0.9671643091409448,0.96,0.7993956907456233,277.0225267459755
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,3,456,2,124,204,150,0.9486666666666667,0.95253801453372,0.9617676923076922,0.9486666666666667,0.7607320737467842,276.83879315503873
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,4,789,0,124,204,150,0.9546666666666667,0.9573529970495248,0.9632782653375809,0.9546666666666667,0.7754009734327173,254.28235496598063
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,5,1024,1,124,204,150,0.952,0.954844349817144,0.9608841023533038,0.952,0.7615061436964442,270.8797788110096
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,6,2048,2,124,204,150,0.9573333333333334,0.9588164839803776,0.9613602996254682,0.9573333333333334,0.7701949411529486,271.74359286099207
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,7,3072,0,124,204,150,0.9533333333333334,0.9551979853699486,0.9584510467282242,0.9533333333333334,0.7522266687925445,201.78444447001675
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,8,4096,1,124,204,150,0.9526666666666667,0.9554175125808769,0.9612421369102683,0.9526666666666667,0.7639370639604357,269.6396052800119
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,9,5120,2,124,204,150,0.944,0.9473184081200012,0.9537016134004727,0.944,0.7198216544876251,267.23704894800903
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,10,6144,0,124,204,150,0.9493333333333334,0.9527833215788977,0.9605107293925496,0.9493333333333334,0.7563495715972772,192.66410976304905
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,11,7168,1,124,204,150,0.9533333333333334,0.9553165064102563,0.9588803083706255,0.9533333333333334,0.7542139235406125,268.27452785201604
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,12,8192,2,124,204,150,0.9673333333333334,0.9685966382006906,0.9712561132561133,0.9673333333333334,0.8272975674665805,271.581934739952
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,13,9216,0,124,204,150,0.9626666666666667,0.9638652194283929,0.9659893819603452,0.9626666666666667,0.7977266593203619,195.10024298803182
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,14,10240,1,124,204,150,0.96,0.9615982731742415,0.9646355678650657,0.96,0.7883518137678861,268.2822389170178
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,15,11264,2,124,204,150,0.9653333333333334,0.9666291271878196,0.9692121952643848,0.9653333333333334,0.8156167850857873,273.8089865570073
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,16,12288,0,124,204,150,0.9446666666666667,0.9486105873320623,0.9571811694002754,0.9446666666666667,0.7359341918993468,254.20723017898854
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,17,13312,1,124,204,150,0.95,0.9527904833167758,0.9583580683353066,0.95,0.7478659806542033,260.0151683149743
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,18,14336,2,124,204,150,0.9546666666666667,0.9573529970495248,0.9632782653375809,0.9546666666666667,0.7754009734327173,274.98263886000495
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,19,15360,0,124,204,150,0.9446666666666667,0.948725949722807,0.9577215938183681,0.9446666666666667,0.7382501928382417,264.3159882420441
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,20,16384,1,124,204,150,0.9553333333333334,0.9570607093764544,0.9600987773487772,0.9553333333333334,0.7621035520981367,211.92560240300372
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,21,17408,2,124,204,150,0.9433333333333334,0.9472524432247766,0.9554674697273489,0.9433333333333334,0.7268157963603983,265.58542630897136
IoT_Original_Distribution,6q_5k,none (baseline),QSVC_Precomputed_GPU,22,18432,0,124,204,150,0.9686666666666667,0.9694588081461221,0.9708353487143694,0.9686666666666667,0.8271205771613618,266.58963505597785
