dataset,config,feature_map,reps,entanglement,unopt_optimization_name,opt_optimization_name,unopt_acc_mean,opt_acc_mean,unopt_acc_std,opt_acc_std,acc_change,p_value,t_stat,cohens_d,depth_reduction_pct,gate_reduction_pct,nisq_score_improvement,significant,n_runs
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L0,L3,0.9955111111111112,0.9955111111111112,0.0016510378329783707,0.0016510378329783707,0.0,1.0,0.0,0,0.0,3.9215686274509802,1.97510471564906,False,30
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,3,full,L0,L3,0.9946222222222222,0.9946222222222222,0.0017934177934504404,0.0017934177934504404,0.0,1.0,0.0,0,-1.1173184357541899,-5.555555555555555,1.193409144254268,False,30
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,Pauli,2,full,L0,L3,0.9955111111111112,0.9955111111111112,0.0016510378329783707,0.0016510378329783707,0.0,1.0,0.0,0,0.0,3.9215686274509802,1.97510471564906,False,30
