status,dataset,model,device,entanglement,optimization_level,num_qubits,run_idx,seed,gpu_id,aggregate_depth,aggregate_two_qubit_gates,mean_readout_error,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,kernel_time,classifier_time,total_time
success,IoT_Original_Distribution,QSVC,ideal,full,3,6,6,3072,0,124,142,,0.9533333333333334,0.907503953157046,0.9551979853699486,0.7522266687925445,0.9316299531883582,0.9057471708317207,280.46770458307583,0.32657684199512005,280.79428142507095
success,IoT_Original_Distribution,QSVC,ideal,full,3,6,7,4096,1,124,142,,0.9526666666666667,0.929383307500822,0.9554175125808769,0.7639370639604357,0.9581826436835598,0.9289408640807164,265.935174155049,1.3049417529255152,267.24011590797454
success,IoT_Original_Distribution,QSVC,ideal,full,3,6,8,5120,2,124,142,,0.944,0.9055312886509166,0.9473184081200012,0.7198216544876251,0.9581982997510684,0.9042911585540306,280.4118077290477,0.09122654201928526,280.503034271067
success,IoT_Original_Distribution,QSVC,ideal,full,3,6,9,6144,0,124,142,,0.9513333333333334,0.9445383808494983,0.9548020828342234,0.7698244711461116,0.9653113730893075,0.9445013110952877,240.03271778102499,1.6234896029345691,241.65620738395955
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,3,6,0,42,1,134,142,0.026325925925925926,0.9546666666666667,0.9431997870774819,0.9575561457269323,0.7795008184186926,0.9738439298816922,0.943094064170358,262.91647611395456,0.0816518550273031,262.99812796898186
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,3,6,1,123,2,134,142,0.026325925925925926,0.96,0.946143127769167,0.9621857416538717,0.7993956907456233,0.9829766359285874,0.9459892177626344,263.2846022209851,0.3008343050023541,263.58543652598746
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,3,6,2,456,0,134,142,0.026325925925925926,0.9486666666666667,0.9430667105036556,0.95253801453372,0.7607320737467842,0.9702430343546308,0.9430414936677707,247.07552514097188,1.3012625499395654,248.37678769091144
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,3,6,3,789,1,134,142,0.026325925925925926,0.9546666666666667,0.9368434236688429,0.9573529970495248,0.7754009734327173,0.9692097338990392,0.9365862514791115,250.692179306061,0.05105379200540483,250.7432330980664
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,3,6,4,1024,2,134,142,0.026325925925925926,0.9546666666666667,0.9241306968515648,0.9569284538432317,0.7673304473147916,0.951351379560482,0.9233652273571288,246.71370078693144,1.1447248620679602,247.8584256489994
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,3,6,5,2048,0,134,142,0.026325925925925926,0.9573333333333334,0.9128896403801293,0.9588164839803776,0.7701949411529486,0.9542895015629974,0.9112473468984996,242.41695519292261,1.9458634480834007,244.36281864100602
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,3,6,6,3072,1,134,142,0.026325925925925926,0.9613333333333334,0.9246316910118517,0.9626774386072172,0.7920982952477333,0.9483923828012879,0.9235262900291211,249.3267456269823,0.050298323039896786,249.3770439500222
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,3,6,7,4096,2,134,142,0.026325925925925926,0.9526666666666667,0.929383307500822,0.9554175125808769,0.7639370639604357,0.9582035184402381,0.9289408640807164,247.62983566499315,0.8167675340082496,248.4466031990014
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,3,6,8,5120,0,134,142,0.026325925925925926,0.9466666666666667,0.9070029589967592,0.9495809888718288,0.7292646491487936,0.9595708150026876,0.9056866704313935,389.207823654986,0.8120704939356074,390.0198941489216
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,3,6,9,6144,1,134,142,0.026325925925925926,0.9666666666666667,0.9339313951121757,0.9676468711186604,0.8182144150258319,0.9733272796538965,0.933060877991581,361.02456498902757,1.4124449349474162,362.437009923975
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,3,6,0,42,2,311,144,0.04147699311023622,0.9493333333333334,0.9275437195685188,0.9525627511065713,0.7519648903964132,0.9559907942323046,0.9271554677271215,408.1166216239799,0.05102473509032279,408.1676463590702
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,3,6,1,123,0,311,144,0.04147699311023622,0.9593333333333334,0.9457752101827064,0.9616029264309779,0.7968412254300464,0.982997510685266,0.9456278083061731,700.8649467780488,0.8336808029562235,701.698627581005
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,3,6,2,456,1,311,144,0.04147699311023622,0.9613333333333334,0.9437007812377687,0.9632625047486387,0.8027363297881122,0.9696637598567991,0.9434509127539433,710.8004926170688,0.8312925030477345,711.6317851201165
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,3,6,3,789,2,311,144,0.04147699311023622,0.9546666666666667,0.9368434236688429,0.9573529970495248,0.7754009734327173,0.9670700713394809,0.9365862514791115,714.6304794719908,0.051042809966020286,714.6815222819569
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,3,6,4,1024,0,311,144,0.04147699311023622,0.9546666666666667,0.9273088785558843,0.9570369402985075,0.7693310710272895,0.9500362698897291,0.926696614325122,700.8206154699437,0.8362455869792029,701.6568610569229
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,3,6,5,2048,1,311,144,0.04147699311023622,0.9526666666666667,0.9134923989792244,0.954855156513257,0.753651251609038,0.9432258805233302,0.9122175523733729,709.4949922859669,0.8261009369743988,710.3210932229413
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,3,6,6,3072,2,311,144,0.04147699311023622,0.9593333333333334,0.9235279382524697,0.9609060189845331,0.7838348905542846,0.9488516274482176,0.9224746370517951,713.7884636329254,0.051033186027780175,713.8394968189532
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,3,6,7,4096,0,311,144,0.04147699311023622,0.9526666666666667,0.9262051257965025,0.955308324206548,0.7618589077330157,0.9593933795709194,0.9256316494672784,719.1634030359564,0.05159403593279421,719.2149970718892
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,3,6,8,5120,1,311,144,0.04147699311023622,0.9473333333333334,0.9073708765832198,0.95014935828336,0.7316713332043971,0.9606510836608061,0.9060352125533708,715.0243550969753,0.8255356010049582,715.8498906979803
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,3,6,9,6144,2,311,144,0.04147699311023622,0.95,0.9374461822679379,0.9534580381395088,0.760854226747064,0.9642571978770372,0.937318687379758,705.980777246994,0.8832419600803405,706.8640192070743
success,IoT_Original_Distribution,QVE,ideal,full,0,6,0,42,0,126,150,,0.9466666666666667,0.9387847760399544,0.9507430728816021,0.7517929125127727,0.9722000427932512,0.9387345921498081,377.61271074193064,5.551864411914721,383.16457515384536
success,IoT_Original_Distribution,QVE,ideal,full,0,6,1,123,1,126,150,,0.962,0.959959607345827,0.9642948135792173,0.8145445086835679,0.9903193315902912,0.9599563185778653,390.4728735339595,1.4914638969348744,391.9643374308944
success,IoT_Original_Distribution,QVE,ideal,full,0,6,2,456,2,126,150,,0.9506666666666667,0.9537050083759961,0.9545365998879238,0.7741138661931201,0.9738648046383711,0.953697667991912,389.68638906406704,2.6386848388938233,392.32507390296087
success,IoT_Original_Distribution,QVE,ideal,full,0,6,3,789,0,126,150,,0.9486666666666667,0.9335321653906972,0.9522169191565624,0.7540465406697309,0.9658384606954424,0.9333460817583823,398.4784866999835,1.0736876389710233,399.5521743389545
success,IoT_Original_Distribution,QVE,ideal,full,0,6,4,1024,1,126,150,,0.9493333333333334,0.9339000829771578,0.9527833215788977,0.7563495715972772,0.9708849331224982,0.9337066558810696,382.4340882790275,5.253766194102354,387.68785447312985
success,IoT_Original_Distribution,QVE,ideal,full,0,6,5,2048,2,126,150,,0.9533333333333334,0.9297512250872826,0.9559918064551846,0.7663867213399324,0.9435390018735095,0.929297531732208,398.5855673290789,1.8850656999275088,400.4706330290064
success,IoT_Original_Distribution,QVE,ideal,full,0,6,6,3072,0,126,150,,0.9606666666666667,0.93062013683403,0.962288437232072,0.7928542048804118,0.9520141530850281,0.9298841909184347,389.6403663888341,5.2672323120059446,394.90759870084
success,IoT_Original_Distribution,QVE,ideal,full,0,6,7,4096,1,126,150,,0.962,0.9345341537112708,0.9635667952920018,0.8000606601147365,0.9752060077549722,0.9339218159474987,403.0384043570375,2.1530001441715285,405.19140450120904
success,IoT_Original_Distribution,QVE,ideal,full,0,6,8,5120,2,126,150,,0.9513333333333334,0.9318256540322202,0.9543813446007381,0.7612229576744949,0.9642415418095283,0.9315159073342606,403.3508342769928,1.3678753559943289,404.71870963298716
success,IoT_Original_Distribution,QVE,ideal,full,0,6,9,6144,0,126,150,,0.956,0.9471138039547227,0.9588044943820224,0.7863848004242623,0.9667412939217928,0.9470505770303285,162.0438858999405,0.9241583039984107,162.96804420393892
success,IoT_Original_Distribution,QVE,FakeCairoV2,full,0,6,0,42,1,139,150,0.026325925925925926,0.942,0.9393875346390494,0.9469454753124061,0.7390818032083202,0.9646694743214399,0.939382025096923,327.5408868669765,0.6879219089169055,328.2288087758934
success,IoT_Original_Distribution,QVE,FakeCairoV2,full,0,6,1,123,2,139,150,0.026325925925925926,0.9546666666666667,0.9622688773033989,0.9581316119493619,0.7920294518155454,0.9894582478772982,0.9622233311629007,326.7886219540378,0.48536252696067095,327.2739844809985
success,IoT_Original_Distribution,QVE,FakeCairoV2,full,0,6,2,456,0,139,150,0.026325925925925926,0.9506666666666667,0.9537050083759961,0.9545365998879238,0.7741138661931201,0.9738595859492013,0.953697667991912,295.02832759695593,3.149910136940889,298.1782377338968
success,IoT_Original_Distribution,QVE,FakeCairoV2,full,0,6,3,789,1,139,150,0.026325925925925926,0.9486666666666667,0.9335321653906972,0.9522169191565624,0.7540465406697309,0.9658384606954424,0.9333460817583823,319.0358272540616,1.572559130960144,320.60838638502173
success,IoT_Original_Distribution,QVE,FakeCairoV2,full,0,6,4,1024,2,139,150,0.026325925925925926,0.9413333333333334,0.9390196170525887,0.9463912386706949,0.7369966615990751,0.9738439298816922,0.9390152938609688,313.55575665901415,2.1701303189620376,315.7258869779762
success,IoT_Original_Distribution,QVE,FakeCairoV2,full,0,6,5,2048,0,139,150,0.026325925925925926,0.9533333333333334,0.9297512250872826,0.9559918064551846,0.7663867213399324,0.9435494392518486,0.929297531732208,308.74181742197834,1.3010198569390923,310.04283727891743
success,IoT_Original_Distribution,QVE,FakeCairoV2,full,0,6,6,3072,1,139,150,0.026325925925925926,0.9546666666666667,0.9241306968515648,0.9569284538432317,0.7673304473147916,0.9442643996680913,0.9233652273571288,307.60276821791194,1.6307336239842698,309.2335018418962
success,IoT_Original_Distribution,QVE,FakeCairoV2,full,0,6,7,4096,2,139,150,0.026325925925925926,0.9526666666666667,0.9420960343181,0.955838722862345,0.7723451313775843,0.9641476054044745,0.9420060875757063,298.3377592699835,2.377003245986998,300.7147625159705
success,IoT_Original_Distribution,QVE,FakeCairoV2,full,0,6,8,5120,0,139,150,0.026325925925925926,0.9513333333333334,0.9318256540322202,0.9543813446007381,0.7612229576744949,0.9642363231203587,0.9315159073342606,484.6420784620568,1.6556203010259196,486.29769876308274
success,IoT_Original_Distribution,QVE,FakeCairoV2,full,0,6,9,6144,1,139,150,0.026325925925925926,0.9553333333333334,0.9435677046639426,0.9581308231267048,0.7819218634193963,0.9719756391589561,0.9434564442276008,497.9041193271987,1.2155905640684068,499.1197098912671
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6,0,42,2,385,150,0.04147699311023622,0.9426666666666667,0.9429336339298295,0.9476096196099973,0.7435672503835469,0.9649669396041102,0.942933576611589,518.9424721980467,0.5122507000342011,519.454722898081
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6,1,123,0,385,150,0.04147699311023622,0.962,0.959959607345827,0.9642948135792173,0.8145445086835679,0.9903036755227821,0.9599563185778653,924.6619664779864,3.763726901030168,928.4256933790166
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6,2,456,1,385,150,0.04147699311023622,0.9506666666666667,0.9537050083759961,0.9545365998879238,0.7741138661931201,0.973499496396495,0.953697667991912,890.5648912891047,3.8351636909646913,894.4000549800694
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6,3,789,2,385,150,0.04147699311023622,0.9486666666666667,0.9335321653906972,0.9522169191565624,0.7540465406697309,0.9651078442116909,0.9333460817583823,943.1399359379429,1.5910020779119805,944.7309380158549
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6,4,1024,0,385,150,0.04147699311023622,0.956,0.9439356222504032,0.9587066233386886,0.7843612123097239,0.969726384126835,0.9438186851486957,918.8137372269994,3.1194675830192864,921.9332048100187
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6,5,2048,1,385,150,0.04147699311023622,0.952,0.9290153899143613,0.954844349817144,0.7615061436964442,0.9447732218621328,0.9285840594337607,931.9183493290329,2.0454699570545927,933.9638192860875
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6,6,3072,2,385,150,0.04147699311023622,0.9586666666666667,0.9295163840746481,0.9605266088375203,0.7848207956792541,0.9514296598980267,0.9288228808626016,937.3900317349471,1.155829664086923,938.545861399034
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6,7,4096,0,385,150,0.04147699311023622,0.954,0.9428318694910213,0.9569825783104435,0.7770978375899604,0.9637875158517685,0.9427315448165181,922.6901575600496,2.8278836940880865,925.5180412541376
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6,8,5120,1,385,150,0.04147699311023622,0.9473333333333334,0.932796330217776,0.9510871855329268,0.7494903035980528,0.9702900025571576,0.9326245152943139,933.7842918960378,2.036705436068587,935.8209973321063
success,IoT_Original_Distribution,QVE,FakeSherbrooke,full,0,6,9,6144,2,385,150,0.04147699311023622,0.9533333333333334,0.9424639519045606,0.9564101081989126,0.7747126855960206,0.9753051628491956,0.9423688860053232,940.0413336839993,1.2227115411078557,941.2640452251071
success,IoT_Original_Distribution,QVE,ideal,full,3,6,0,42,0,126,142,,0.942,0.9393875346390494,0.9469454753124061,0.7390818032083202,0.9646694743214399,0.939382025096923,388.29812830802985,1.192345644114539,389.4904739521444
success,IoT_Original_Distribution,QVE,ideal,full,3,6,1,123,1,126,142,,0.9593333333333334,0.9680224821129428,0.9622318774368168,0.8104928062422294,0.9893590927830748,0.9679633340893681,370.9778339031618,5.724811401916668,376.7026453050785
success,IoT_Original_Distribution,QVE,ideal,full,3,6,2,456,2,126,142,,0.946,0.9511295852707717,0.9506044080494818,0.7588327867253783,0.9730767825737532,0.951108606137011,387.29657285194844,1.5552544490201399,388.8518273009686
