status,dataset,model,composition,n_maps,entanglement,optimization_level,noise_level,num_qubits,run_idx,seed,gpu_id,accuracy,f1_score,mcc,kernel_time,classifier_time,total_time
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.01,6,0,42,2,0.926,0.9337451195106294,0.6898571595597626,39.307701188954525,0.8863861809950322,40.19408736994956
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.01,6,1,123,0,0.9113333333333332,0.9229263946385788,0.6727274097259489,40.08598618302494,0.5470013290178031,40.632987512042746
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.01,6,2,456,1,0.922,0.930659631463593,0.6819572728073376,41.36167049698997,1.004954522009939,42.36662501899991
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.01,6,3,789,2,0.9293333333333332,0.9363158196098934,0.6963924536386645,42.92251732805744,0.0504986949963495,42.97301602305379
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.01,6,4,1024,0,0.936,0.94175607268524,0.7157542997720369,42.98849479795899,0.0521326980087906,43.04062749596778
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.01,6,5,2048,1,0.926,0.9333750272945254,0.6817502938330257,36.48929493792821,0.6123907229630277,37.10168566089124
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.01,6,6,3072,2,0.944,0.9480500224505308,0.7337098285325372,41.23439958598465,1.0098285221029073,42.24422810808756
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.01,6,7,4096,0,0.9393333333333334,0.9447337149551372,0.7308236415292239,43.40163226297591,0.2360707839252427,43.63770304690115
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.01,6,8,5120,1,0.938,0.9431678114654254,0.7168538090056512,42.66961317008827,0.4905451249796897,43.16015829506796
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.01,6,9,6144,2,0.9293333333333332,0.9363158196098934,0.6963924536386645,34.69449172890745,0.8971476479200646,35.59163937682752
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.05,6,0,42,0,0.9226666666666666,0.931071059290739,0.6809473889723784,43.47909925295971,0.0524519709870219,43.531551223946735
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.05,6,1,123,1,0.934,0.940907809293264,0.7277641761668269,41.76297295605764,0.9136306189466268,42.676603575004265
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.05,6,2,456,2,0.9293333333333332,0.9367870778028028,0.7069742088796336,35.908521308912896,1.079086996964179,36.98760830587708
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.05,6,3,789,0,0.928,0.9352367516849478,0.6926638750791146,43.26937854103744,0.0518519970355555,43.321230538073
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.05,6,4,1024,1,0.936,0.94175607268524,0.7157542997720369,35.07559645595029,0.4082643549190834,35.48386081086937
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.05,6,5,2048,2,0.926,0.9333750272945254,0.6817502938330257,41.57461542496458,0.8878369930898771,42.46245241805445
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.05,6,6,3072,0,0.9413333333333334,0.9456976559044672,0.7225738232500313,41.25780864199624,1.199386443011463,42.4571950850077
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.05,6,7,4096,1,0.9366666666666666,0.9424207276554208,0.7202686541714726,42.13420540292282,0.203290730016306,42.33749613293912
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.05,6,8,5120,2,0.9446666666666668,0.94883967800388,0.7405713297428941,41.373503000009805,0.5501196139957756,41.92362261400558
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.05,6,9,6144,0,0.9066666666666666,0.9183153846153844,0.6385900470378715,175.50654188508634,1.2775427419692278,176.78408462705556
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,0,42,1,0.9486666666666668,0.9519950511580312,0.7496239879314855,201.06328949599992,1.2022801920538768,202.2655696880538
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,1,123,2,0.96,0.9621857416538716,0.7993956907456233,206.69208985497244,0.0542981730541214,206.74638802802656
success,IoT_Original_Distribution,QSVC_ZZ,1map_ZZ,1,full,0,0.0,6,2,456,0,0.9486666666666668,0.95253801453372,0.7607320737467842,287.52910453802906,0.2353189659770578,287.7644235040061
