dataset,model,entanglement,optimization_level,device,num_qubits,n_runs,mean_readout_error,aggregate_depth,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,f1_score_mean,f1_score_std,f1_score_ci95,mcc_mean,mcc_std,mcc_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95,g_mean_mean,g_mean_std,g_mean_ci95,total_time_mean,total_time_std,total_time_ci95,zz_reps,layout
IoT_Original_Distribution,QSVC,full,0,FakeKolkataV2,10,5,0.00766,251.0,0.9658666666666668,0.0033466401061363,0.0029334593912307,0.8709663865546219,0.0202152808706515,0.0177194749467229,0.964799057651879,0.0036660145946464,0.0032134034733332,0.7886199454562512,0.0228070862014352,0.0199912924851218,0.9816470588235294,0.0041500929702364,0.0036377168778019,0.8628296194847742,0.0232543212373999,0.0203833112785177,2069.7530152544377,600.087730139428,526.0000871656816,2,best_healthy_path
IoT_Original_Distribution,QSVC,full,0,FakeSherbrooke,10,5,0.022216796875,727.0,0.9629333333333332,0.0025647178748895,0.0022480743364538,0.8603781512605042,0.0187596925492787,0.0164435955286559,0.9616950050667932,0.0029298857498122,0.0025681580915321,0.7696161077243222,0.0183891948669021,0.0161188399913622,0.9811386554621848,0.0068505017838879,0.0060047295661527,0.8508114325788153,0.0221645955546652,0.0194281246027763,3010.4704296840123,200.39493041245228,175.65390120544464,2,best_healthy_path
IoT_Original_Distribution,QSVC,full,0,ideal,10,5,,237.0,0.9616,0.0054487511311206,0.0047760409452925,0.8429831932773109,0.0236898743310942,0.0207650903980395,0.9596869714115528,0.005848069030009,0.0051260585161788,0.7570005434523001,0.0358950411060982,0.0314633907716069,0.9772457983193276,0.0047920946320478,0.0042004561459334,0.8298724648568611,0.0282715219972958,0.0247810816452269,500.3756715298165,75.83689201598625,66.47396673402208,2,best_healthy_path
IoT_Original_Distribution,QVE,full,0,FakeKolkataV2,10,5,0.00766,255.0,0.9666666666666668,0.0042163702135578,0.0036958114430016,0.9316386554621848,0.0208555891762139,0.0182807299226587,0.9675806945783844,0.0041643341324334,0.0036501998068483,0.8164282826471186,0.0250001494408443,0.0219135971701734,0.9798697478991596,0.0045860771927735,0.0040198738984164,0.9303961893584252,0.0222638797354383,0.0195151510242775,2939.181110707391,794.6395949889086,696.5323155871755,2,best_healthy_path
IoT_Original_Distribution,QVE,full,0,FakeSherbrooke,10,5,0.022216796875,731.0,0.9728,0.0055457691581561,0.0048610809954622,0.9286134453781512,0.0227356645085831,0.0199286886110899,0.9730137038968052,0.0056632096643036,0.0049640221378449,0.8422214810249835,0.0343496959135495,0.0301088359871042,0.9765882352941176,0.0084388117789903,0.0073969446605621,0.9267846610657924,0.0243298519750491,0.0213260555362971,3770.633357064403,188.1691199873161,164.9375058747176,2,best_healthy_path
IoT_Original_Distribution,QVE,full,0,ideal,10,5,,239.0,0.9728,0.005042045440317,0.0044195476892751,0.9234873949579832,0.0242552229641844,0.0212606403240734,0.9728707696001946,0.0052215636137152,0.0045769023061298,0.8406036861887095,0.0319662567782467,0.0280196594718102,0.9782899159663868,0.0081179553284543,0.0071157015814703,0.921181569493615,0.0262337198431811,0.0229948693018389,463.8707525212085,78.41566152904592,68.73435787438821,2,best_healthy_path
UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,full,0,FakeKolkataV2,10,5,0.00766,251.0,0.9704,0.0086100716218469,0.0075470605315359,0.9728888888888888,0.0141963499240466,0.0124436493573166,0.9718757871159326,0.0079925607423182,0.0070057883805749,0.8591948501694769,0.038837453521303,0.0340425289694758,0.9969382716049384,0.0018600968716425,0.0016304467954931,0.9728567998576712,0.0141864810375287,0.012434998896879,2102.268401653832,665.1700322745577,583.0472402345629,2,best_healthy_path
UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,full,0,FakeSherbrooke,10,5,0.022216796875,727.0,0.9890666666666666,0.0046571331190861,0.0040821571639405,0.9749629629629628,0.0130882831191435,0.0114723859791618,0.9891249506419432,0.0046270160845892,0.0040557584192656,0.9400147915364254,0.0255547018194474,0.0223996837619046,0.9978469135802468,0.0014550397519567,0.0012753985757731,0.9747534717604224,0.0132806903891077,0.0116410383872838,3071.567353267013,192.1108571147701,168.39259080395504,2,best_healthy_path
UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,full,0,ideal,10,5,,237.0,0.9674666666666668,0.0025991451586157,0.0022782511811572,0.8373333333333333,0.0129957257930786,0.0113912559057862,0.964573606499252,0.0031201438737191,0.0027349266900764,0.8068243810665715,0.0167280296141081,0.0146627644479359,0.9944256790123458,0.0018274754483304,0.0016018528572341,0.821257915244967,0.0158943116458825,0.0139319784279378,500.1121486990014,69.22728009539385,60.68038644276176,2,best_healthy_path
UNSW_2018_IoT_Botnet_Final_10_Best,QVE,full,0,FakeKolkataV2,10,5,0.00766,255.0,0.9824,0.008712698268109,0.0076370167532151,0.9783703703703704,0.0118217209584625,0.0103621952962692,0.9829333467951707,0.0084057537610922,0.0073679680302752,0.9105798250210272,0.0437420168570148,0.0383415682807689,0.9984,0.0010673066210132,0.0009355355017091,0.9783260663901938,0.0118677990127018,0.0104025844915968,2955.6632282225182,781.6666206756081,685.1610022326952,2,best_healthy_path
UNSW_2018_IoT_Botnet_Final_10_Best,QVE,full,0,FakeSherbrooke,10,5,0.022216796875,731.0,0.9832,0.0072172632547863,0.0063262101696917,0.9764444444444444,0.0095925210922546,0.0084082154612496,0.9836263275497702,0.0069478629072198,0.0060900703534859,0.9131805531119754,0.036134893728307,0.0316736308646003,0.998490864197531,0.0009970515900343,0.0008739542518973,0.9763873335655866,0.009630330067701,0.0084413564894387,3953.907587087434,235.0410215560645,206.02253906653863,2,best_healthy_path
UNSW_2018_IoT_Botnet_Final_10_Best,QVE,full,0,ideal,10,5,,239.0,0.9778666666666668,0.0102675324310285,0.0089998889869696,0.9592592592592591,0.0196331233788127,0.0172091914063809,0.9783858977541944,0.0099151696238863,0.0086910293686807,0.8844592336650899,0.0522562100111943,0.0458045876299619,0.9962429629629628,0.0017474170194611,0.0015316785502975,0.9588664478299735,0.0199482174163471,0.0174853835077758,467.83034181701953,75.27318094721032,65.97985219639688,2,best_healthy_path
