offdiag_var,offdiag_mean,kta,dataset,map,map_type,entanglement,reps,noise_level,num_qubits,seed,kernel_time,n_train
0.06673117135464811,0.12775116710097406,0.3990712953902102,IoT,Z-linear,Z,linear,1,0.0,6,42,3.1637560250237584,420
0.06880410663630018,0.13973190612516945,0.41942635176924364,IoT,Z-linear,Z,linear,1,0.0,6,123,2.61702715116553,420
0.06358450285027997,0.12117200625862311,0.38979568281465465,IoT,Z-linear,Z,linear,1,0.0,6,456,2.4809615400154144,420
0.08261512662525579,0.21169481360248787,0.4955971414521059,IoT,Z-linear,Z,linear,1,0.0,6,789,2.417062379186973,420
0.058018383436612815,0.10977030097035102,0.38008547760416095,IoT,Z-linear,Z,linear,1,0.0,6,1024,2.470111187081784,420
0.060506817950651756,0.12120230585637415,0.40086728667486066,IoT,Z-linear,Z,linear,1,0.002,6,42,0.8897018381394446,420
0.07854493683399634,0.191636382932555,0.4603055626091008,IoT,Z-linear,Z,linear,1,0.002,6,123,0.8206259701400995,420
0.065321820474491,0.12700159340321102,0.4019786347253682,IoT,Z-linear,Z,linear,1,0.002,6,456,0.9022090118378401,420
0.08195012101802246,0.21517074853340387,0.5090859503063665,IoT,Z-linear,Z,linear,1,0.002,6,789,0.8524754261597991,420
0.0643861494614024,0.13948762921498103,0.41150841387587656,IoT,Z-linear,Z,linear,1,0.002,6,1024,0.8825066490098834,420
0.059508344032493485,0.11447329071783342,0.3852666802108771,IoT,Z-linear,Z,linear,1,0.005,6,42,0.8854155289009213,420
0.06822808588498219,0.1350731653726027,0.40817980959159283,IoT,Z-linear,Z,linear,1,0.005,6,123,0.8699971640016884,420
0.06540322805963142,0.12808898568469373,0.40405417242187236,IoT,Z-linear,Z,linear,1,0.005,6,456,0.8701716070063412,420
0.08181404938885697,0.2160803333471132,0.500392480833275,IoT,Z-linear,Z,linear,1,0.005,6,789,0.8889820731710643,420
0.0581846867164698,0.11172137597776415,0.3841836202788769,IoT,Z-linear,Z,linear,1,0.005,6,1024,0.8561107309069484,420
0.06775989159617933,0.13561869787060607,0.4137590504024897,IoT,Z-linear,Z,linear,1,0.01,6,42,0.8404584948439151,420
0.06040738544397217,0.1257628996526031,0.40440982590211355,IoT,Z-linear,Z,linear,1,0.01,6,123,0.8216971571091563,420
0.062488113190898045,0.12417825306694745,0.4091408284795524,IoT,Z-linear,Z,linear,1,0.01,6,456,0.8389077349565923,420
0.06405282772504292,0.1347658037534325,0.41534261010646173,IoT,Z-linear,Z,linear,1,0.01,6,789,0.81651018303819,420
0.06863685533114665,0.15427070831091175,0.4398906957105425,IoT,Z-linear,Z,linear,1,0.01,6,1024,0.8446172920521349,420
0.05666166648646253,0.11716407909030176,0.3945832397666078,IoT,Z-linear,Z,linear,1,0.02,6,42,0.8577838421333581,420
0.059741398920822295,0.13094591897566038,0.4129397807484571,IoT,Z-linear,Z,linear,1,0.02,6,123,0.9017843189649284,420
0.06268693855536925,0.12834252881535355,0.41749652673038407,IoT,Z-linear,Z,linear,1,0.02,6,456,0.8593325628899038,420
0.06452955953289558,0.13666636609984648,0.41793484222093596,IoT,Z-linear,Z,linear,1,0.02,6,789,0.8574104001745582,420
0.058606881664284606,0.11727539547778036,0.39559636906298606,IoT,Z-linear,Z,linear,1,0.02,6,1024,0.8699747149366885,420
0.06044129272762285,0.1496075456764949,0.45726991592008404,IoT,Z-linear,Z,linear,1,0.05,6,42,0.8652742221020162,420
0.08164411393191806,0.2504405152721734,0.5333342422245558,IoT,Z-linear,Z,linear,1,0.05,6,123,0.8574088790919632,420
0.06253650537414696,0.14079328758631124,0.4403998877380115,IoT,Z-linear,Z,linear,1,0.05,6,456,0.8440466891042888,420
0.078321547117083,0.25123791543251595,0.5440419212101198,IoT,Z-linear,Z,linear,1,0.05,6,789,0.8668338640127331,420
0.05935546457614686,0.1304810265566672,0.42127060429861496,IoT,Z-linear,Z,linear,1,0.05,6,1024,0.8470020578242838,420
0.03216016533861477,0.06523257119033339,0.30155760761116235,IoT,ZZ-linear,ZZ,linear,2,0.0,6,42,3.632325679063797,420
0.03366922802895746,0.06549290699331689,0.2905296100497148,IoT,ZZ-linear,ZZ,linear,2,0.0,6,123,3.5394106300082058,420
0.03226593903170341,0.06401766835984808,0.28751298920129204,IoT,ZZ-linear,ZZ,linear,2,0.0,6,456,3.5651238639838994,420
0.03287747560688613,0.0599514833635414,0.27191109871230573,IoT,ZZ-linear,ZZ,linear,2,0.0,6,789,3.5497111899312586,420
0.031761526700338834,0.0651441760202138,0.2837802317801118,IoT,ZZ-linear,ZZ,linear,2,0.0,6,1024,3.667459985939786,420
0.02723319913778366,0.06720699085163494,0.301945910124736,IoT,ZZ-linear,ZZ,linear,2,0.002,6,42,1.8800615470390767,420
0.026593059398363178,0.06850252334220167,0.3151422518096169,IoT,ZZ-linear,ZZ,linear,2,0.002,6,123,1.8782159241382033,420
0.032113575466462874,0.07808070108075126,0.32460247815447807,IoT,ZZ-linear,ZZ,linear,2,0.002,6,456,1.884185048053041,420
0.03705556445481021,0.09665698991833724,0.38096514086006233,IoT,ZZ-linear,ZZ,linear,2,0.002,6,789,1.8527431471738964,420
0.028794010909479313,0.07086829088998693,0.31224290921201253,IoT,ZZ-linear,ZZ,linear,2,0.002,6,1024,1.8584984340704978,420
0.030022868453747388,0.0893705290639285,0.35870944040510433,IoT,ZZ-linear,ZZ,linear,2,0.005,6,42,1.846792098833248,420
0.025711931723752916,0.08056178640506001,0.3529810531625187,IoT,ZZ-linear,ZZ,linear,2,0.005,6,123,1.8777566780336201,420
0.03258093494541197,0.09026621063817253,0.36688506324123066,IoT,ZZ-linear,ZZ,linear,2,0.005,6,456,1.9325941619463265,420
0.037531273888259324,0.12002513024254559,0.44559700848745687,IoT,ZZ-linear,ZZ,linear,2,0.005,6,789,1.8926414439920336,420
0.031873239421891686,0.08763458302199507,0.3460584008260612,IoT,ZZ-linear,ZZ,linear,2,0.005,6,1024,1.9094177829101682,420
0.02748720524253114,0.12150029954716948,0.43548106867061026,IoT,ZZ-linear,ZZ,linear,2,0.01,6,42,1.8593992001842707,420
0.030545320036363822,0.12177407844501224,0.43670665652700674,IoT,ZZ-linear,ZZ,linear,2,0.01,6,123,1.85963099100627,420
0.030611651894089792,0.1301634913164132,0.43972640896119763,IoT,ZZ-linear,ZZ,linear,2,0.01,6,456,1.8530047088861465,420
0.03462373265038236,0.15223793241142777,0.478605050115839,IoT,ZZ-linear,ZZ,linear,2,0.01,6,789,1.838062671944499,420
0.027469820242414032,0.12279726967803185,0.44045278775282565,IoT,ZZ-linear,ZZ,linear,2,0.01,6,1024,1.8378493809141219,420
0.0224816527926416,0.2553113836613463,0.5949820179680178,IoT,ZZ-linear,ZZ,linear,2,0.02,6,42,1.8562112299259752,420
0.02237422147701792,0.25028055650605974,0.5974909032471132,IoT,ZZ-linear,ZZ,linear,2,0.02,6,123,1.825004817917943,420
0.02708788859543696,0.25534353651671987,0.6037559665362253,IoT,ZZ-linear,ZZ,linear,2,0.02,6,456,1.8674609120935202,420
0.022957695300974815,0.25928879128283217,0.6035024364933741,IoT,ZZ-linear,ZZ,linear,2,0.02,6,789,1.8827146207913756,420
0.02394610019726976,0.258145565486507,0.5988907257487874,IoT,ZZ-linear,ZZ,linear,2,0.02,6,1024,1.9403450819663703,420
0.006258085572096808,0.7919998607400845,0.6651048117197463,IoT,ZZ-linear,ZZ,linear,2,0.05,6,42,1.933783059939742,420
0.00488901474401088,0.7951502386027134,0.6686324312630185,IoT,ZZ-linear,ZZ,linear,2,0.05,6,123,1.9541050798725337,420
0.006538370665983743,0.7809682500228271,0.6590518654705627,IoT,ZZ-linear,ZZ,linear,2,0.05,6,456,1.9249850530177355,420
0.006593729540892749,0.7830683918822448,0.660624957565684,IoT,ZZ-linear,ZZ,linear,2,0.05,6,789,2.2619900659192353,420
0.0051899222220853,0.789867745181189,0.6679287978989749,IoT,ZZ-linear,ZZ,linear,2,0.05,6,1024,1.9193102470599115,420
0.016671311518997537,0.04044367129000471,0.2534774680022745,IoT,ZZ-full,ZZ,full,2,0.0,6,42,7.5088966900948435,420
0.025199239810711305,0.05165290687089007,0.2672846179834382,IoT,ZZ-full,ZZ,full,2,0.0,6,123,6.112975138938054,420
0.019404277781488538,0.046943857810690104,0.266763913801108,IoT,ZZ-full,ZZ,full,2,0.0,6,456,6.217576878145337,420
0.018450354166040583,0.04292143699907207,0.2586470750442393,IoT,ZZ-full,ZZ,full,2,0.0,6,789,6.359766031149775,420
