dataset,model,noise_level,num_qubits,comparison,mean_a,mean_b,mean_diff,t_stat,p_value,cohens_d,paired_runs,p_value_holm,significant_holm
IoT_Original_Distribution,QVE,0.0,6,3map_vs_2map,0.9516666666666665,0.9524666666666665,0.0008000000000000007,0.5812503153485645,0.5753374496289189,0.14419624042132467,10,1.0,False
IoT_Original_Distribution,QVE,0.0,6,4map_vs_2map,0.9516666666666665,0.9484666666666668,-0.003199999999999992,-2.0537924593864565,0.07018176262395476,-0.5012525206141375,10,1.0,False
IoT_Original_Distribution,QVE,0.0,6,4map_vs_3map,0.9524666666666665,0.9484666666666668,-0.003999999999999992,-2.719790483469746,0.02361591244447644,-0.6995370337745588,10,0.968252410223534,False
IoT_Original_Distribution,QVE,0.002,6,3map_vs_2map,0.9501999999999999,0.9537999999999999,0.003599999999999992,2.216061403416545,0.053909439262210375,0.8572748628198792,10,1.0,False
IoT_Original_Distribution,QVE,0.002,6,4map_vs_2map,0.9501999999999999,0.9498,-0.00040000000000001146,-0.541736338885981,0.601152187542662,-0.08065183152369965,10,1.0,False
IoT_Original_Distribution,QVE,0.002,6,4map_vs_3map,0.9537999999999999,0.9498,-0.0040000000000000036,-2.73861278752582,0.022899494551768658,-1.0013917891216866,10,0.9617787711742837,False
IoT_Original_Distribution,QVE,0.01,6,3map_vs_2map,0.9163333333333334,0.9330666666666667,0.016733333333333333,7.324500740562139,4.4465956596272784e-05,1.9616759814024856,10,0.002667957395776367,True
IoT_Original_Distribution,QVE,0.01,6,4map_vs_2map,0.9163333333333334,0.9306666666666666,0.014333333333333332,5.265525432531847,0.0005169289856682885,1.3691675587698655,10,0.028948023197424153,True
IoT_Original_Distribution,QVE,0.01,6,4map_vs_3map,0.9330666666666667,0.9306666666666666,-0.002400000000000002,-0.7247832467841343,0.4869994472101721,-0.2678161589954257,10,1.0,False
IoT_Original_Distribution,QVE,0.05,6,3map_vs_2map,0.968,0.906,-0.061999999999999986,-27.816674776584016,4.870532775584083e-10,-12.439995141689126,10,3.263256959641336e-08,True
IoT_Original_Distribution,QVE,0.05,6,4map_vs_2map,0.968,0.9239333333333335,-0.04406666666666668,-7.549753798276328,3.50537237642759e-05,-2.7322630143359388,10,0.0021382771496208297,True
