status,dataset,model,device,entanglement,optimization_level,num_qubits,run_idx,seed,gpu_id,aggregate_depth,aggregate_two_qubit_gates,mean_readout_error,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,kernel_time,classifier_time,total_time,error,zz_reps,layout
success,IoT_Original_Distribution,QSVC,ideal,full,0,6.0,0,42,0.0,179.0,225.0,,0.956,0.9344010771374446,0.9584043158192588,0.7783563782665744,0.9720852316315188,0.9340223932608794,242.2067611980019,2.087716424022801,244.29447762202471,,3,best_healthy_path
failed,IoT_Original_Distribution,QSVC,ideal,full,0,,1,123,,,,,,,,,,,,,,Already mutably borrowed,3,best_healthy_path
success,IoT_Original_Distribution,QSVC,ideal,full,0,6.0,2,456,2.0,179.0,225.0,,0.9466666666666668,0.9356065943356348,0.9506342326404246,0.7495119119875201,0.970196066152104,0.9355074418469568,243.9788710300345,0.3166706099873408,244.29554164002184,,3,best_healthy_path
success,IoT_Original_Distribution,QSVC,ideal,full,0,6.0,3,789,0.0,179.0,225.0,,0.958,0.9355048298968264,0.96014591944474,0.7859891074815686,0.9628899013145878,0.9350945448209652,372.6404238020768,0.093871621065773,372.7342954231426,,3,best_healthy_path
success,IoT_Original_Distribution,QSVC,ideal,full,0,6.0,4,1024,1.0,179.0,225.0,,0.95,0.92473345545066,0.9530194915516016,0.7521623600557036,0.9720904503206884,0.924209787415178,372.2787985779578,0.2349428039742633,372.5137413819321,,3,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6.0,0,42,2.0,194.0,225.0,0.00655,0.9533333333333334,0.932929406791602,0.9560986734333344,0.7684535585645808,0.9661411446672824,0.9325909404760042,340.1559946750058,1.1165775819681585,341.27257225697394,,3,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6.0,1,123,0.0,194.0,225.0,0.00655,0.96,0.9270740375432498,0.9615982731742416,0.7883518137678861,0.9805029772621714,0.9261868236278988,369.1423430090072,0.0856209100456908,369.22796391905285,,3,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6.0,2,456,1.0,194.0,225.0,0.00655,0.958,0.9482175567141046,0.9605363729033454,0.7937504591409464,0.9798976093184912,0.9481410213489664,363.8317811299348,2.254851958947256,366.0866330888821,,3,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6.0,3,789,2.0,194.0,225.0,0.00655,0.954,0.9332973243780628,0.9566733572969086,0.7709006848307817,0.9705509370156404,0.9329490095774976,369.09908085898496,0.2442604729440063,369.34334133192897,,3,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,6.0,4,1024,0.0,194.0,225.0,0.00655,0.956,0.9185101686158472,0.9578698489010988,0.7685900347721587,0.9560742932590192,0.917349052800664,800.8991115069948,0.8392687120940536,801.7383802190889,,3,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6.0,0,42,1.0,524.0,225.0,0.0309244791666666,0.9526666666666668,0.929383307500822,0.9554175125808768,0.7639370639604357,0.9643406969037516,0.9289408640807164,831.9470323639689,0.8338068349985406,832.7808391989674,,3,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6.0,1,123,2.0,524.0,225.0,0.0309244791666666,0.9606666666666668,0.924263773425391,0.9620856146530212,0.7893202991888096,0.9816824010145132,0.923175872148918,840.2411315470235,0.0542488460196182,840.2953803930432,,3,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6.0,2,456,0.0,524.0,225.0,0.0309244791666666,0.9473333333333334,0.9423308753307345,0.9514119543403146,0.7562815475469323,0.9712267572631108,0.9423107368794812,1055.3438102121,0.8109108019853011,1056.1547210140852,,3,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6.0,3,789,1.0,524.0,225.0,0.0309244791666666,0.9653333333333334,0.9395519233478936,0.9666291271878196,0.8156167850857873,0.9611390310981688,0.9390152938609688,1041.5644982859958,0.825346527970396,1042.3898448139662,,3,best_healthy_path
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6.0,4,1024,2.0,524.0,225.0,0.0309244791666666,0.9553333333333334,0.921320432733706,0.9573985279772992,0.7679190046590747,0.9543469071438636,0.9203677261082214,1063.6543757730396,0.0563478990225121,1063.7107236720622,,3,best_healthy_path
success,IoT_Original_Distribution,QVE,ideal,full,0,6.0,0,42,0.0,181.0,225.0,,0.9493333333333334,0.9402564463857968,0.9529976393600044,0.7607635269721875,0.9723618221575104,0.9401899954921694,471.9408097580308,5.3075149150099605,477.2483246730408,,3,best_healthy_path
success,IoT_Original_Distribution,QVE,ideal,full,0,6.0,1,123,1.0,181.0,225.0,,0.9633333333333334,0.9575172608144288,0.9653796877656358,0.8178306160482649,0.990381955860327,0.9574904705478072,490.0983585440554,1.23427608597558,491.33263463003095,,3,best_healthy_path
success,IoT_Original_Distribution,QVE,ideal,full,0,6.0,2,456,2.0,181.0,225.0,,0.944,0.9468476508070702,0.9488280005492996,0.7501378391680188,0.972549694967618,0.946841156201284,489.32070830999874,1.7840017409762368,491.104710050975,,3,best_healthy_path
