dataset,model,entanglement,optimization_level,device,num_qubits,n_runs,mean_readout_error,aggregate_depth,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,f1_score_mean,f1_score_std,f1_score_ci95,mcc_mean,mcc_std,mcc_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95,g_mean_mean,g_mean_std,g_mean_ci95,total_time_mean,total_time_std,total_time_ci95
IoT_Original_Distribution,QSVC,full,0,FakeCairoV2,6,10,0.026325925925925926,135.0,0.9560666666666668,0.007732886321691129,0.004792892598086276,0.9287171418283154,0.012906855180749978,0.007999751721018375,0.9583349353705657,0.006801555581191285,0.004215647824683772,0.7762651336987372,0.031586552045989355,0.019577547787768476,0.9622829677641569,0.011150563383491055,0.006911190787237439,0.9279986851895753,0.013331521725721612,0.008262962772542575,286.76116229072215,76.49668022592164,47.41313361927333
IoT_Original_Distribution,QSVC,full,0,FakeSherbrooke,6,10,0.04147699311023622,381.0,0.9550666666666666,0.003585980934034553,0.0022226140099074923,0.9294365381303523,0.012485067783955252,0.007738325184022366,0.9574537600695086,0.003081956906947695,0.0019102166813826972,0.7724314997910623,0.01470674935249669,0.009115337686494827,0.9620773514108727,0.010339505094504722,0.006408491651599688,0.9287720937903167,0.013073929392667374,0.008103305390413953,786.6550437289291,118.93184123945271,73.71471890830587
IoT_Original_Distribution,QSVC,full,0,ideal,6,10,,124.0,0.9524666666666667,0.004756282395129864,0.0029479743704599786,0.9248234778388363,0.014998142353627866,0.009295944939744909,0.9551013104220027,0.0041527515022339034,0.00257390204753401,0.7607897937910586,0.020404227290408406,0.01264667109815747,0.9597164164305209,0.013563741261860805,0.00840689393221455,0.9240285785737546,0.015638484270215327,0.009692832971532919,282.6442596131936,7.964763936075314,4.936611832458883
IoT_Original_Distribution,QSVC,full,3,FakeCairoV2,6,10,0.026325925925925926,134.0,0.9557333333333334,0.005931293865050048,0.0036762540247269396,0.930122273887245,0.013135992768632962,0.008141772669370752,0.958070064796624,0.005187855993782475,0.0032154664582085533,0.7756069368194353,0.02420127805680238,0.015000107545523675,0.9641408211085538,0.011357955036900142,0.007039733465763703,0.9294538303868315,0.013649606095940034,0.0084601135077487,276.82053807958727,53.17696580444922,32.95942487579372
IoT_Original_Distribution,QSVC,full,3,FakeSherbrooke,6,10,0.04147699311023622,311.0,0.9541333333333333,0.004680403063786953,0.0029009438736426352,0.9289214535093075,0.012388867471909306,0.007678699612876279,0.9566495015761427,0.004232000392256926,0.0026230210184585473,0.7688145099922378,0.02162982247840144,0.013406302865703917,0.9602137575083891,0.011603281689637973,0.007191788500469461,0.9283194793417048,0.012819688064549055,0.007945724982662734,680.392593941791,95.82605856383223,59.39360643464512
IoT_Original_Distribution,QSVC,full,3,ideal,6,10,,124.0,0.9527333333333334,0.004209923608585255,0.0026093376861751416,0.9294200992594679,0.015848295954975056,0.009822875601030283,0.9554730609754692,0.003810731340991176,0.0023619157553498977,0.7644383582848813,0.020623218415742193,0.012782403203867431,0.9600326689942019,0.015751895003717396,0.009763125672412392,0.928812321846172,0.016448457070622185,0.010194859314378763,275.39061399804194,12.781849924084183,7.922272660229035
IoT_Original_Distribution,QVE,full,0,FakeCairoV2,6,10,0.026325925925925926,139.0,0.9504666666666667,0.005067933564805685,0.0031411377666596928,0.939928451771484,0.011390356967318003,0.007059816390302221,0.9539492995865153,0.004233524356438007,0.0026239655812439542,0.7645475444611992,0.017478384320661993,0.01083321483752107,0.9655843105328803,0.013712817693588328,0.008499292461877625,0.939730559809799,0.011573976814305562,0.007173625150560312,349.54238146449205,76.16772912823376,47.209247616602106
IoT_Original_Distribution,QVE,full,0,FakeSherbrooke,6,10,0.04147699311023622,385.0,0.9525333333333332,0.005628849848528903,0.003488797281175243,0.941068996289512,0.010204928700924215,0.006325080338690577,0.9557215406269337,0.004822415017439938,0.002988963794431321,0.7718261144399422,0.020849395608835093,0.012922589280519056,0.9669189902880195,0.01259175628696952,0.007804451403279416,0.9408884216500961,0.010371826739026967,0.006428524814424557,888.4057378579513,130.41306199698172,80.83085325925299
IoT_Original_Distribution,QVE,full,0,ideal,6,10,,126.0,0.9540666666666666,0.005764514691596291,0.003572883222065683,0.9393726613749159,0.010557341408578006,0.006543507997874893,0.9569607605046222,0.004958662489666085,0.0030734108526156516,0.7757756744090306,0.021665153798268007,0.013428201444633504,0.9674849571284685,0.012832492972046907,0.007953661546555246,0.9391111339321767,0.010744348398218325,0.006659416130899337,372.29504053677664,73.89374398134139,45.79981702040591
IoT_Original_Distribution,QVE,full,3,FakeCairoV2,6,10,0.026325925925925926,138.0,0.9522666666666666,0.0060467315934282185,0.0037478030700467506,0.9406040110844958,0.01003615000141061,0.006220470216937685,0.955490492628406,0.005149751662877037,0.0031918491492304796,0.7708239169383861,0.02168795190591765,0.013442331858150362,0.9665320244860895,0.012588756548340007,0.007802592146014343,0.9404125998399154,0.010211375049248093,0.006329075826776254,333.143122829881,53.760372223155755,33.32102392038993
