offdiag_var,offdiag_mean,kta,dataset,map,map_type,entanglement,reps,noise_level,num_qubits,seed,kernel_time,n_train
0.11024925075494103,0.412063881381085,0.18686938749233922,UNSW-NB15,Z-linear,Z,linear,1,0.0,6,42,1.2308463058434427,112
0.1201736075056759,0.30641529113743254,0.24254191613953519,UNSW-NB15,Z-linear,Z,linear,1,0.002,6,42,0.2522824639454484,112
0.11887696651999191,0.3875911095664814,0.16481697740569526,UNSW-NB15,Z-linear,Z,linear,1,0.005,6,42,0.22906792210415006,112
0.118856939125519,0.31227017856007055,0.24071885176764213,UNSW-NB15,Z-linear,Z,linear,1,0.01,6,42,0.22405737405642867,112
0.11428872831006623,0.29941510224866724,0.2803375130207021,UNSW-NB15,Z-linear,Z,linear,1,0.02,6,42,0.22745424299500883,112
0.11513994190911922,0.3759009268513477,0.16559809104280526,UNSW-NB15,Z-linear,Z,linear,1,0.05,6,42,0.22419702517800033,112
0.06696800294633365,0.12831834780777512,0.25881702102387727,UNSW-NB15,ZZ-linear,ZZ,linear,2,0.0,6,42,1.015878414036706,112
0.028458641713877568,0.0777955960992781,0.18680272221582656,UNSW-NB15,ZZ-linear,ZZ,linear,2,0.002,6,42,0.5127266540657729,112
0.059142458033051494,0.16551770098281765,0.22733305500727588,UNSW-NB15,ZZ-linear,ZZ,linear,2,0.005,6,42,0.5083327398169786,112
0.06569919208485235,0.22354287475568063,0.22856221853652123,UNSW-NB15,ZZ-linear,ZZ,linear,2,0.01,6,42,0.5161680139135569,112
0.039459919961962714,0.28595415939801067,0.19365173738718894,UNSW-NB15,ZZ-linear,ZZ,linear,2,0.02,6,42,0.5236354160588235,112
0.005520866239841924,0.8177140969950873,0.09623147222475195,UNSW-NB15,ZZ-linear,ZZ,linear,2,0.05,6,42,0.5231862841174006,112
0.05056715918320634,0.09802823467521618,0.2368989362633805,UNSW-NB15,ZZ-full,ZZ,full,2,0.0,6,42,1.8800462069921196,112
0.013382493795857915,0.4566532026214029,0.12618935164584513,UNSW-NB15,ZZ-full,ZZ,full,2,0.002,6,42,1.45208470383659,112
0.0015443868236527836,0.8831155787160958,0.08037249224279569,UNSW-NB15,ZZ-full,ZZ,full,2,0.005,6,42,1.4204364840406924,112
2.767560627789991e-05,0.9902019903945953,0.07236842863017616,UNSW-NB15,ZZ-full,ZZ,full,2,0.01,6,42,1.4259662560652941,112
3.480407664973228e-08,0.9997262917698734,0.0717642757228639,UNSW-NB15,ZZ-full,ZZ,full,2,0.02,6,42,1.4215345301199704,112
5.7114734992507445e-15,0.9999999510582196,0.07174744762400279,UNSW-NB15,ZZ-full,ZZ,full,2,0.05,6,42,1.4104937468655407,112
0.04721110813777424,0.09918699739106342,0.23778884398099692,UNSW-NB15,Pauli-full,Pauli,full,1,0.0,6,42,1.3325419439934194,112
0.04575695992153908,0.1764917179266113,0.22902148623377927,UNSW-NB15,Pauli-full,Pauli,full,1,0.002,6,42,0.8185409631114453,112
0.033062653193641586,0.3132808391493835,0.18318693629879704,UNSW-NB15,Pauli-full,Pauli,full,1,0.005,6,42,0.7909566648304462,112
0.00972134300638121,0.659148437971851,0.10541672646619735,UNSW-NB15,Pauli-full,Pauli,full,1,0.01,6,42,0.7811732299160212,112
0.00035335193723612244,0.9551258271073436,0.07484213774786051,UNSW-NB15,Pauli-full,Pauli,full,1,0.02,6,42,0.7803949960507452,112
2.9046012515519384e-08,0.999669765097064,0.07177539306156466,UNSW-NB15,Pauli-full,Pauli,full,1,0.05,6,42,0.7890532549936324,112
