status,dataset,model,feature_regime,num_qubits,run_idx,seed,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,training_time
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,17,14336,0.8953333333333333,0.894564213360888,0.9090183756259914,0.6011657393061969,0.9491856235550754,0.8945637119027017,0.3980617040069774
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,18,15360,0.8866666666666667,0.8929594664412193,0.9025209480839096,0.5862171624028958,0.9493474029193346,0.8929258368022305,0.35840753000229597
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,19,16384,0.9046666666666666,0.8965368778670173,0.9161002351273875,0.6190493902231932,0.9371539356744374,0.8964809714248108,0.38760692602954805
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,20,17408,0.91,0.8963020368543829,0.9201301192943109,0.6288217882108462,0.9409244385995126,0.89614327212957,0.3643587199039757
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,21,18432,0.8866666666666667,0.8897812847368998,0.902388713834524,0.5830626878282806,0.9341401426789618,0.8897730170067228,0.3827942149946466
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,22,19456,0.8933333333333333,0.8712131886712695,0.9065000637314164,0.5750035845213713,0.9269435703140084,0.8707871827614425,0.3537822699872777
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,23,20480,0.906,0.8972727130399386,0.9171387142088325,0.622175643677986,0.9321257286594754,0.8972083394726031,0.39254087791778147
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,24,21504,0.9133333333333333,0.904497988195325,0.9230219303332947,0.6429012349069658,0.9500988941597649,0.9044325376766937,0.3838576450943947
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,25,22528,0.874,0.9082163042287039,0.8937892958832372,0.5842789422614728,0.9692462647232268,0.9072382368813318,0.35627464100252837
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,26,23552,0.86,0.859173672756877,0.8816571039579888,0.5171096639770637,0.9472599272514729,0.8591730700845089,0.32589809398632497
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,27,24576,0.9146666666666666,0.8702738246207318,0.922497041770455,0.6143687219254546,0.9338583334638005,0.8685548991971589,0.35252632899209857
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,28,25600,0.874,0.8859690322984672,0.8929294046087798,0.5617846401315361,0.9358805755170417,0.8858464048934148,0.38669046899303794
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,29,26624,0.8713333333333333,0.8781409985439856,0.8906633602618756,0.5503908008395324,0.9544930304406138,0.8781009764351891,0.3302908119512722
success,IoT_Original_Distribution,RandomForest,quantum_features,6,0,42,0.9793333333333333,0.9027836488030936,0.9785024094298082,0.873224851570807,0.974420595034939,0.8978479359203928,0.6180099339690059
success,IoT_Original_Distribution,RandomForest,quantum_features,6,1,123,0.9846666666666667,0.9406869882422932,0.9844392219441724,0.9079239945432451,0.9901471148476926,0.9391264396616612,0.7673586760647595
success,IoT_Original_Distribution,RandomForest,quantum_features,6,2,456,0.984,0.9434972523601521,0.9838437081018961,0.9044967359694489,0.9805656015322071,0.9421778111154007,0.6044141789898276
success,IoT_Original_Distribution,RandomForest,quantum_features,6,3,789,0.982,0.9233244093748532,0.9815437782903096,0.8907256372671184,0.9714615982757451,0.9204924625357249,0.5941830630181357
success,IoT_Original_Distribution,RandomForest,quantum_features,6,4,1024,0.982,0.9360371361921314,0.9817940283569642,0.8922673677153246,0.9734394814710441,0.9343240602398634,0.5887570229824632
success,IoT_Original_Distribution,RandomForest,quantum_features,6,5,2048,0.9786666666666667,0.902415731216633,0.9778497473329589,0.8690683024350858,0.9674562543380354,0.8975165655692208,0.5931264109676704
success,IoT_Original_Distribution,RandomForest,quantum_features,6,6,3072,0.9813333333333333,0.9134219466754341,0.9806890414243417,0.8860699122300612,0.9655149019669239,0.9095850084028182,0.5905229250201955
success,IoT_Original_Distribution,RandomForest,quantum_features,6,7,4096,0.9853333333333333,0.9346985424201149,0.9849878280631978,0.9113817656201875,0.981940726128411,0.9326161217030536,0.586240108939819
success,IoT_Original_Distribution,RandomForest,quantum_features,6,8,5120,0.982,0.9137898642618947,0.9813448653548363,0.8902233115234885,0.9814814814814814,0.909920586723921,0.5885862440336496
success,IoT_Original_Distribution,RandomForest,quantum_features,6,9,6144,0.9793333333333333,0.9282091024376498,0.9790968473728107,0.87624878009342,0.9849597378130561,0.9260713071929075,0.5849621399538592
success,IoT_Original_Distribution,RandomForest,quantum_features,6,10,7168,0.978,0.8925132685172139,0.9769434908389585,0.8645091252083739,0.9734629655723075,0.8862822457093996,0.5787365819560364
success,IoT_Original_Distribution,RandomForest,quantum_features,6,11,8192,0.9833333333333333,0.9240602445477745,0.9828505398227034,0.8987869960763755,0.9812675152255257,0.9211725457186617,0.5834146409761161
success,IoT_Original_Distribution,RandomForest,quantum_features,6,12,9216,0.9826666666666667,0.9173359635526748,0.9820683956083173,0.8944586603813692,0.9781519577912421,0.9138008626927728,0.5914106710115448
