file,dataset,map,qubits,n_levels,decay_rate_per_unit_p,r2,p_value,var_at_0,var_at_max,orders_of_magnitude
concentration_summary_20260702_122916.csv,IoT,Pauli-full,6,6,282.5988606939643,0.9921906022075261,2.292980676250083e-05,0.0246532371342785,2.785439472440517e-08,5.946980227431123
concentration_summary_20260702_122916.csv,IoT,Z-linear,6,6,0.20704426457235586,0.005412965827873109,0.88983983267815,0.0679506581806193,0.0684597847453835,-0.0032418615413424743
concentration_summary_20260702_122916.csv,IoT,ZZ-full,6,6,584.0486980988093,0.9966730772627241,4.155267190698249e-06,0.0190235658948263,6.041206477600053e-15,12.49816824768582
concentration_summary_20260702_122916.csv,IoT,ZZ-linear,6,6,34.442913331555005,0.9431050467318862,0.0012376756852310565,0.0325468669413001,0.0058938245490138,0.7421119850696127
concentration_summary_20260702_122916.csv,UNSW-2018,Pauli-full,6,6,263.44076389485514,0.987844070357058,5.563856246924533e-05,0.007118657556254,1.9148531515704645e-08,5.570262627745209
concentration_summary_20260702_122916.csv,UNSW-2018,Z-linear,6,6,0.03652970195746794,0.5366242829387877,0.09773144725183643,0.0541411090573458,0.054050440371543,0.000727911178861624
concentration_summary_20260702_122916.csv,UNSW-2018,ZZ-full,6,6,559.090170275731,0.9972181766822025,2.904647989495703e-06,0.0038456067537257,4.807700538915081e-15,11.903027463247536
concentration_summary_20260702_122916.csv,UNSW-2018,ZZ-linear,6,6,19.8649781499312,0.8004260057213276,0.01605873215187334,0.0104076664076377,0.0039371554781836,0.4221707981177971
concentration_summary_20260702_122639.csv,UNSW-NB15,Pauli-full,6,6,296.311265321761,0.991870780541408,2.484903874431434e-05,0.0472111081377742,2.9046012515519384e-08,6.210957674142522
concentration_summary_20260702_122916.csv,UNSW-NB15,Pauli-full,6,6,305.68319330686154,0.9946217458840128,1.0866611707736917e-05,0.0806820470696081,3.0285459928618764e-08,6.425542735184687
concentration_summary_20260702_122639.csv,UNSW-NB15,Z-linear,6,6,0.22219121242075918,0.01651717840019591,0.8082826242368661,0.110249250754941,0.1151399419091192,-0.018850359287653603
concentration_summary_20260702_122916.csv,UNSW-NB15,Z-linear,6,6,2.186797002542503,0.8746573585878088,0.006156647611299301,0.105059801189572,0.0935797774757232,0.050254566484330215
concentration_summary_20260702_122639.csv,UNSW-NB15,ZZ-full,6,6,595.6457413484027,0.992892437785297,1.898910251299088e-05,0.0505671591832063,5.711473499250745e-15,12.94712039000476
concentration_summary_20260702_122916.csv,UNSW-NB15,ZZ-full,6,6,606.7554772571535,0.986678202446306,6.684912108509769e-05,0.0633888682720413,4.392535179544325e-15,13.159297749644189
concentration_summary_20260702_122639.csv,UNSW-NB15,ZZ-linear,6,6,45.00261178857088,0.785366777523355,0.018685812216449757,0.0669680029463336,0.0055208662398419,1.0838601228951794
concentration_summary_20260702_122916.csv,UNSW-NB15,ZZ-linear,6,6,54.888860605855946,0.9521991658950293,0.0008708767497668622,0.0963760206965341,0.0064504634895441,1.1743780691840509
concentration_summary_20260821_100457.csv,IoT,Pauli-full,10,6,595.9333837091283,0.9992437608794624,2.1451568721323434e-07,0.0148735727627026,2.604735724371109e-15,12.75665163590358
concentration_summary_20260821_100457.csv,IoT,Z-linear,10,6,0.7364269351456739,0.36069685130102097,0.20744309178260448,0.0468163216992527,0.0450533288155377,0.0166704038847193
concentration_summary_20260821_100457.csv,IoT,ZZ-full,10,6,606.9416373531925,0.9035018681418258,0.0036107999747979945,0.009724034243095,2.3791026976280486e-16,13.611433290106572
concentration_summary_20260821_100457.csv,IoT,ZZ-linear,10,6,27.17460582293605,0.8792319424455531,0.005705798579254488,0.0196209251690467,0.0052985234404007,0.5685646214779799
concentration_summary_20260821_100457.csv,UNSW-2018,Pauli-full,10,6,564.1414223182143,0.977986910483024,0.0001830661750542524,0.0012197389856385,3.4765248252706068e-15,11.545121570125158
concentration_summary_20260821_100457.csv,UNSW-2018,Z-linear,10,6,-2.4459067120251428,0.9997242098602644,2.8525197929302103e-08,0.0197588098438554,0.0223454524117172,-0.05342837026416744
concentration_summary_20260821_100457.csv,UNSW-2018,ZZ-full,10,6,602.4952628423293,0.9310417173520105,0.0018258728744416275,0.0005633798886471,2.610021591270628e-16,12.334157239590514
concentration_summary_20260821_100457.csv,UNSW-2018,ZZ-linear,10,6,-8.220216608863032,0.2116621368357591,0.3585881361601208,0.0035933944671582,0.0054585905628267,-0.18157562525578294
concentration_summary_20260821_100457.csv,UNSW-NB15,Pauli-full,10,6,619.3320157789667,0.9991629484421276,2.6281908656553784e-07,0.0236126172489765,1.3745421058089893e-15,13.23498607947845
concentration_summary_20260821_100457.csv,UNSW-NB15,Z-linear,10,6,0.8405641874170282,0.804230620564268,0.015429019632938688,0.0941252744556191,0.0910803860912992,0.014281392621515988
concentration_summary_20260821_100457.csv,UNSW-NB15,ZZ-full,10,6,603.7747311601742,0.8957730942388408,0.004224170102422011,0.0135252496552748,2.545315364951562e-16,13.725403691102445
concentration_summary_20260821_100457.csv,UNSW-NB15,ZZ-linear,10,6,36.918346593402696,0.8450331224008771,0.009515987972487946,0.041016234603954,0.0066030018525272,0.7932143693915993
