dataset,model,entanglement,noise_level,n,mean_delta_pp,ci90_lo,ci90_hi,p_t,p_wilcoxon,shapiro_W,shapiro_p,p_tost_1pp,p_tost_0p5pp,p_t_holm,p_wilcoxon_holm,sig_t_holm,sig_w_holm,equiv_1pp,equiv_0p5pp
IoT,QWE,linear,0.02,30,0.04444444444444362,-0.09341777312223731,0.18230666201112455,0.5880417186361947,0.6778684441068372,0.6372169443665823,2.1447051764038723e-07,7.135003156942426e-13,2.303103737939095e-06,1.0,1.0,False,False,True,True
IoT,QWE,linear,0.05,30,0.11777777777777924,0.01738514169267527,0.21817041386288322,0.05570354751950203,0.041389404009149304,0.762049797421335,1.4346514413200562e-05,1.8900549023338997e-15,2.2183088387289863e-07,1.0,1.0,False,False,True,True
UNSW-2018,QSVC,full,0.0,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
UNSW-2018,QSVC,full,0.0003,30,-0.0022222222222212373,-0.005998060058960671,0.0015536156145181958,0.32558198801619365,0.31731050786291415,0.17961525210206075,7.76637667465555e-12,1.4279677573473206e-57,8.128775784007088e-49,1.0,1.0,False,False,True,True
UNSW-2018,QSVC,full,0.0005,30,0.0,-0.005431127025229555,0.005431127025229555,1.0,1.0,0.3472561540639837,1.803187003645419e-10,5.060491724848018e-53,2.6831786417312405e-44,1.0,1.0,False,False,True,True
UNSW-2018,QSVC,full,0.001,30,0.004444444444440994,-0.0031072312290392557,0.011996120117921245,0.32558198801643945,0.7054569861112734,0.4955333989782841,4.808123108981837e-09,8.128775784049828e-49,4.84806900153144e-40,1.0,1.0,False,False,True,True
UNSW-2018,QSVC,full,0.002,30,0.0044444444444469156,-0.004857434196004463,0.013746323084898295,0.4234950884931383,0.2216236024593935,0.6159823293087039,1.1502053406103292e-07,3.415839678137072e-46,2.0115475452698808e-37,1.0,1.0,False,False,True,True
UNSW-2018,QSVC,full,0.005,30,0.068888888888885,0.04147200594288837,0.09630577183488163,0.00019171704297053346,0.0005835493197459139,0.8501448683622073,0.0006243772291653121,8.766453664637972e-32,2.8244470381353105e-22,0.010736154406349873,0.03267876190577118,True,True,True,True
UNSW-2018,QSVC,full,0.008,30,0.0822222222222228,0.04511393669627027,0.11933050774817532,0.000754641540982083,0.0012265221155304598,0.9189318165370257,0.02516522603063647,7.765918925320934e-28,2.73287463259835e-18,0.04150528475401457,0.06745871635417529,True,False,True,True
UNSW-2018,QSVC,full,0.01,30,0.04888888888888906,-0.11637570463193389,0.21415348240971202,0.6190139706690823,0.40874700896643856,0.9363608510255108,0.07260922616768282,5.470338978571981e-11,3.465336176070872e-05,1.0,1.0,False,False,True,True
