dataset,map,shots,seed,rel_fro_err,kernel_mae,accuracy,mcc
UNSW-NB15,ZZ-full,256,42,0.4505318540783483,0.03719460818446738,0.75,0.5773502691896257
UNSW-NB15,ZZ-full,4096,42,0.4581640765967617,0.03593441607420407,0.75,0.5773502691896257
