dataset,map,shots,seed,rel_fro_err,kernel_mae,bias_vs_ideal,accuracy,mcc
UNSW-NB15,ZZ-full,256,42,0.05924385814481812,0.007571067810058594,0.4569730815439421,0.75,0.5773502691896257
UNSW-NB15,ZZ-full,1024,42,0.034080302514616585,0.003910942077636719,0.4569730815439421,0.75,0.5773502691896257
UNSW-NB15,ZZ-full,4096,42,0.019137620120313305,0.002104606628417969,0.4569730815439421,0.75,0.5773502691896257
