dataset,model,condition,n_runs,accuracy_mean,accuracy_ci95,mcc_mean,mcc_ci95
UNSW-NB15,QSVC,raw,2,0.59375,0.42874999999999996,0.18587094930077547,0.8703768845339556
UNSW-NB15,QSVC,ro_mitigated,2,0.5625,0.12249999999999998,0.12909944487358055,0.2530349119522179
UNSW-NB15,QVE,raw,2,0.6875,0.24499999999999997,0.46619937610520157,0.4076809532617593
UNSW-NB15,QVE,ro_mitigated,2,0.71875,0.18374999999999994,0.5260821677362346,0.2903106816649345
