dataset,model,condition,n_runs,accuracy_mean,accuracy_ci95,mcc_mean,mcc_ci95
UNSW-NB15,QSVC,raw,1,0.75,0.0,0.5773502691896258,0.0
UNSW-NB15,QSVC,ro_mitigated,1,0.625,0.0,0.2581988897471611,0.0
