dataset,shots,n_runs,rel_fro_err_mean,rel_fro_err_ci95,kernel_mae_mean,kernel_mae_ci95,bias_vs_ideal_mean,bias_vs_ideal_ci95,accuracy_mean,accuracy_ci95,mcc_mean,mcc_ci95
UNSW-NB15,256,1,0.05924385814481812,0.0,0.007571067810058594,0.0,0.4569730815439421,0.0,0.75,0.0,0.5773502691896257,0.0
UNSW-NB15,1024,1,0.034080302514616585,0.0,0.003910942077636719,0.0,0.4569730815439421,0.0,0.75,0.0,0.5773502691896257,0.0
UNSW-NB15,4096,1,0.019137620120313305,0.0,0.002104606628417969,0.0,0.4569730815439421,0.0,0.75,0.0,0.5773502691896257,0.0
